,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Almería,Édgar González,ESP,"DF,MF",26-324,1997,21,1720,82,76.4,19.1,21,82,16,0,,1,0.38,14,34,-20,-1.05,0.48,24.0,31.8,-7.8,-0.41,-0.16
ESP-La Liga,2324,Athletic Club,Adu Ares,ESP,"FW,MF",22-130,2001,8,141,18,6.5,1.6,1,61,0,7,11,15,1.5,1,2,-1,-0.64,-1.62,0.8,2.3,-1.5,-0.98,-1.8
ESP-La Liga,2324,Athletic Club,Aingeru Olabarrieta,ESP,FW,18-097,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Aitor Paredes,ESP,DF,23-296,2000,23,1875,82,86.8,20.8,21,85,17,2,50,1,1.96,37,15,22,1.06,1.37,35.1,18.4,16.7,0.8,0.71
ESP-La Liga,2324,Athletic Club,Alex Padilla,ESP,GK,20-171,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Ander Herrera,ESP,MF,34-189,1989,17,788,46,36.5,8.8,8,77,3,9,20,3,1.88,13,6,7,0.8,-0.12,11.9,7.6,4.3,0.49,-0.34
ESP-La Liga,2324,Athletic Club,Asier Villalibre,ESP,FW,26-142,1997,12,324,27,15.0,3.6,2,57,0,10,21,12,1.83,6,5,1,0.28,-0.7,6.1,4.3,1.9,0.52,-0.22
ESP-La Liga,2324,Athletic Club,Beñat Prados,ESP,"MF,DF",23-011,2001,14,570,41,26.4,6.3,5,81,1,9,18,10,1.79,10,5,5,0.79,-0.12,11.7,4.8,6.9,1.09,0.52
ESP-La Liga,2324,Athletic Club,Dani García,ESP,MF,33-271,1990,10,403,40,18.7,4.5,4,78,1,6,15,4,1.8,5,7,-2,-0.45,-1.62,6.1,6.1,-0.1,-0.01,-0.89
ESP-La Liga,2324,Athletic Club,Daniel Vivian,ESP,DF,24-219,1999,22,1957,89,90.6,21.7,22,89,20,0,,1,1.91,38,21,17,0.78,-0.99,36.5,20.9,15.6,0.72,0.11
ESP-La Liga,2324,Athletic Club,Gorka Guruzeta,ESP,FW,27-160,1996,23,1550,67,71.8,17.2,21,71,3,2,33,0,1.96,32,12,20,1.16,1.01,28.9,14.8,14.2,0.82,0.41
ESP-La Liga,2324,Athletic Club,Hugo Rincón,ESP,DF,21-023,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Iker Muniain,ESP,"MF,FW",31-062,1992,14,395,28,18.3,4.4,3,60,0,11,20,9,2.0,9,10,-1,-0.23,-1.35,8.3,5.7,2.6,0.59,-0.15
ESP-La Liga,2324,Athletic Club,Imanol,ESP,DF,23-256,2000,4,258,65,11.9,2.9,3,79,1,1,20,18,1.75,7,4,3,1.05,0.19,6.0,3.3,2.7,0.95,0.28
ESP-La Liga,2324,Athletic Club,Iñaki Williams,GHA,FW,29-249,1994,21,1823,87,84.4,20.3,21,87,12,0,,0,1.9,36,17,19,0.94,0.4,33.9,18.9,15.0,0.74,0.23
ESP-La Liga,2324,Athletic Club,Iñigo Lekue,ESP,DF,30-291,1993,17,1300,76,60.2,14.4,14,84,11,3,44,6,2.0,24,14,10,0.69,-0.46,24.4,14.5,9.9,0.68,-0.06
ESP-La Liga,2324,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30-197,1993,18,1372,76,63.5,15.2,17,79,5,1,29,0,1.94,31,11,20,1.31,1.2,26.6,14.1,12.5,0.82,0.3
ESP-La Liga,2324,Athletic Club,Javi Martón,ESP,FW,24-289,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Julen Agirrezabala,ESP,GK,23-055,2000,0,,,,,0,,0,0,,24,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Mikel Jauregizar,ESP,MF,20-099,2003,4,63,16,2.9,0.7,0,,0,4,16,5,2.5,2,0,2,2.86,2.04,,,,,
ESP-La Liga,2324,Athletic Club,Mikel Vesga,ESP,MF,30-274,1993,17,1165,69,53.9,12.9,14,78,7,3,25,2,2.12,25,13,12,0.93,0.11,23.3,13.0,10.2,0.79,0.18
ESP-La Liga,2324,Athletic Club,Nico Williams,ESP,FW,21-222,2002,20,1493,75,69.1,16.6,19,77,4,1,29,0,1.9,31,14,17,1.02,0.49,29.3,14.7,14.6,0.88,0.57
ESP-La Liga,2324,Athletic Club,Oihan Sancet,ESP,MF,23-300,2000,22,1547,70,71.6,17.2,19,76,3,3,37,0,1.95,31,9,22,1.28,1.43,27.9,15.8,12.1,0.71,0.0
ESP-La Liga,2324,Athletic Club,Peru Nolaskoain,ESP,"DF,MF",25-117,1998,2,10,5,0.5,0.1,0,,0,2,5,12,2.0,0,0,0,0.0,-0.88,0.0,0.1,-0.1,-0.98,-1.69
ESP-La Liga,2324,Athletic Club,Raúl García,ESP,"FW,MF",37-223,1986,11,179,16,8.3,2.0,0,,0,11,16,12,1.73,4,1,3,1.51,0.69,3.0,2.0,1.1,0.53,-0.19
ESP-La Liga,2324,Athletic Club,Unai Eguíluz,ESP,DF,21-337,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Unai Gómez,ESP,MF,20-270,2003,15,310,21,14.4,3.4,3,47,0,12,14,8,2.0,5,6,-1,-0.29,-1.36,4.8,3.4,1.4,0.4,-0.36
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26-253,1997,24,2160,90,100.0,24.0,24,90,24,0,,0,1.92,42,21,21,0.87,,39.4,22.4,17.0,0.71,
ESP-La Liga,2324,Athletic Club,Yeray Álvarez,ESP,DF,29-026,1995,8,455,57,21.1,5.1,5,73,4,3,29,2,1.88,8,5,3,0.59,-0.36,6.1,4.6,1.5,0.29,-0.53
ESP-La Liga,2324,Athletic Club,Yuri Berchiche,ESP,DF,34-009,1990,18,1292,72,59.8,14.4,14,85,12,4,27,0,1.94,22,7,15,1.04,0.42,22.3,9.6,12.7,0.89,0.45
ESP-La Liga,2324,Athletic Club,Álex Berenguer,ESP,FW,28-230,1995,21,820,39,38.0,9.1,7,78,2,14,20,1,1.86,11,7,4,0.44,-0.7,13.6,6.9,6.7,0.73,0.04
ESP-La Liga,2324,Athletic Club,Óscar de Marcos,ESP,DF,34-311,1989,17,1432,84,66.3,15.9,17,84,14,0,,2,1.76,31,17,14,0.88,0.01,25.7,16.8,8.9,0.56,-0.43
ESP-La Liga,2324,Atlético Madrid,Adrian Niño,ESP,FW,19-245,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Aitor Gismera,ESP,MF,19-363,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",32-335,1991,24,1947,81,86.5,21.6,23,83,15,1,33,1,2.0,39,22,17,0.79,-1.29,37.4,25.5,11.9,0.55,-0.78
ESP-La Liga,2324,Atlético Madrid,Antonio Gomis,ESP,GK,20-275,2003,0,,,,,0,,0,0,,25,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Arthur Vermeeren,BEL,MF,19-012,2005,2,65,33,2.9,0.7,1,45,0,1,20,3,3.0,2,1,1,1.38,0.44,0.9,0.8,0.1,0.19,-0.48
ESP-La Liga,2324,Atlético Madrid,Axel Witsel,BEL,DF,35-038,1989,24,1944,81,86.4,21.6,21,88,19,3,35,0,2.0,38,23,15,0.69,-1.95,34.8,25.8,9.0,0.41,-1.76
ESP-La Liga,2324,Atlético Madrid,César Azpilicueta,ESP,DF,34-175,1989,16,951,59,42.3,10.6,9,85,5,7,27,3,2.0,18,13,5,0.47,-0.84,17.2,10.9,6.3,0.6,-0.1
ESP-La Liga,2324,Atlético Madrid,Gabriel Paulista,BRA,DF,33-085,1990,1,90,90,4.0,1.0,1,90,1,0,,2,0.0,0,1,-1,-1.0,-2.04,1.5,1.0,0.5,0.52,-0.14
ESP-La Liga,2324,Atlético Madrid,Horaţiu Moldovan,ROU,GK,26-030,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Ilias Kostis,GRE,DF,20-357,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Ivo Grbić,CRO,GK,28-032,1996,0,,,,,0,,0,0,,18,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-043,1993,25,2250,90,100.0,25.0,25,90,25,0,,0,2.04,50,26,24,0.96,,43.8,27.5,16.4,0.65,
ESP-La Liga,2324,Atlético Madrid,Javi Galán,ESP,DF,29-092,1994,5,88,18,3.9,1.0,0,,0,5,18,15,1.8,2,1,1,1.02,0.07,2.3,0.3,1.9,1.94,1.34
ESP-La Liga,2324,Atlético Madrid,José María Giménez,URU,DF,29-030,1995,16,786,49,34.9,8.7,8,76,4,8,22,0,2.06,20,11,9,1.03,0.11,18.2,10.2,8.0,0.91,0.4
ESP-La Liga,2324,Atlético Madrid,João Félix,POR,"FW,MF",24-101,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Koke,ESP,MF,32-042,1992,22,1487,68,66.1,16.5,20,73,10,2,19,0,2.14,32,20,12,0.73,-0.69,31.2,19.8,11.3,0.69,0.1
ESP-La Liga,2324,Atlético Madrid,Marco Moreno,ESP,DF,22-364,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",29-020,1995,25,1643,66,73.0,18.3,19,76,10,6,34,0,2.04,34,21,13,0.71,-0.92,28.6,21.6,7.1,0.39,-0.99
ESP-La Liga,2324,Atlético Madrid,Mario Hermoso,ESP,DF,28-246,1995,21,1851,88,82.3,20.6,21,88,19,0,,3,1.86,40,24,16,0.78,-1.03,34.8,24.3,10.5,0.51,-0.8
ESP-La Liga,2324,Atlético Madrid,Memphis,NED,FW,30-006,1994,15,539,36,24.0,6.0,5,58,1,10,25,2,1.8,10,5,5,0.83,-0.16,10.5,6.2,4.3,0.72,0.08
ESP-La Liga,2324,Atlético Madrid,Nahuel Molina,ARG,DF,25-319,1998,22,1319,60,58.6,14.7,14,73,6,8,37,2,2.0,32,12,20,1.36,0.98,26.5,14.8,11.8,0.8,0.36
ESP-La Liga,2324,Atlético Madrid,Pablo Barrios,ESP,MF,20-249,2003,15,958,64,42.6,10.6,10,75,4,5,41,0,2.13,22,9,13,1.22,0.46,20.0,8.2,11.8,1.1,0.79
ESP-La Liga,2324,Atlético Madrid,Rayane Belaid,ESP,DF,19-008,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Reinildo Mandava,MOZ,DF,30-029,1994,5,313,63,13.9,3.5,3,90,3,2,22,6,2.4,9,1,8,2.3,1.56,7.5,1.8,5.7,1.63,1.14
ESP-La Liga,2324,Atlético Madrid,Rodrigo De Paul,ARG,MF,29-271,1994,22,1328,60,59.0,14.8,15,72,3,7,35,0,2.05,25,12,13,0.88,-0.19,25.7,15.7,10.0,0.68,0.05
ESP-La Liga,2324,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",23-323,2000,21,954,45,42.4,10.6,12,63,3,9,22,4,2.0,19,18,1,0.09,-1.5,17.7,14.3,3.4,0.32,-0.57
ESP-La Liga,2324,Atlético Madrid,Salim El Jebari,MAR,MF,20-014,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Samuel Lino,BRA,DF,24-058,1999,21,1217,58,54.1,13.5,13,74,3,8,32,2,2.14,32,10,22,1.63,1.45,25.5,14.1,11.3,0.84,0.4
ESP-La Liga,2324,Atlético Madrid,Saúl Ñíguez,ESP,MF,29-090,1994,24,1118,47,49.7,12.4,12,73,5,12,21,0,2.13,29,13,16,1.29,0.65,21.5,15.1,6.4,0.52,-0.27
ESP-La Liga,2324,Atlético Madrid,Sergio Mestre,ESP,GK,19-006,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Stefan Savić,MNE,DF,33-042,1991,14,1084,77,48.2,12.0,13,82,11,1,12,7,2.14,28,9,19,1.58,1.19,22.0,10.5,11.5,0.96,0.58
ESP-La Liga,2324,Atlético Madrid,Thomas Lemar,FRA,MF,28-099,1995,3,164,55,7.3,1.8,3,55,0,0,,0,1.33,1,2,-1,-0.55,-1.63,1.5,1.9,-0.4,-0.2,-0.92
ESP-La Liga,2324,Atlético Madrid,Yannick Carrasco,BEL,DF,30-168,1993,3,221,74,9.8,2.5,3,74,1,0,,0,2.33,6,1,5,2.04,1.19,5.1,2.0,3.1,1.26,0.67
ESP-La Liga,2324,Atlético Madrid,Álvaro Morata,ESP,FW,31-119,1992,22,1468,67,65.2,16.3,18,74,4,4,35,0,1.91,32,18,14,0.86,-0.29,25.6,19.0,6.6,0.41,-0.72
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28-347,1995,20,771,39,34.3,8.6,5,75,2,15,27,2,2.0,22,9,13,1.52,0.85,17.5,6.0,11.5,1.35,1.05
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27-272,1996,6,114,19,5.1,1.3,1,45,0,5,14,8,2.5,5,1,4,3.16,2.32,1.9,2.7,-0.8,-0.62,-1.34
ESP-La Liga,2324,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,MF",22-064,2001,2,68,34,3.0,0.8,0,,0,2,34,1,2.0,2,0,2,2.65,1.99,2.2,0.2,2.0,2.66,1.6
ESP-La Liga,2324,Barcelona,Aleix Garrido,ESP,MF,19-362,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,DF,20-124,2003,18,1378,77,61.2,15.3,15,87,12,3,26,2,2.11,29,17,12,0.78,0.16,34.9,14.9,20.0,1.31,0.53
ESP-La Liga,2324,Barcelona,Ander Astralaga,ESP,GK,19-353,2004,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27-315,1996,19,1338,70,59.5,14.9,18,70,5,1,80,5,2.11,24,19,5,0.34,-0.95,28.5,15.7,12.8,0.86,-0.59
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"MF,FW",21-111,2002,3,50,17,2.2,0.6,0,,0,3,17,0,2.33,2,0,2,3.6,2.95,2.4,0.3,2.1,3.86,2.82
ESP-La Liga,2324,Barcelona,Diego Kochen,USA,GK,17-337,2006,0,,,,,0,,0,0,,14,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Eric García,ESP,DF,23-041,2001,2,57,29,2.5,0.6,0,,0,2,29,1,3.0,4,1,3,4.74,4.12,3.2,0.4,2.8,4.47,3.46
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20-284,2003,18,653,36,29.0,7.3,6,66,0,12,22,6,2.22,14,7,7,0.96,0.34,15.5,8.2,7.3,1.01,-0.14
ESP-La Liga,2324,Barcelona,Ferrán Torres,ESP,FW,23-355,2000,21,936,45,41.6,10.4,10,66,3,11,25,1,2.19,26,16,10,0.96,0.41,24.0,10.4,13.5,1.3,0.34
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26-283,1997,17,1475,87,65.6,16.4,17,87,16,0,,0,2.18,36,24,12,0.73,0.04,37.5,17.9,19.5,1.19,0.26
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",19-198,2004,12,944,79,42.0,10.5,10,88,9,2,34,0,2.25,22,11,11,1.05,0.57,22.7,10.9,11.9,1.13,0.05
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,17-201,2006,2,90,45,4.0,1.0,1,45,0,1,45,9,1.5,2,2,0,0.0,-0.75,0.8,0.7,0.1,0.12,-1.03
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-354,1999,10,900,90,40.0,10.0,10,90,10,0,,12,2.0,21,17,4,0.4,-0.53,24.6,11.9,12.7,1.27,0.28
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32-278,1991,11,687,62,30.5,7.6,7,88,6,4,18,4,2.18,13,10,3,0.39,-0.47,12.3,7.3,5.0,0.65,-0.65
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29-268,1994,21,1610,77,71.6,17.9,19,81,14,2,39,0,2.1,35,25,10,0.56,-0.57,37.6,20.1,17.5,0.98,-0.43
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,24-101,1999,18,1068,59,47.5,11.9,14,71,3,4,19,0,2.06,21,14,7,0.59,-0.25,25.2,12.1,13.1,1.11,0.01
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,25-099,1998,22,1790,81,79.6,19.9,20,87,18,2,29,2,2.27,43,28,15,0.75,0.17,45.3,23.8,21.6,1.08,-0.09
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16-221,2007,25,1341,54,59.6,14.9,13,83,6,12,22,0,2.16,37,23,14,0.94,0.54,36.2,19.1,17.1,1.15,0.11
ESP-La Liga,2324,Barcelona,Marc Casado,ESP,MF,20-158,2003,0,,,,,0,,0,0,,15,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,"MF,FW",18-046,2006,2,14,7,0.6,0.2,0,,0,2,7,8,2.0,1,0,1,6.43,5.74,0.8,0.0,0.8,5.17,4.09
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-295,1992,15,1350,90,60.0,15.0,15,90,15,0,,0,2.27,31,17,14,0.93,0.53,30.6,15.7,14.9,0.99,-0.28
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,33-053,1990,4,162,41,7.2,1.8,2,68,1,2,14,8,3.0,6,4,2,1.11,0.42,4.3,2.5,1.7,0.97,-0.14
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,32-148,1991,18,723,40,32.1,8.0,10,62,0,8,13,6,2.22,9,11,-2,-0.25,-1.43,13.7,9.5,4.2,0.52,-0.86
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,17-028,2007,6,477,80,21.2,5.3,5,86,3,1,45,7,2.17,14,11,3,0.57,-0.2,11.0,6.8,4.2,0.8,-0.39
ESP-La Liga,2324,Barcelona,Pau Prim,ESP,MF,17-362,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Pau Victor Delgado,ESP,FW,22-085,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",21-086,2002,14,1039,74,46.2,11.5,12,80,2,2,40,0,2.0,21,16,5,0.43,-0.53,25.5,12.7,12.9,1.11,0.02
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",27-067,1996,17,719,42,32.0,8.0,8,68,2,9,20,0,2.06,18,10,8,1.0,0.41,20.1,7.6,12.5,1.56,0.67
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,35-182,1988,23,1857,81,82.5,20.6,21,85,16,2,32,0,2.17,43,27,16,0.78,0.32,44.3,23.8,20.5,0.99,-0.64
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24-349,1999,18,1428,79,63.5,15.9,15,87,14,3,41,3,2.06,33,22,11,0.69,-0.07,35.8,18.0,17.7,1.12,0.04
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",32-012,1992,6,357,60,15.9,4.0,4,79,2,2,21,9,2.67,12,6,6,1.51,0.94,10.7,5.0,5.6,1.42,0.38
ESP-La Liga,2324,Barcelona,Unai Hernandez,ESP,MF,19-067,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,18-356,2005,6,154,26,6.8,1.7,1,57,0,5,19,0,2.5,6,4,2,1.17,0.48,5.2,2.4,2.8,1.62,0.56
ESP-La Liga,2324,Barcelona,Áron Yaakobishvili,HUN,GK,17-350,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,33-118,1990,25,2017,81,89.6,22.4,22,87,18,3,32,0,2.16,47,32,15,0.67,-0.49,50.9,25.3,25.6,1.14,0.38
ESP-La Liga,2324,Betis,Abdessamad Ezzalzouli,MAR,FW,22-064,2001,17,676,40,30.0,7.5,5,66,0,12,29,0,1.53,8,6,2,0.27,0.21,7.9,8.7,-0.7,-0.1,0.02
ESP-La Liga,2324,Betis,Abner,BRA,DF,23-268,2000,17,1164,68,51.7,12.9,13,81,11,4,26,6,1.41,15,15,0,0.0,-0.25,14.3,21.6,-7.3,-0.56,-0.93
ESP-La Liga,2324,Betis,Aitor Ruibal,ESP,"DF,FW",27-334,1996,13,700,54,31.1,7.8,7,77,4,6,27,8,1.31,7,8,-1,-0.13,-0.36,9.9,13.6,-3.7,-0.47,-0.52
ESP-La Liga,2324,Betis,Andrés Guardado,MEX,MF,37-144,1986,12,447,37,19.9,5.0,4,67,1,8,23,6,1.58,5,4,1,0.2,0.1,7.2,6.1,1.1,0.23,0.42
ESP-La Liga,2324,Betis,Assane Diao,ESP,FW,18-165,2005,16,1019,64,45.3,11.3,13,68,2,3,45,4,1.5,14,8,6,0.53,0.75,15.3,13.7,1.6,0.14,0.46
ESP-La Liga,2324,Betis,Ayoze Pérez,ESP,FW,30-205,1993,19,1460,77,64.9,16.2,19,77,8,0,,1,1.58,17,17,0,0.0,-0.34,20.6,19.4,1.2,0.07,0.52
ESP-La Liga,2324,Betis,Borja Iglesias,ESP,FW,31-033,1993,11,408,37,18.1,4.5,4,63,1,7,22,9,1.45,7,6,1,0.22,0.12,4.7,7.8,-3.1,-0.68,-0.69
ESP-La Liga,2324,Betis,Chadi Riad,MAR,DF,20-247,2003,14,1129,81,50.2,12.5,12,88,11,2,36,7,1.5,13,12,1,0.08,-0.08,15.1,16.3,-1.2,-0.1,0.03
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-312,1983,7,630,90,28.0,7.0,7,90,7,0,,2,1.86,11,5,6,0.86,1.02,9.9,6.5,3.4,0.48,0.83
ESP-La Liga,2324,Betis,Cédric Bakambu,COD,FW,32-314,1991,1,25,25,1.1,0.3,0,,0,1,25,0,1.0,0,0,0,0.0,-0.12,0.1,0.3,-0.2,-0.61,-0.5
ESP-La Liga,2324,Betis,Daniel Guerrero,ESP,MF,18-208,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Betis,Enrique,ESP,MF,20-156,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Betis,Ezequiel Ávila,ARG,FW,30-013,1994,2,87,44,3.9,1.0,1,74,0,1,13,0,2.0,0,0,0,0.0,-0.12,0.7,0.3,0.4,0.37,0.5
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-288,1999,3,225,75,10.0,2.5,2,90,2,1,45,19,1.33,2,4,-2,-0.8,-1.02,3.4,2.3,1.1,0.43,0.6
ESP-La Liga,2324,Betis,Germán Pezzella,ARG,DF,32-237,1991,24,2076,87,92.3,23.1,24,87,21,0,,1,1.63,28,20,8,0.35,2.93,28.5,27.6,0.8,0.04,1.91
ESP-La Liga,2324,Betis,Guido Rodríguez,ARG,MF,29-313,1994,14,1075,77,47.8,11.9,13,81,8,1,25,0,1.71,15,10,5,0.42,0.57,14.5,12.6,2.0,0.17,0.53
ESP-La Liga,2324,Betis,Guilherme Fernandes,POR,GK,22-328,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2324,Betis,Héctor Bellerín,ESP,DF,28-337,1995,17,1386,82,61.6,15.4,17,82,14,0,,3,1.71,19,15,4,0.26,0.36,18.5,17.2,1.3,0.09,0.52
ESP-La Liga,2324,Betis,Isco,ESP,MF,31-304,1992,22,1846,84,82.0,20.5,22,84,12,0,,0,1.55,23,22,1,0.05,-0.4,24.5,25.5,-1.0,-0.05,0.34
ESP-La Liga,2324,Betis,Johnny Cardoso,USA,MF,22-152,2001,5,432,86,19.2,4.8,5,86,4,0,,1,1.6,6,3,3,0.62,0.62,4.7,6.5,-1.9,-0.39,-0.34
ESP-La Liga,2324,Betis,Juan Cruz,ESP,FW,23-300,2000,5,76,15,3.4,0.8,0,,0,5,15,14,1.6,0,1,-1,-1.18,-1.35,0.5,2.2,-1.7,-1.97,-1.92
ESP-La Liga,2324,Betis,Juan Miranda,ESP,DF,24-031,2000,14,1086,78,48.3,12.1,12,81,8,2,56,9,1.71,13,10,3,0.25,0.25,15.5,11.0,4.5,0.37,0.93
ESP-La Liga,2324,Betis,Luiz Felipe,ITA,DF,26-334,1997,4,360,90,16.0,4.0,4,90,4,0,,0,1.75,5,5,0,0.0,-0.14,3.3,5.8,-2.5,-0.63,-0.62
ESP-La Liga,2324,Betis,Luiz Henrique,BRA,FW,23-048,2001,14,616,44,27.4,6.8,6,73,2,8,22,2,1.64,8,10,-2,-0.29,-0.57,9.0,10.9,-1.9,-0.27,-0.22
ESP-La Liga,2324,Betis,Marc Bartra,ESP,DF,33-035,1991,3,225,75,10.0,2.5,3,75,2,0,,2,1.33,2,6,-4,-1.6,-1.91,3.8,2.7,1.1,0.46,0.63
ESP-La Liga,2324,Betis,Marc Roca,ESP,MF,27-085,1996,22,1758,80,78.1,19.5,21,83,13,1,10,1,1.45,22,21,1,0.05,-0.31,23.5,25.3,-1.8,-0.09,0.09
ESP-La Liga,2324,Betis,Nabil Fekir,FRA,"MF,FW",30-216,1993,8,409,51,18.2,4.5,4,81,2,4,22,1,2.13,7,4,3,0.66,0.66,5.1,5.0,0.1,0.01,0.15
ESP-La Liga,2324,Betis,Nobel Mendy,FRA,DF,19-169,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Betis,Pablo Busto,ESP,DF,18-157,2005,1,41,41,1.8,0.5,0,,0,1,41,4,3.0,1,0,1,2.2,2.11,0.6,0.3,0.3,0.66,0.79
ESP-La Liga,2324,Betis,Pablo Fornals,ESP,"FW,MF",27-362,1996,3,204,68,9.1,2.3,2,90,1,1,25,0,1.67,2,0,2,0.88,0.84,1.9,1.7,0.3,0.12,0.25
ESP-La Liga,2324,Betis,Paul Akouokou,CIV,MF,26-061,1997,2,27,14,1.2,0.3,0,,0,2,14,1,1.5,1,1,0,0.0,-0.12,0.5,0.7,-0.2,-0.54,-0.43
ESP-La Liga,2324,Betis,Ricardo Visus,ESP,DF,22-301,2001,2,76,38,3.4,0.8,0,,0,2,38,5,2.0,0,0,0,0.0,-0.12,,,,,
ESP-La Liga,2324,Betis,Rodri,ESP,"FW,MF",23-279,2000,18,780,43,34.7,8.7,7,74,2,11,24,6,1.5,9,9,0,0.0,-0.18,9.9,12.4,-2.5,-0.29,-0.28
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,30-012,1994,16,1395,87,62.0,15.5,16,87,15,0,,6,1.38,15,16,-1,-0.06,-0.49,16.5,23.8,-7.2,-0.47,-0.94
