,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,31-092,1992,24,2159,90,100.0,24.0,24,90,23,0,,0,1.21,26,32,-6,-0.25,-0.25,36.0,32.7,3.3,0.14,29.99
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21-237,2002,21,1890,90,87.5,21.0,21,90,21,0,,2,1.24,24,27,-3,-0.14,0.86,31.3,28.0,3.3,0.16,0.28
ENG-Premier League,2324,Everton,Jenson Metcalfe,ENG,MF,19-166,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29-349,1994,24,2160,90,100.0,24.0,24,90,24,0,,0,1.21,26,32,-6,-0.25,,36.0,33.1,2.9,0.12,
ENG-Premier League,2324,Everton,João Virgínia,POR,GK,24-132,1999,0,,,,,0,,0,0,,24,,,,,,,,,,,
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,21-047,2003,9,179,20,8.3,2.0,1,65,0,8,14,13,0.89,2,2,0,0.0,0.27,5.0,2.7,2.3,1.18,1.15
ENG-Premier League,2324,Everton,Mackenzie Hunt,ENG,DF,22-097,2001,0,,,,,0,,0,0,,13,,,,,,,,,,,
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,31-039,1993,7,404,58,18.7,4.5,4,83,3,3,24,14,0.43,2,11,-9,-2.0,-2.16,5.4,9.2,-3.8,-0.84,-1.18
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,22-126,2001,19,961,51,44.5,10.7,9,87,8,10,18,5,1.11,12,19,-7,-0.66,-0.73,17.2,18.4,-1.2,-0.11,-0.42
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,27-189,1996,2,111,56,5.1,1.2,1,71,0,1,40,1,0.0,0,2,-2,-1.62,-1.45,2.8,1.5,1.3,1.08,1.01
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,35-131,1988,5,235,47,10.9,2.6,2,78,1,3,26,3,1.0,1,2,-1,-0.38,-0.15,4.7,3.2,1.5,0.57,0.5
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,21-053,2002,1,1,1,0.0,0.0,0,,0,1,1,2,0.0,0,0,0,0.0,0.25,0.0,0.2,-0.2,-19.26,-19.39
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20-352,2003,1,1,1,0.0,0.0,0,,0,1,1,4,0.0,0,0,0,0.0,0.25,0.0,0.0,0.0,0.0,-0.12
ENG-Premier League,2324,Everton,Vitaliy Mykolenko,UKR,DF,24-266,1999,19,1707,90,79.0,19.0,19,90,18,0,,4,1.32,22,23,-1,-0.05,0.94,27.5,25.2,2.3,0.12,0.0
ENG-Premier League,2324,Everton,Youssef Chermiti,POR,FW,19-271,2004,9,65,7,3.0,0.7,0,,0,9,7,13,1.11,1,2,-1,-1.38,-1.17,2.7,1.7,1.0,1.35,1.27
ENG-Premier League,2324,Fulham,Adama Traoré,ESP,"FW,MF",28-025,1996,6,66,11,2.9,0.7,0,,0,6,11,0,0.67,1,3,-2,-2.73,-2.52,1.2,3.6,-2.4,-3.26,-2.87
ENG-Premier League,2324,Fulham,Aleksandar Mitrović,SRB,FW,29-156,1994,1,33,33,1.5,0.4,0,,0,1,33,0,3.0,1,0,1,2.73,3.05,1.2,0.6,0.7,1.79,2.3
ENG-Premier League,2324,Fulham,Alex Iwobi,NGA,"FW,MF",27-292,1996,17,1152,68,51.2,12.8,12,82,3,5,34,0,1.18,21,19,2,0.16,0.89,18.3,16.2,2.1,0.17,1.33
ENG-Premier League,2324,Fulham,Andreas Pereira,BRA,MF,28-049,1996,25,1735,69,77.1,19.3,22,75,4,3,28,0,1.16,27,27,0,0.0,1.22,24.3,29.1,-4.9,-0.25,1.0
ENG-Premier League,2324,Fulham,Antonee Robinson,USA,DF,26-195,1997,24,2108,88,93.7,23.4,24,88,20,0,,0,1.08,31,40,-9,-0.38,-1.65,29.0,41.9,-12.8,-0.55,-1.04
ENG-Premier League,2324,Fulham,Armando Broja,ALB,FW,22-162,2001,2,33,17,1.5,0.4,0,,0,2,17,0,2.0,0,1,-1,-2.73,-2.48,0.2,0.7,-0.5,-1.33,-0.86
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31-352,1992,25,2250,90,100.0,25.0,25,90,25,0,,0,1.16,34,41,-7,-0.28,,31.4,43.5,-12.1,-0.48,
ENG-Premier League,2324,Fulham,Bobby Reid,JAM,FW,31-017,1993,23,1158,50,51.5,12.9,14,70,1,9,19,2,1.13,17,26,-9,-0.7,-0.86,15.0,24.1,-9.1,-0.69,-0.45
ENG-Premier League,2324,Fulham,Calvin Bassey,NGA,DF,24-050,1999,16,1132,71,50.3,12.6,12,89,11,4,15,4,1.25,23,22,1,0.08,0.72,17.0,20.1,-3.1,-0.25,0.47
ENG-Premier League,2324,Fulham,Carlos Vinícius,BRA,FW,28-331,1995,13,315,24,14.0,3.5,2,61,0,11,18,7,1.23,6,5,1,0.29,0.66,6.5,4.3,2.2,0.63,1.3
ENG-Premier League,2324,Fulham,Devan Tanton,COL,DF,20-047,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2324,Fulham,Fodé Ballo-Touré,SEN,"DF,MF",27-047,1997,5,58,12,2.6,0.6,0,,0,5,12,14,1.8,2,1,1,1.55,1.88,1.5,0.8,0.7,1.04,1.56
ENG-Premier League,2324,Fulham,Harrison Reed,ENG,MF,29-023,1995,19,911,48,40.5,10.1,10,79,5,9,14,6,1.32,13,20,-7,-0.69,-0.69,13.1,19.4,-6.3,-0.62,-0.23
