,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Manchester Utd,Casemiro,BRA,MF,32-005,1992,11.1,1,23,5,21.7,2.08,0.45,0.04,0.2,18.3,1,0,0,2.3,2.3,0.1,-1.3,-1.3
ENG-Premier League,2324,Manchester Utd,Christian Eriksen,DEN,MF,32-014,1992,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,21.5,1,0,0,0.7,0.7,0.08,0.3,0.3
ENG-Premier League,2324,Manchester Utd,Daniel Gore,ENG,MF,19-155,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Diogo Dalot,POR,DF,24-347,1999,23.3,1,20,3,15.0,0.86,0.13,0.05,0.33,20.5,0,0,0,0.9,0.9,0.04,0.1,0.1
ENG-Premier League,2324,Manchester Utd,Donny van de Beek,NED,DF,26-316,1997,0.0,0,1,0,0.0,30.0,0.0,0.0,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Facundo Pellistri,URU,"FW,MF",22-070,2001,1.9,0,4,2,50.0,2.09,1.05,0.0,0.0,11.5,0,0,0,0.7,0.7,0.18,-0.7,-0.7
ENG-Premier League,2324,Manchester Utd,Hannibal Mejbri,TUN,"MF,FW",21-038,2003,1.5,1,1,1,100.0,0.68,0.68,1.0,1.0,28.7,0,0,0,0.0,0.0,0.03,1.0,1.0
ENG-Premier League,2324,Manchester Utd,Harry Maguire,ENG,DF,30-360,1993,12.9,1,13,2,15.4,1.01,0.16,0.08,0.5,10.3,0,0,0,1.7,1.7,0.13,-0.7,-0.7
ENG-Premier League,2324,Manchester Utd,Jadon Sancho,ENG,"FW,MF",23-340,2000,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Jonny Evans,NIR,DF,36-056,1988,10.3,0,1,0,0.0,0.1,0.0,0.0,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Manchester Utd,Kobbie Mainoo,ENG,MF,18-315,2005,10.5,1,5,2,40.0,0.48,0.19,0.2,0.5,23.1,0,0,0,0.2,0.2,0.04,0.8,0.8
ENG-Premier League,2324,Manchester Utd,Lisandro Martínez,ARG,DF,26-041,1998,6.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Luke Shaw,ENG,DF,28-231,1995,10.7,0,2,0,0.0,0.19,0.0,0.0,,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Marcus Rashford,ENG,FW,26-120,1997,20.3,5,54,17,31.5,2.66,0.84,0.07,0.24,16.6,1,1,1,6.0,5.2,0.1,-1.0,-1.2
ENG-Premier League,2324,Manchester Utd,Mason Mount,ENG,MF,25-049,1999,4.4,0,3,0,0.0,0.68,0.0,0.0,,13.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2324,Manchester Utd,Omari Forson,ENG,FW,19-223,2004,0.6,0,1,0,0.0,1.58,0.0,0.0,,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,2324,Manchester Utd,Raphaël Varane,FRA,DF,30-309,1993,12.0,1,8,2,25.0,0.66,0.17,0.13,0.5,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3
ENG-Premier League,2324,Manchester Utd,Rasmus Højlund,DEN,FW,21-024,2003,16.3,7,29,15,51.7,1.78,0.92,0.24,0.47,11.1,0,0,0,6.5,6.5,0.23,0.5,0.5
ENG-Premier League,2324,Manchester Utd,Scott McTominay,SCO,MF,27-082,1996,14.4,7,35,17,48.6,2.44,1.18,0.2,0.41,14.1,0,0,0,5.1,5.1,0.15,1.9,1.9
ENG-Premier League,2324,Manchester Utd,Sergio Reguilón,ESP,DF,27-074,1996,4.6,0,4,0,0.0,0.87,0.0,0.0,,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2324,Manchester Utd,Sofyan Amrabat,MAR,"MF,DF",27-191,1996,6.9,0,2,0,0.0,0.29,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2324,Manchester Utd,Victor Lindelöf,SWE,DF,29-226,1994,12.0,1,4,2,50.0,0.33,0.17,0.25,0.5,8.5,0,0,0,0.4,0.4,0.09,0.6,0.6
ENG-Premier League,2324,Manchester Utd,Willy Kambwala,FRA,DF,19-187,2004,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Alex Murphy,IRL,"FW,DF",19-248,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Alexander Isak,SWE,FW,24-160,1999,13.8,10,37,19,51.4,2.68,1.38,0.22,0.42,13.1,0,2,2,10.1,8.6,0.24,-0.1,-0.6
ENG-Premier League,2324,Newcastle Utd,Amadou Diallo,ENG,MF,21-013,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Anthony Gordon,ENG,FW,23-004,2001,22.9,8,55,21,38.2,2.4,0.92,0.13,0.33,17.7,0,1,1,7.4,6.6,0.12,0.6,0.4
ENG-Premier League,2324,Newcastle Utd,Ben Parkinson,ENG,FW,18-355,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Bruno Guimarães,BRA,MF,26-104,1997,24.4,3,29,9,31.0,1.19,0.37,0.1,0.33,18.2,0,0,0,2.5,2.5,0.09,0.5,0.5
ENG-Premier League,2324,Newcastle Utd,Callum Wilson,ENG,FW,32-001,1992,9.6,7,29,15,51.7,3.03,1.57,0.17,0.33,12.2,0,2,2,7.2,5.7,0.2,-0.2,-0.7
ENG-Premier League,2324,Newcastle Utd,Dan Burn,ENG,DF,31-295,1992,18.5,2,13,5,38.5,0.7,0.27,0.15,0.4,8.7,0,0,0,1.9,1.9,0.16,0.1,0.1
ENG-Premier League,2324,Newcastle Utd,Elliot Anderson,SCO,"MF,FW",21-114,2002,4.6,0,7,2,28.6,1.53,0.44,0.0,0.0,14.0,0,0,0,0.7,0.7,0.1,-0.7,-0.7
ENG-Premier League,2324,Newcastle Utd,Emil Krafth,SWE,DF,29-210,1994,1.0,0,1,0,0.0,1.05,0.0,0.0,,20.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Newcastle Utd,Fabian Schär,SUI,DF,32-070,1991,25.1,3,29,8,27.6,1.15,0.32,0.1,0.38,18.4,2,0,0,2.3,2.3,0.08,0.7,0.7
ENG-Premier League,2324,Newcastle Utd,Harvey Barnes,ENG,FW,26-081,1997,3.8,2,11,4,36.4,2.92,1.06,0.18,0.5,19.5,0,0,0,1.1,1.1,0.1,0.9,0.9
ENG-Premier League,2324,Newcastle Utd,Jacob Murphy,ENG,FW,29-004,1995,3.9,1,12,3,25.0,3.07,0.77,0.08,0.33,17.4,0,0,0,0.8,0.8,0.07,0.2,0.2
ENG-Premier League,2324,Newcastle Utd,Jamaal Lascelles,ENG,DF,30-109,1993,11.8,1,6,1,16.7,0.51,0.08,0.17,1.0,9.3,0,0,0,0.7,0.7,0.12,0.3,0.3
ENG-Premier League,2324,Newcastle Utd,Joe White,ENG,MF,21-150,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Joe Willock,ENG,"MF,FW",24-192,1999,1.7,1,2,2,100.0,1.16,1.16,0.5,0.5,5.8,0,0,0,0.2,0.2,0.1,0.8,0.8
ENG-Premier League,2324,Newcastle Utd,Joelinton,BRA,"MF,FW",27-198,1996,12.6,2,15,5,33.3,1.19,0.4,0.13,0.4,16.0,0,0,0,2.3,2.3,0.15,-0.3,-0.3
ENG-Premier League,2324,Newcastle Utd,Kieran Trippier,ENG,DF,33-162,1990,23.5,1,7,2,28.6,0.3,0.09,0.14,0.5,23.1,3,0,0,0.6,0.6,0.09,0.4,0.4
ENG-Premier League,2324,Newcastle Utd,Lewis Hall,ENG,DF,19-173,2004,1.2,0,1,1,100.0,0.81,0.81,0.0,0.0,20.2,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Lewis Miley,ENG,MF,17-303,2006,13.0,1,13,3,23.1,1.0,0.23,0.08,0.33,15.4,0,0,0,1.2,1.2,0.1,-0.2,-0.2
ENG-Premier League,2324,Newcastle Utd,Loris Karius,GER,GK,30-251,1993,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Martin Dúbravka,SVK,GK,35-044,1989,11.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Matt Ritchie,SCO,FW,34-171,1989,1.2,1,5,3,60.0,4.13,2.48,0.2,0.33,11.9,0,0,0,0.8,0.8,0.16,0.2,0.2
ENG-Premier League,2324,Newcastle Utd,Matt Targett,ENG,DF,28-163,1995,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Michael Ndiweni,ENG,FW,20-088,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Miguel Almirón,PAR,FW,30-018,1994,19.4,3,38,9,23.7,1.96,0.46,0.08,0.33,16.7,0,0,0,4.3,4.3,0.11,-1.3,-1.3
ENG-Premier League,2324,Newcastle Utd,Nick Pope,ENG,GK,31-315,1992,13.9,0,1,0,0.0,0.07,0.0,0.0,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Paul Dummett,WAL,DF,32-155,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Newcastle Utd,Sandro Tonali,ITA,MF,23-296,2000,4.9,1,3,2,66.7,0.62,0.41,0.33,0.5,15.8,0,0,0,0.7,0.7,0.22,0.3,0.3
ENG-Premier League,2324,Newcastle Utd,Sean Longstaff,ENG,MF,26-121,1997,19.1,4,24,10,41.7,1.26,0.52,0.17,0.4,15.5,0,0,0,3.6,3.6,0.15,0.4,0.4
ENG-Premier League,2324,Newcastle Utd,Sven Botman,NED,DF,24-047,2000,13.3,2,9,2,22.2,0.68,0.15,0.22,1.0,10.6,0,0,0,0.6,0.6,0.06,1.4,1.4
ENG-Premier League,2324,Newcastle Utd,Valentino Livramento,ENG,DF,21-108,2002,9.4,0,1,0,0.0,0.11,0.0,0.0,,18.9,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Andrew Omobamidele,IRL,DF,21-250,2002,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Andrey Santos,BRA,MF,19-301,2004,0.1,0,2,0,0.0,22.5,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Anthony Elanga,SWE,FW,21-307,2002,19.1,5,43,19,44.2,2.25,0.99,0.12,0.26,15.5,0,0,0,5.2,5.2,0.12,-0.2,-0.2
ENG-Premier League,2324,Nott'ham Forest,Brandon Aguilera,CRC,FW,20-245,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Brennan Johnson,WAL,"FW,MF",22-281,2001,2.6,0,3,0,0.0,1.14,0.0,0.0,,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3
ENG-Premier League,2324,Nott'ham Forest,Callum Hudson-Odoi,ENG,FW,23-113,2000,10.7,4,14,7,50.0,1.31,0.66,0.29,0.57,17.9,0,0,0,1.2,1.2,0.08,2.8,2.8
ENG-Premier League,2324,Nott'ham Forest,Cheikhou Kouyaté,SEN,MF,34-069,1989,2.3,0,4,1,25.0,1.76,0.44,0.0,0.0,20.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
ENG-Premier League,2324,Nott'ham Forest,Chris Wood,NZL,FW,32-083,1991,9.7,8,22,12,54.5,2.27,1.24,0.36,0.67,10.5,0,0,0,5.4,5.4,0.24,2.6,2.6
ENG-Premier League,2324,Nott'ham Forest,Danilo,BRA,"MF,FW",22-305,2001,11.7,1,14,4,28.6,1.2,0.34,0.07,0.25,22.6,0,0,0,0.6,0.6,0.05,0.4,0.4
ENG-Premier League,2324,Nott'ham Forest,Divock Origi,BEL,"FW,MF",28-316,1995,3.0,0,4,1,25.0,1.31,0.33,0.0,0.0,22.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
ENG-Premier League,2324,Nott'ham Forest,Felipe,BRA,DF,34-288,1989,3.0,0,2,0,0.0,0.67,0.0,0.0,,6.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Gio Reyna,USA,"MF,FW",21-107,2002,0.5,0,1,0,0.0,2.2,0.0,0.0,,25.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Gonzalo Montiel,ARG,DF,27-058,1997,5.5,0,2,0,0.0,0.36,0.0,0.0,,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Harry Toffolo,ENG,DF,28-193,1995,11.7,1,8,5,62.5,0.68,0.43,0.13,0.2,14.4,0,0,0,1.6,1.6,0.21,-0.6,-0.6
ENG-Premier League,2324,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,26-088,1997,9.1,0,6,0,0.0,0.66,0.0,0.0,,16.0,0,0,0,0.6,0.6,0.1,-0.6,-0.6
ENG-Premier League,2324,Nott'ham Forest,Joe Worrall,ENG,DF,27-049,1997,4.9,0,2,0,0.0,0.41,0.0,0.0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Matt Turner,USA,GK,29-249,1994,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Matz Sels,BEL,GK,32-002,1992,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Morgan Gibbs-White,ENG,"MF,FW",24-032,2000,23.6,3,45,8,17.8,1.9,0.34,0.04,0.25,19.5,1,1,1,4.6,3.8,0.08,-1.6,-1.8
ENG-Premier League,2324,Nott'ham Forest,Moussa Niakhate,SEN,DF,27-357,1996,12.9,1,5,1,20.0,0.39,0.08,0.2,1.0,9.0,0,0,0,1.1,1.1,0.22,-0.1,-0.1
ENG-Premier League,2324,Nott'ham Forest,Murillo,BRA,DF,21-239,2002,19.2,0,9,3,33.3,0.47,0.16,0.0,0.0,14.0,0,0,0,1.0,1.0,0.12,-1.0,-1.0
ENG-Premier League,2324,Nott'ham Forest,Neco Williams,WAL,"DF,FW",22-321,2001,9.9,0,6,1,16.7,0.61,0.1,0.0,0.0,19.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2324,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",25-245,1998,13.3,2,17,5,29.4,1.28,0.38,0.12,0.4,17.0,0,0,0,1.1,1.1,0.06,0.9,0.9
ENG-Premier League,2324,Nott'ham Forest,Nuno Tavares,POR,DF,24-033,2000,5.1,0,7,1,14.3,1.38,0.2,0.0,0.0,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ENG-Premier League,2324,Nott'ham Forest,Odisseas Vlachodimos,GRE,GK,29-308,1994,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Ola Aina,NGA,DF,27-143,1996,11.0,1,6,1,16.7,0.55,0.09,0.17,1.0,26.3,0,0,0,0.2,0.2,0.03,0.8,0.8
ENG-Premier League,2324,Nott'ham Forest,Orel Mangala,BEL,MF,25-347,1998,17.4,1,10,1,10.0,0.58,0.06,0.1,1.0,18.9,0,0,0,0.8,0.8,0.08,0.2,0.2
ENG-Premier League,2324,Nott'ham Forest,Rodrigo Ribeiro,POR,FW,18-306,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Nott'ham Forest,Ryan Yates,ENG,MF,26-099,1997,13.0,0,17,4,23.5,1.31,0.31,0.0,0.0,17.9,0,0,0,1.7,1.7,0.1,-1.7,-1.7
ENG-Premier League,2324,Nott'ham Forest,Scott McKenna,SCO,DF,27-108,1996,4.6,0,2,0,0.0,0.43,0.0,0.0,,10.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2
ENG-Premier League,2324,Nott'ham Forest,Serge Aurier,CIV,"DF,MF",31-066,1992,9.3,0,6,1,16.7,0.65,0.11,0.0,0.0,16.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2324,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,26-200,1997,10.9,6,21,11,52.4,1.93,1.01,0.29,0.55,10.8,0,0,0,4.7,4.7,0.22,1.3,1.3
ENG-Premier League,2324,Nott'ham Forest,Willy Boly,CIV,DF,33-025,1991,11.1,1,11,5,45.5,0.99,0.45,0.09,0.2,10.5,0,0,0,1.3,1.3,0.12,-0.3,-0.3
ENG-Premier League,2324,Sheffield Utd,Andre Brooks,ENG,"MF,DF",20-192,2003,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2324,Sheffield Utd,Anel Ahmedhodžić,BIH,DF,24-339,1999,19.5,1,15,3,20.0,0.77,0.15,0.07,0.33,12.4,0,0,0,2.5,2.5,0.17,-1.5,-1.5
ENG-Premier League,2324,Sheffield Utd,Anis Ben Slimane,TUN,MF,22-349,2001,4.1,0,6,3,50.0,1.48,0.74,0.0,0.0,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7
ENG-Premier League,2324,Sheffield Utd,Antwoine Hackford,ENG,FW,19-345,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Auston Trusty,USA,DF,25-200,1998,17.7,0,5,1,20.0,0.28,0.06,0.0,0.0,14.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2324,Sheffield Utd,Ben Brereton,CHI,MF,24-316,1999,1.9,2,6,4,66.7,3.09,2.06,0.33,0.5,15.2,0,0,0,1.1,1.1,0.18,0.9,0.9
ENG-Premier League,2324,Sheffield Utd,Ben Osborn,ENG,"MF,DF",29-207,1994,6.0,0,2,0,0.0,0.33,0.0,0.0,,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ENG-Premier League,2324,Sheffield Utd,Bénie Adama Traore,CIV,"FW,MF",21-090,2002,4.3,0,1,1,100.0,0.23,0.23,0.0,0.0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
ENG-Premier League,2324,Sheffield Utd,Cameron Archer,ENG,"FW,MF",22-222,2001,16.1,4,29,7,24.1,1.8,0.43,0.14,0.57,16.2,0,0,0,3.9,3.9,0.14,0.1,0.1
ENG-Premier League,2324,Sheffield Utd,Chris Basham,ENG,"DF,MF",35-223,1988,3.6,0,2,0,0.0,0.56,0.0,0.0,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Sheffield Utd,George Baldock,GRE,DF,30-356,1993,9.3,0,1,0,0.0,0.11,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Gustavo Hamer,NED,MF,26-249,1997,20.9,2,29,6,20.7,1.39,0.29,0.07,0.33,24.0,3,0,0,1.9,1.9,0.07,0.1,0.1
ENG-Premier League,2324,Sheffield Utd,Ivo Grbić,CRO,GK,28-041,1996,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Jack Robinson,ENG,DF,30-180,1993,23.8,0,8,2,25.0,0.34,0.08,0.0,0.0,12.5,0,0,0,0.8,0.8,0.1,-0.8,-0.8
ENG-Premier League,2324,Sheffield Utd,James Mcatee,ENG,"MF,FW",21-133,2002,16.7,3,20,6,30.0,1.2,0.36,0.1,0.33,18.5,2,1,1,2.4,1.6,0.08,0.6,0.4
ENG-Premier League,2324,Sheffield Utd,Jayden Bogle,ENG,DF,23-216,2000,19.5,1,15,4,26.7,0.77,0.2,0.07,0.25,16.6,0,0,0,1.2,1.2,0.08,-0.2,-0.2
ENG-Premier League,2324,Sheffield Utd,John Egan,IRL,DF,31-131,1992,5.4,0,3,1,33.3,0.56,0.19,0.0,0.0,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2324,Sheffield Utd,John Fleck,SCO,"MF,DF",32-188,1991,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Luke Thomas,ENG,DF,22-263,2001,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,15.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
ENG-Premier League,2324,Sheffield Utd,Mason Holgate,ENG,DF,27-129,1996,2.1,0,2,0,0.0,0.94,0.0,0.0,,7.1,0,0,0,0.4,0.4,0.22,-0.4,-0.4
ENG-Premier League,2324,Sheffield Utd,Max Lowe,ENG,"DF,MF",26-293,1997,4.4,0,2,0,0.0,0.45,0.0,0.0,,10.4,0,0,0,0.6,0.6,0.29,-0.6,-0.6
ENG-Premier League,2324,Sheffield Utd,Oliver McBurnie,SCO,FW,27-269,1996,8.8,4,19,9,47.4,2.16,1.02,0.11,0.22,12.7,0,2,2,3.9,2.3,0.12,0.1,-0.3
ENG-Premier League,2324,Sheffield Utd,Oliver Norwood,NIR,MF,32-322,1991,15.3,1,14,5,35.7,0.91,0.33,0.0,0.0,32.9,0,1,1,1.1,0.3,0.02,-0.1,-0.3
ENG-Premier League,2324,Sheffield Utd,Rhian Brewster,ENG,"FW,MF",23-333,2000,3.4,0,6,3,50.0,1.76,0.88,0.0,0.0,23.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,2324,Sheffield Utd,Rhys Norrington-Davies,WAL,DF,24-312,1999,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Ryan One,SCO,FW,17-247,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Sydie Peck,ENG,MF,19-168,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,Tom Davies,ENG,"MF,FW",25-243,1998,1.5,0,3,0,0.0,2.06,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2324,Sheffield Utd,Vinicius Souza,BRA,MF,24-256,1999,22.6,1,10,4,40.0,0.44,0.18,0.1,0.25,22.4,0,0,0,0.4,0.4,0.04,0.6,0.6
ENG-Premier League,2324,Sheffield Utd,Wes Foderingham,ENG,GK,33-045,1991,24.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Sheffield Utd,William Osula,DEN,FW,20-208,2003,7.5,0,19,7,36.8,2.54,0.93,0.0,0.0,13.6,0,0,0,1.5,1.5,0.08,-1.5,-1.5
ENG-Premier League,2324,Sheffield Utd,Yasser Larouci,ALG,DF,23-058,2001,4.7,0,5,1,20.0,1.07,0.21,0.0,0.0,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,2324,Tottenham,Alejo Véliz,ARG,FW,20-162,2003,0.6,1,2,1,50.0,3.6,1.8,0.5,1.0,8.9,0,0,0,0.2,0.2,0.12,0.8,0.8
ENG-Premier League,2324,Tottenham,Ben Davies,WAL,DF,30-310,1993,11.1,1,12,2,16.7,1.08,0.18,0.08,0.5,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3
ENG-Premier League,2324,Tottenham,Brennan Johnson,WAL,FW,22-281,2001,12.0,3,28,13,46.4,2.33,1.08,0.11,0.23,14.4,0,0,0,4.5,4.5,0.16,-1.5,-1.5
ENG-Premier League,2324,Tottenham,Bryan Gil,ESP,"FW,MF",23-017,2001,2.2,0,3,1,33.3,1.38,0.46,0.0,0.0,11.4,0,0,0,0.7,0.7,0.24,-0.7,-0.7
ENG-Premier League,2324,Tottenham,Cristian Romero,ARG,DF,25-307,1998,18.0,3,11,3,27.3,0.61,0.17,0.27,1.0,11.3,0,0,0,1.4,1.4,0.13,1.6,1.6
ENG-Premier League,2324,Tottenham,Davinson Sánchez,COL,DF,27-261,1996,0.9,0,1,0,0.0,1.17,0.0,0.0,,8.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1
ENG-Premier League,2324,Tottenham,Dejan Kulusevski,SWE,"FW,MF",23-309,2000,21.5,6,41,17,41.5,1.9,0.79,0.15,0.35,15.7,0,0,0,3.3,3.3,0.08,2.7,2.7
ENG-Premier League,2324,Tottenham,Destiny Udogie,ITA,DF,21-092,2002,19.6,2,7,4,57.1,0.36,0.2,0.29,0.5,8.7,0,0,0,2.2,2.2,0.33,-0.2,-0.2
ENG-Premier League,2324,Tottenham,Emerson,BRA,DF,25-045,1999,9.7,1,5,3,60.0,0.52,0.31,0.2,0.33,21.4,0,0,0,0.2,0.2,0.03,0.8,0.8
ENG-Premier League,2324,Tottenham,Eric Dier,ENG,DF,30-044,1994,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Tottenham,Giovani Lo Celso,ARG,MF,27-325,1996,4.7,2,8,4,50.0,1.72,0.86,0.25,0.5,21.7,0,0,0,0.4,0.4,0.05,1.6,1.6
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,27-144,1996,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Tottenham,Ivan Perišić,CRO,FW,35-026,1989,1.1,0,2,0,0.0,1.75,0.0,0.0,,13.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2324,Tottenham,James Maddison,ENG,MF,27-097,1996,13.6,3,37,18,48.6,2.71,1.32,0.08,0.17,19.4,2,0,0,3.4,3.4,0.09,-0.4,-0.4
ENG-Premier League,2324,Tottenham,Jamie Donley,ENG,FW,19-056,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Tottenham,Manor Solomon,ISR,FW,24-219,1999,2.2,0,7,1,14.3,3.17,0.45,0.0,0.0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
