,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30-350,1993,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,8.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25-295,1998,23.9,9,40,12,30.0,1.68,0.5,0.13,0.42,23.9,5,4,4,6.5,3.3,0.08,2.5,1.7
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-179,1992,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,26-128,1997,22.2,0,11,3,27.3,0.5,0.14,0.0,0.0,11.2,0,0,0,1.8,1.8,0.16,-1.8,-1.8
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,"MF,FW",22-276,2001,9.2,1,17,3,17.6,1.85,0.33,0.06,0.33,16.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,FW,22-020,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Aston Villa,Jhon Durán,COL,"FW,MF",20-077,2003,2.1,2,12,4,33.3,5.84,1.95,0.17,0.5,16.7,0,0,0,1.3,1.3,0.11,0.7,0.7
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",29-133,1994,24.7,6,35,14,40.0,1.42,0.57,0.17,0.43,19.5,3,0,0,4.3,4.3,0.12,1.7,1.7
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28-319,1995,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,12.5,0,0,0,0.7,0.7,0.37,0.3,0.3
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",26-203,1997,14.0,8,39,14,35.9,2.79,1.0,0.21,0.57,16.6,1,0,0,4.4,4.4,0.11,3.6,3.6
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30-223,1993,17.4,0,13,3,23.1,0.75,0.17,0.0,0.0,21.9,4,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,26-205,1997,18.6,2,29,13,44.8,1.56,0.7,0.07,0.15,15.7,0,0,0,3.9,3.9,0.14,-1.9,-1.9
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,"MF,FW",21-217,2002,0.1,0,2,0,0.0,16.36,0.0,0.0,,13.4,0,0,0,0.3,0.3,0.15,-0.3,-0.3
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24-236,1999,16.5,4,40,16,40.0,2.43,0.97,0.1,0.25,15.8,0,0,0,5.0,5.0,0.13,-1.0,-1.0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24-241,1999,6.1,1,19,5,26.3,3.13,0.82,0.05,0.2,14.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,28-060,1995,25.5,14,80,35,43.8,3.14,1.37,0.18,0.4,12.5,0,0,0,13.5,13.5,0.17,0.5,0.5
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,27-043,1997,18.4,2,9,4,44.4,0.49,0.22,0.22,0.5,14.7,0,0,0,0.9,0.9,0.1,1.1,1.1
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31-261,1992,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-051,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20-243,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30-352,1993,0.3,0,1,0,0.0,3.0,0.0,0.0,,18.4,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26-297,1997,10.2,1,8,3,37.5,0.78,0.29,0.13,0.33,18.0,0,0,0,1.0,1.0,0.13,0.0,0.0
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30-265,1993,8.5,2,7,4,57.1,0.83,0.47,0.29,0.5,11.9,0,0,0,1.1,1.1,0.16,0.9,0.9
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32-305,1991,13.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,20-191,2003,6.5,1,8,2,25.0,1.23,0.31,0.13,0.5,24.9,2,0,0,0.4,0.4,0.05,0.6,0.6
