,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Leverkusen,Lukáš Hrádecký,FIN,GK,34-087,1989,21,21,1890,21.0,15,0.71,76,61,80.3,18,3,0,10,47.6,0,0,0,0,
GER-Bundesliga,2324,Leverkusen,Matej Kovar,CZE,GK,23-278,2000,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
GER-Bundesliga,2324,M'Gladbach,Jonas Omlin,SUI,GK,30-040,1994,2,2,180,2.0,7,3.5,18,11,66.7,0,1,1,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2324,M'Gladbach,Moritz Nicolas,GER,GK,26-121,1997,20,20,1800,20.0,36,1.8,123,87,74.0,5,6,9,3,15.0,4,4,0,0,0.0
GER-Bundesliga,2324,Mainz 05,Daniel Batz,GER,GK,33-038,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,
GER-Bundesliga,2324,Mainz 05,Robin Zentner,GER,GK,29-114,1994,18,18,1620,18.0,32,1.78,73,42,58.9,2,7,9,3,16.7,2,2,0,0,0.0
GER-Bundesliga,2324,RB Leipzig,Janis Blaswich,GER,GK,32-293,1991,19,19,1710,19.0,26,1.37,66,40,65.2,10,3,6,5,26.3,3,3,0,0,0.0
GER-Bundesliga,2324,RB Leipzig,Péter Gulácsi,HUN,GK,33-289,1990,3,3,270,3.0,2,0.67,6,4,66.7,2,1,0,2,66.7,0,0,0,0,
GER-Bundesliga,2324,Stuttgart,Alexander Nübel,GER,GK,27-142,1996,20,20,1800,20.0,26,1.3,73,49,65.8,13,1,6,6,30.0,1,1,0,0,0.0
GER-Bundesliga,2324,Stuttgart,Fabian Bredlow,GER,GK,28-354,1995,2,2,180,2.0,2,1.0,13,11,84.6,2,0,0,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Union Berlin,Alexander Schwolow,GER,GK,31-262,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Union Berlin,Frederik Rønnow,DEN,GK,31-199,1992,21,21,1890,21.0,33,1.57,102,68,70.6,7,3,11,5,23.8,5,3,2,0,40.0
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31-311,1992,7,7,630,7.0,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28-222,1995,15,15,1350,15.0,17,1.13,62,46,75.8,6,5,4,5,33.3,2,2,0,0,0.0
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31-239,1992,18,18,1620,18.0,26,1.44,86,61,70.9,6,5,7,3,16.7,1,1,0,0,0.0
