,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Newcastle Utd,Loris Karius,GER,GK,30-251,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.0,19.5
ENG-Premier League,2324,Newcastle Utd,Martin Dúbravka,SVK,GK,35-044,1989,11.1,27,3,0,1,0,29.8,0.33,2.8,0.25,30,89,33.7,251,75,18.7,26.9,88,47.7,36.9,166,11,6.6,10,0.9,11.5
ENG-Premier League,2324,Newcastle Utd,Nick Pope,ENG,GK,31-315,1992,13.9,14,0,1,2,0,15.1,0.3,1.1,0.08,35,100,35.0,282,85,18.8,27.8,85,55.3,42.3,128,6,4.7,28,2.01,19.8
ENG-Premier League,2324,Nott'ham Forest,Matt Turner,USA,GK,29-249,1994,17.0,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45.0,436,99,42.7,35.7,136,69.1,47.0,296,30,10.1,18,1.06,13.3
ENG-Premier League,2324,Nott'ham Forest,Matz Sels,BEL,GK,32-002,1992,4.0,8,0,0,3,0,4.9,0.33,-3.1,-0.78,8,36,22.2,70,14,42.9,34.9,17,35.3,32.1,52,1,1.9,2,0.5,12.6
ENG-Premier League,2324,Nott'ham Forest,Odisseas Vlachodimos,GRE,GK,29-308,1994,5.0,12,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3
ENG-Premier League,2324,Sheffield Utd,Ivo Grbić,CRO,GK,28-041,1996,1.6,3,0,0,0,0,2.0,0.51,-1.0,-0.61,11,24,45.8,38,9,28.9,28.6,21,61.9,47.0,36,4,11.1,1,0.64,8.9
ENG-Premier League,2324,Sheffield Utd,Wes Foderingham,ENG,GK,33-045,1991,24.4,63,3,0,8,4,57.5,0.34,-1.5,-0.06,171,518,33.0,650,83,55.1,40.5,214,74.8,53.2,404,17,4.2,34,1.39,15.4
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,27-144,1996,25.0,38,6,0,4,2,42.3,0.33,6.3,0.25,40,184,21.7,902,144,17.3,25.4,156,17.9,23.6,367,23,6.3,53,2.12,17.0
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,31-001,1993,22.5,37,4,0,2,1,36.9,0.25,0.9,0.04,119,324,36.7,468,102,44.9,37.0,176,64.8,45.8,357,19,5.3,3,0.13,9.0
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38-316,1985,3.5,9,1,0,2,0,6.9,0.3,-2.1,-0.6,19,51,37.3,81,19,45.7,36.0,25,56.0,43.6,64,5,7.8,1,0.28,8.3
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30-230,1993,2.8,3,0,0,0,0,2.5,0.25,-0.5,-0.2,9,34,26.5,62,7,35.5,32.9,25,48.0,36.0,39,0,0.0,1,0.36,10.6
ENG-Premier League,2324,Wolves,José Sá,POR,GK,31-042,1993,23.2,37,5,1,3,1,40.5,0.33,4.5,0.19,57,285,20.0,550,132,34.7,34.3,169,55.6,42.5,365,38,10.4,17,0.73,12.3
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,27-201,1996,26.0,32,7,0,2,2,32.6,0.26,2.6,0.1,197,497,39.6,595,85,59.5,43.6,225,63.6,45.4,387,18,4.7,21,0.81,13.5
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33-295,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33-263,1990,2.0,7,0,0,0,0,4.9,0.45,-2.1,-1.05,14,40,35.0,67,14,47.8,37.2,16,50.0,45.8,32,2,6.3,5,2.5,17.9
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,25-054,1999,23.0,45,4,0,6,0,42.9,0.33,-2.1,-0.09,109,387,28.2,675,107,39.3,35.6,192,63.5,47.3,392,21,5.4,27,1.17,14.4
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26-262,1997,26.0,26,0,0,2,2,28.4,0.29,4.4,0.17,164,504,32.5,724,106,49.6,39.1,175,82.9,60.3,326,22,6.7,39,1.5,17.6
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-052,1993,26.0,28,1,0,3,0,26.9,0.26,-1.1,-0.04,72,218,33.0,500,128,25.0,30.5,201,46.3,38.2,394,20,5.1,15,0.58,12.5
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-363,1999,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-304,1992,16.0,17,0,0,1,0,16.8,0.29,-0.2,-0.01,53,86,61.6,474,58,13.9,25.9,83,24.1,29.0,192,8,4.2,20,1.25,15.7
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-321,1983,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6
