,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,37-075,1986,1.0,1,0,0,0,0,0.6,0.21,-0.4,-0.37,2,3,66.7,29,3,10.3,24.5,4,0.0,16.8,10,0,0.0,0,0.0,4.0
FRA-Ligue 1,2324,Reims,Yehvann Diouf,FRA,GK,24-104,1999,23.0,31,3,0,3,0,27.6,0.27,-3.4,-0.15,87,227,38.3,773,124,23.4,29.6,106,43.4,37.5,335,26,7.8,27,1.17,13.7
FRA-Ligue 1,2324,Rennes,Steve Mandanda,FRA,GK,38-337,1985,23.0,27,2,0,4,2,22.9,0.22,-2.1,-0.09,93,322,28.9,731,99,31.7,32.5,141,63.8,45.2,321,20,6.2,26,1.13,15.8
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,22-058,2002,4.0,11,1,0,0,0,8.5,0.26,-2.5,-0.64,6,26,23.1,105,22,23.8,29.4,8,12.5,28.8,47,7,14.9,5,1.25,11.5
FRA-Ligue 1,2324,Strasbourg,Matz Sels,BEL,GK,32-002,1992,19.0,24,1,0,2,2,20.0,0.31,-2.0,-0.11,88,226,38.9,505,68,37.4,34.5,113,32.7,33.7,257,6,2.3,19,1.0,13.9
FRA-Ligue 1,2324,Toulouse,Guillaume Restes,FRA,GK,18-354,2005,23.0,31,4,1,4,0,31.1,0.29,0.1,0.0,67,213,31.5,507,66,28.4,29.6,124,55.6,41.6,371,3,0.8,12,0.52,10.8
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25-338,1998,23.0,41,6,0,9,2,39.7,0.26,0.7,0.03,121,335,36.1,901,69,30.5,32.3,129,46.5,41.9,343,22,6.4,36,1.57,14.1
GER-Bundesliga,2324,Bayern Munich,Manuel Neuer,GER,GK,37-338,1986,15.0,19,2,0,1,0,16.8,0.25,-2.2,-0.15,46,104,44.2,524,79,17.9,27.9,65,15.4,26.9,141,7,5.0,13,0.87,15.8
GER-Bundesliga,2324,Bayern Munich,Sven Ulreich,GER,GK,35-209,1988,8.0,7,1,1,2,0,6.6,0.33,-0.4,-0.05,20,64,31.3,261,35,21.8,26.3,34,20.6,27.1,70,2,2.9,14,1.75,23.0
GER-Bundesliga,2324,Bochum,Manuel Riemann,GER,GK,35-172,1988,23.0,46,7,0,5,2,41.4,0.26,-2.6,-0.12,284,729,39.0,1029,59,62.3,42.8,151,58.3,45.0,355,28,7.9,74,3.22,20.2
GER-Bundesliga,2324,Darmstadt 98,Alexander Brunst,GER,GK,28-236,1995,1.0,1,0,0,1,0,0.7,0.25,-0.3,-0.25,12,36,33.3,38,2,71.1,47.6,9,100.0,66.8,24,1,4.2,0,0.0,10.3
GER-Bundesliga,2324,Darmstadt 98,Marcel Schuhen,GER,GK,31-046,1993,22.0,51,1,1,6,1,47.3,0.33,-2.7,-0.12,157,393,39.9,900,122,33.8,33.8,181,49.2,42.2,292,14,4.8,39,1.77,17.2
GER-Bundesliga,2324,Dortmund,Alexander Meyer,GER,GK,32-321,1991,3.7,5,0,0,0,1,3.0,0.27,-1.0,-0.28,9,30,30.0,167,19,14.4,27.6,20,30.0,34.5,49,5,10.2,0,0.0,10.1
GER-Bundesliga,2324,Dortmund,Gregor Kobel,SUI,GK,26-084,1997,19.3,25,5,0,5,1,28.9,0.26,4.9,0.26,93,206,45.1,730,81,21.0,28.4,124,42.7,38.7,271,5,1.8,13,0.67,12.5
GER-Bundesliga,2324,Eint Frankfurt,Jens Grahl,GER,GK,35-159,1988,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.0,15.7
GER-Bundesliga,2324,Eint Frankfurt,Kevin Trapp,GER,GK,33-235,1990,21.0,28,4,0,3,0,29.1,0.27,1.1,0.05,70,236,29.7,661,98,27.8,29.3,142,36.6,33.8,328,9,2.7,20,0.95,14.9
GER-Bundesliga,2324,Freiburg,Noah Atubolu,GER,GK,21-279,2002,23.0,42,3,0,3,1,34.7,0.33,-6.3,-0.27,129,389,33.2,788,108,34.6,33.6,159,73.0,54.8,286,14,4.9,24,1.04,15.1
GER-Bundesliga,2324,Heidenheim,Kevin Müller,GER,GK,32-350,1991,23.0,40,7,0,5,2,37.6,0.25,-0.4,-0.02,189,442,42.8,786,96,38.9,37.1,208,65.4,48.4,361,19,5.3,13,0.57,13.0
GER-Bundesliga,2324,Hoffenheim,Oliver Baumann,GER,GK,33-271,1990,23.0,43,2,2,5,1,47.4,0.33,5.4,0.23,129,330,39.1,750,117,31.5,32.0,173,54.3,44.1,369,23,6.2,46,2.0,16.6
GER-Bundesliga,2324,Köln,Marvin Schwäbe,GER,GK,28-309,1995,23.0,37,2,0,5,0,43.1,0.37,6.1,0.27,88,234,37.6,821,73,25.6,30.2,94,25.5,31.1,309,9,2.9,15,0.65,13.1
GER-Bundesliga,2324,Leverkusen,Lukáš Hrádecký,FIN,GK,34-096,1989,22.0,16,0,0,3,0,20.6,0.26,4.6,0.21,50,153,32.7,534,122,22.3,28.4,94,36.2,35.8,218,20,9.2,31,1.41,17.4
GER-Bundesliga,2324,Leverkusen,Matej Kovar,CZE,GK,23-287,2000,1.0,0,0,0,0,0,0.4,0.15,0.4,0.44,0,0,,17,6,0.0,22.1,0,,,3,1,33.3,1,1.0,15.0
GER-Bundesliga,2324,M'Gladbach,Jonas Omlin,SUI,GK,30-049,1994,2.0,7,1,0,1,0,6.0,0.28,-1.0,-0.51,11,32,34.4,67,13,40.3,37.0,10,50.0,40.4,27,1,3.7,2,1.0,13.3
GER-Bundesliga,2324,M'Gladbach,Moritz Nicolas,GER,GK,26-130,1997,21.0,38,4,0,5,0,37.8,0.27,-0.2,-0.01,84,239,35.1,680,105,27.1,30.2,113,48.7,42.0,346,19,5.5,15,0.71,12.7
GER-Bundesliga,2324,Mainz 05,Daniel Batz,GER,GK,33-047,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3
GER-Bundesliga,2324,Mainz 05,Robin Zentner,GER,GK,29-123,1994,19.0,34,2,1,1,1,32.1,0.38,-0.9,-0.05,105,282,37.2,536,101,42.5,36.4,104,51.9,42.0,238,26,10.9,28,1.47,16.6
GER-Bundesliga,2324,RB Leipzig,Janis Blaswich,GER,GK,32-302,1991,20.0,28,3,0,7,0,23.0,0.29,-5.0,-0.25,54,151,35.8,781,83,15.0,25.9,129,26.4,31.0,229,14,6.1,35,1.75,17.7
GER-Bundesliga,2324,RB Leipzig,Péter Gulácsi,HUN,GK,33-298,1990,3.0,2,0,0,0,0,1.2,0.21,-0.8,-0.28,3,14,21.4,71,8,7.0,24.8,24,37.5,34.3,36,0,0.0,6,2.0,18.4
GER-Bundesliga,2324,Stuttgart,Alexander Nübel,GER,GK,27-151,1996,20.0,26,1,0,5,2,20.3,0.28,-3.7,-0.18,93,205,45.4,706,94,24.9,29.1,86,33.7,32.1,225,24,10.7,43,2.15,18.4
GER-Bundesliga,2324,Stuttgart,Fabian Bredlow,GER,GK,28-363,1995,3.0,3,0,0,1,0,3.9,0.21,0.9,0.31,18,49,36.7,118,12,36.4,32.8,9,66.7,49.3,44,1,2.3,2,0.67,13.3
GER-Bundesliga,2324,Union Berlin,Alexander Schwolow,GER,GK,31-271,1992,1.0,2,0,0,0,0,1.2,0.2,-0.8,-0.81,4,10,40.0,28,4,32.1,34.1,8,12.5,28.4,13,0,0.0,0,0.0,5.0
GER-Bundesliga,2324,Union Berlin,Frederik Rønnow,DEN,GK,31-208,1992,22.0,35,3,1,6,1,34.1,0.28,0.1,0.01,114,343,33.2,722,112,34.2,33.0,147,65.3,48.5,368,34,9.2,30,1.36,13.2
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31-320,1992,7.0,17,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28-231,1995,16.0,18,2,0,2,1,20.5,0.31,3.5,0.22,87,185,47.0,572,109,28.1,32.7,76,31.6,36.0,236,22,9.3,16,1.0,14.5
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31-248,1992,19.0,28,1,0,2,1,27.7,0.3,0.7,0.04,121,286,42.3,589,96,35.5,34.7,124,62.1,47.4,279,19,6.8,34,1.79,16.5
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,36-107,1987,4.0,8,0,1,1,1,6.2,0.37,-0.8,-0.2,11,46,23.9,130,25,28.5,30.7,16,56.3,45.6,51,0,0.0,3,0.75,15.7
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29-298,1994,10.0,12,2,0,2,1,8.9,0.22,-2.1,-0.21,38,110,34.5,281,64,24.2,29.5,60,70.0,50.2,98,10,10.2,16,1.6,16.8
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23-242,2000,15.0,12,2,0,1,0,16.3,0.22,4.3,0.29,69,202,34.2,395,77,32.9,34.5,109,66.1,50.0,193,14,7.3,21,1.4,13.7
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,24-109,1999,3.0,1,0,1,0,0,1.7,0.24,0.7,0.23,4,21,19.0,103,14,15.5,25.2,12,41.7,35.9,35,1,2.9,3,1.0,23.5
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32-299,1991,23.0,22,3,0,2,1,21.4,0.22,0.4,0.02,78,224,34.8,614,99,27.7,30.0,138,39.1,37.2,323,10,3.1,5,0.22,10.4
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27-278,1996,7.0,12,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37.0,66,53.0,43.8,98,6,6.1,4,0.57,11.2
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27-273,1996,19.0,35,2,1,7,1,28.4,0.34,-5.6,-0.29,103,263,39.2,435,76,38.6,35.2,155,61.3,45.5,268,13,4.9,14,0.74,12.1
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,22-187,2001,11.0,13,2,0,3,0,13.9,0.23,0.9,0.08,55,151,36.4,305,54,38.4,35.7,70,48.6,43.0,199,10,5.0,12,1.09,15.2
ITA-Serie A,2324,Empoli,Etrit Berisha,ALB,GK,34-355,1989,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4
ITA-Serie A,2324,Empoli,Samuele Perisan,ITA,GK,26-191,1997,1.0,2,0,0,0,0,0.7,0.14,-1.3,-1.32,1,8,12.5,22,8,27.3,26.3,12,16.7,29.6,18,0,0.0,1,1.0,21.0
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24-343,1999,2.0,6,1,0,0,0,3.2,0.18,-2.8,-1.38,14,31,45.2,78,7,33.3,33.2,8,62.5,49.4,15,0,0.0,3,1.5,22.0
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33-357,1990,24.0,24,5,2,2,0,28.8,0.25,4.8,0.2,119,274,43.4,761,88,28.8,32.0,117,47.0,38.6,217,6,2.8,19,0.79,14.7
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,25-055,1999,2.0,4,0,0,1,0,2.0,0.2,-2.0,-1.02,4,39,10.3,53,7,54.7,39.8,19,52.6,43.2,45,2,4.4,0,0.0,5.0
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,22-176,2001,24.0,51,4,0,8,1,38.4,0.29,-11.6,-0.48,56,223,25.1,762,117,24.0,27.7,113,35.4,33.6,339,16,4.7,18,0.75,13.9
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25-277,1998,25.0,29,1,1,2,1,27.4,0.3,-0.6,-0.02,152,390,39.0,860,79,36.0,35.6,116,69.0,50.3,395,32,8.1,27,1.08,12.2
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,31-011,1993,1.0,2,0,0,0,0,2.7,0.34,0.7,0.73,11,30,36.7,42,3,69.0,42.5,3,33.3,27.0,11,1,9.1,1,0.99,17.8
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,28-008,1996,26.0,36,2,0,4,1,30.4,0.26,-4.6,-0.18,233,521,44.7,697,77,52.1,40.1,213,74.2,53.9,328,10,3.0,35,1.35,16.3
ITA-Serie A,2324,Inter,Emil Audero,ITA,GK,27-041,1997,1.0,0,0,0,0,0,0.1,0.06,0.1,0.12,3,13,23.1,64,4,17.2,27.2,4,50.0,49.0,17,0,0.0,2,2.0,29.0
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,35-073,1988,24.0,12,2,0,1,0,16.7,0.21,4.7,0.2,79,169,46.7,686,88,19.7,27.1,133,25.6,28.6,275,13,4.7,11,0.46,12.1
ITA-Serie A,2324,Juventus,Mattia Perin,ITA,GK,31-110,1992,2.0,1,0,0,0,0,1.2,0.3,0.2,0.09,5,13,38.5,42,9,28.6,29.1,11,9.1,18.9,26,2,7.7,2,1.0,15.0
ITA-Serie A,2324,Juventus,Wojciech Szczęsny,POL,GK,33-316,1990,24.0,18,0,0,2,2,17.0,0.24,1.0,0.04,113,254,44.5,587,81,33.4,33.2,118,49.2,43.7,382,19,5.0,14,0.58,11.1
ITA-Serie A,2324,Lazio,Ivan Provedel,ITA,GK,29-348,1994,26.0,28,2,0,1,0,26.0,0.24,-2.0,-0.08,80,211,37.9,753,96,21.5,30.6,146,33.6,36.3,326,14,4.3,14,0.54,12.5
ITA-Serie A,2324,Lecce,Wladimiro Falcone,ITA,GK,28-322,1995,26.0,43,4,1,4,1,40.3,0.3,-1.7,-0.06,92,296,31.1,580,119,39.5,33.5,175,38.3,32.4,347,13,3.7,14,0.54,11.7
ITA-Serie A,2324,Milan,Antonio Mirante,ITA,GK,40-235,1983,1.0,1,0,0,0,0,1.1,0.33,0.1,0.12,4,12,33.3,25,2,40.0,34.4,4,50.0,36.0,12,0,0.0,0,0.0,5.5
ITA-Serie A,2324,Milan,Marco Sportiello,ITA,GK,31-294,1992,2.0,1,0,0,0,0,1.3,0.16,0.3,0.14,5,15,33.3,69,13,21.7,28.0,2,0.0,28.5,28,2,7.1,2,1.0,13.2
ITA-Serie A,2324,Milan,Mike Maignan,FRA,GK,28-240,1995,23.0,30,7,2,2,0,25.8,0.21,-4.2,-0.18,99,235,42.1,837,142,22.7,28.8,117,38.5,37.4,269,29,10.8,32,1.39,15.6
ITA-Serie A,2324,Monza,Alessandro Sorrentino,ITA,GK,21-331,2002,4.1,13,4,0,0,0,11.5,0.34,-1.5,-0.36,12,43,27.9,100,23,30.0,31.5,27,48.1,41.1,43,2,4.7,0,0.0,9.7
ITA-Serie A,2324,Monza,Michele Di Gregorio,ITA,GK,26-216,1997,21.9,17,1,0,4,0,25.1,0.23,8.1,0.37,100,257,38.9,723,141,25.7,29.8,154,46.1,41.1,309,15,4.9,15,0.68,11.9
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26-343,1997,17.8,21,1,0,2,0,21.0,0.32,0.0,0.0,32,101,31.7,434,68,18.4,27.8,84,25.0,30.1,214,3,1.4,20,1.12,16.8
ITA-Serie A,2324,Napoli,Nikita Contini Baranovsky,ITA,GK,27-283,1996,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0
ITA-Serie A,2324,Napoli,Pierluigi Gollini,ITA,GK,28-347,1995,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2
ITA-Serie A,2324,Roma,Mile Svilar,SRB,GK,24-185,1999,3.0,5,0,0,1,1,3.2,0.18,-0.8,-0.27,8,18,44.4,103,18,11.7,22.3,14,42.9,37.0,45,5,11.1,1,0.33,10.9
ITA-Serie A,2324,Roma,Rui Patrício,POR,GK,36-013,1988,23.0,27,2,0,2,2,23.4,0.29,-1.6,-0.07,90,211,42.7,492,86,31.5,31.0,137,40.9,34.9,309,16,5.2,8,0.35,11.7
ITA-Serie A,2324,Salernitana,Benoît Costil,FRA,GK,36-240,1987,8.0,16,2,0,1,0,13.8,0.27,-2.2,-0.28,40,148,27.0,197,30,49.2,37.9,65,78.5,55.3,141,0,0.0,5,0.63,13.4
ITA-Serie A,2324,Salernitana,Guillermo Ochoa,MEX,GK,38-230,1985,18.0,37,7,0,3,1,30.7,0.25,-5.3,-0.3,70,267,26.2,409,61,44.7,37.0,142,59.2,44.8,301,9,3.0,8,0.44,13.0
ITA-Serie A,2324,Sassuolo,Alessio Cragno,ITA,GK,29-245,1994,2.0,6,1,0,1,1,3.4,0.3,-1.6,-0.81,10,32,31.3,47,3,57.4,41.2,19,26.3,29.4,26,0,0.0,7,3.5,28.9
ITA-Serie A,2324,Sassuolo,Andrea Consigli,ITA,GK,37-032,1987,23.0,42,5,1,3,2,33.4,0.26,-6.6,-0.29,104,308,33.8,671,102,37.1,35.7,163,36.2,34.0,365,16,4.4,17,0.74,12.6
ITA-Serie A,2324,Torino,Luca Gemello,ITA,GK,23-240,2000,1.0,2,0,0,0,0,0.3,0.16,-1.7,-1.68,4,12,33.3,42,3,28.6,32.6,0,,,16,2,12.5,2,2.0,15.8
ITA-Serie A,2324,Torino,Vanja Milinković-Savić,SRB,GK,27-008,1997,25.0,23,4,0,4,0,23.6,0.21,0.6,0.02,157,500,31.4,895,123,42.5,37.3,142,84.5,65.1,266,28,10.5,30,1.2,14.0
ITA-Serie A,2324,Udinese,Maduka Okoye,NGA,GK,24-184,1999,9.0,12,1,1,1,0,11.5,0.26,-0.5,-0.05,39,102,38.2,124,21,54.8,39.5,53,64.2,44.9,143,5,3.5,1,0.11,8.0
ITA-Serie A,2324,Udinese,Marco Silvestri,ITA,GK,32-363,1991,17.0,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1
