,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",29-133,1994,24.7,42,26,10,26,6,21,54,38.9,33,20,2,18,14,56,17,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28-319,1995,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",26-203,1997,14.0,4,3,2,0,2,1,7,14.3,6,10,0,10,6,10,5,0
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30-223,1993,17.4,31,13,24,6,1,17,29,58.6,12,11,0,11,19,50,37,0
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,26-205,1997,18.6,40,21,19,18,3,19,40,47.5,21,26,8,18,17,57,47,0
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,"MF,FW",21-217,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24-236,1999,16.5,7,2,2,4,1,3,10,30.0,7,5,0,5,5,12,4,0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24-241,1999,6.1,11,4,6,3,2,5,11,45.5,6,12,0,12,1,12,9,0
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,28-060,1995,25.5,8,6,0,3,5,3,9,33.3,6,22,3,19,3,11,18,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,27-043,1997,18.4,19,11,12,6,1,9,20,45.0,11,15,6,9,8,27,48,0
