,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Wolves,Jonny Castro,ESP,MF,29-362,1994,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
ENG-Premier League,2324,Wolves,José Sá,POR,GK,31-042,1993,23.2,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,12,4
ENG-Premier League,2324,Wolves,João Gomes,BRA,MF,23-016,2001,19.2,80,46,45,28,7,29,64,45.3,35,40,3,37,15,95,16,2
ENG-Premier League,2324,Wolves,Mario Lemina,GAB,MF,30-180,1993,22.3,65,45,35,21,9,13,29,44.8,16,18,5,13,33,98,51,0
ENG-Premier League,2324,Wolves,Matheus Cunha,BRA,"FW,MF",24-277,1999,21.8,24,11,6,15,3,10,30,33.3,20,23,7,16,13,37,16,1
ENG-Premier League,2324,Wolves,Matheus Nunes,POR,MF,25-185,1998,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0
ENG-Premier League,2324,Wolves,Matt Doherty,IRL,"DF,MF",32-043,1992,6.4,13,7,6,5,2,5,11,45.5,6,7,2,5,4,17,23,0
ENG-Premier League,2324,Wolves,Max Kilman,ENG,DF,26-281,1997,26.0,32,17,28,3,1,18,24,75.0,6,40,19,21,27,59,127,2
ENG-Premier League,2324,Wolves,Nathan Fraser,IRL,FW,19-006,2005,0.6,1,0,0,1,0,0,1,0.0,1,1,1,0,0,1,1,0
ENG-Premier League,2324,Wolves,Nélson Semedo,POR,"DF,MF",30-104,1993,24.1,59,38,37,15,7,28,47,59.6,19,31,8,23,24,83,62,0
ENG-Premier League,2324,Wolves,Pablo Sarabia,ESP,"MF,FW",31-293,1992,12.1,14,9,7,6,1,9,24,37.5,15,11,1,10,7,21,7,0
ENG-Premier League,2324,Wolves,Pedro Neto,POR,"MF,FW",23-356,2000,15.7,7,3,3,2,2,5,14,35.7,9,5,1,4,4,11,2,0
ENG-Premier League,2324,Wolves,Rayan Aït Nouri,ALG,"DF,MF",22-267,2001,16.9,48,28,27,16,5,18,28,64.3,10,23,6,17,12,60,29,0
ENG-Premier League,2324,Wolves,Santiago Bueno,URU,DF,25-111,1998,2.2,4,2,1,3,0,2,3,66.7,1,6,2,4,2,6,16,0
ENG-Premier League,2324,Wolves,Sasa Kalajdzic,AUT,FW,26-236,1997,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0
ENG-Premier League,2324,Wolves,Tawanda Chirewa,ENG,FW,20-140,2003,0.0,2,0,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
ENG-Premier League,2324,Wolves,Tommy Doyle,ENG,MF,22-134,2001,7.1,15,6,9,4,2,9,12,75.0,3,12,6,6,8,23,12,0
ENG-Premier League,2324,Wolves,Toti Gomes,POR,DF,25-043,1999,19.7,34,22,24,7,3,18,24,75.0,6,22,11,11,18,52,53,1
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24-355,1999,16.9,20,9,15,3,2,11,21,52.4,10,17,13,4,15,35,80,0
ESP-La Liga,2324,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25-201,1998,6.8,8,4,3,2,3,5,14,35.7,9,10,1,9,3,11,5,0
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,32-077,1991,10.5,14,10,10,4,0,10,16,62.5,6,8,4,4,13,27,43,0
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24-264,1999,11.0,23,13,8,8,7,10,17,58.8,7,14,2,12,9,32,10,0
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26-236,1997,24.4,44,25,21,18,5,25,48,52.1,23,23,8,15,11,55,34,1
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,27-208,1996,23.7,41,28,24,15,2,25,54,46.3,29,19,5,14,18,59,57,0
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23-220,2000,18.5,45,27,23,19,3,23,60,38.3,37,17,1,16,23,68,21,0
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,27-201,1996,26.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,0
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25-335,1998,6.3,30,18,10,14,6,10,17,58.8,7,6,4,2,13,43,18,0
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,"FW,MF",24-311,1999,4.0,6,2,3,3,0,5,9,55.6,4,0,0,0,2,8,4,0
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,FW,21-072,2002,0.6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,"MF,FW",25-129,1998,6.4,10,8,2,7,1,3,10,30.0,7,6,0,6,1,11,4,0
ESP-La Liga,2324,Alavés,Javi López,ESP,"DF,MF",22-058,2002,16.8,15,8,7,6,2,10,18,55.6,8,13,4,9,3,18,52,1
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,FW,21-144,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,29-000,1995,21.0,28,17,5,19,4,8,35,22.9,27,19,2,17,13,41,14,0
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,"MF,FW",21-162,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Kiké,ESP,FW,34-095,1989,10.4,2,1,0,1,1,2,7,28.6,5,10,4,6,0,2,10,0
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,"FW,MF",30-135,1993,22.6,24,18,9,11,4,12,30,40.0,18,21,0,21,12,36,21,0
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,"FW,MF",29-345,1994,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
ESP-La Liga,2324,Alavés,Miguel,ESP,"FW,MF",24-178,1999,0.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,28-007,1996,5.4,13,8,11,1,1,7,11,63.6,4,6,2,4,6,19,29,0
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21-285,2002,18.2,17,13,12,5,0,6,14,42.9,8,23,14,9,18,35,88,1
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,28-133,1995,16.0,32,19,16,14,2,15,22,68.2,7,17,5,12,20,52,52,0
ESP-La Liga,2324,Alavés,Samuel Omorodion,ESP,FW,19-299,2004,15.6,5,3,1,3,1,0,2,0.0,2,7,1,6,1,6,10,0
ESP-La Liga,2324,Alavés,Tomás Mendes,ESP,MF,19-099,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Unai Ropero,ESP,MF,22-100,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Alavés,Victor Parada,ESP,"FW,MF",21-330,2002,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ESP-La Liga,2324,Alavés,Xeber,ESP,"FW,MF",26-247,1997,3.0,4,4,2,2,0,2,6,33.3,4,1,0,1,1,5,2,0
ESP-La Liga,2324,Almería,Adri Embarba,ESP,"FW,MF",31-297,1992,17.4,36,22,21,6,9,16,33,48.5,17,18,0,18,9,45,8,0
ESP-La Liga,2324,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",25-006,1999,9.4,17,10,9,6,2,10,18,55.6,8,13,4,9,5,22,19,0
ESP-La Liga,2324,Almería,Aleksandar Radovanović,SRB,DF,30-109,1993,2.8,2,1,2,0,0,1,1,100.0,0,3,3,0,3,5,28,0
ESP-La Liga,2324,Almería,Anthony Lozano,HON,FW,30-309,1993,2.7,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,5,0
ESP-La Liga,2324,Almería,Arnau Puigmal,ESP,"FW,DF",23-049,2001,2.8,2,1,1,1,0,1,3,33.3,2,3,0,3,3,5,2,0
ESP-La Liga,2324,Almería,Bruno Langa,MOZ,DF,26-120,1997,2.3,5,3,4,1,0,2,5,40.0,3,6,2,4,2,7,12,1
ESP-La Liga,2324,Almería,César Montes,MEX,DF,27-004,1997,12.0,15,9,7,8,0,6,10,60.0,4,14,4,10,7,22,53,0
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33-295,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ESP-La Liga,2324,Almería,Dion Lopy,SEN,MF,22-026,2002,17.8,53,32,32,17,4,14,34,41.2,20,19,5,14,13,66,20,1
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33-263,1990,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
ESP-La Liga,2324,Almería,Gonzalo Melero,ESP,"MF,FW",30-057,1994,10.3,12,7,6,4,2,6,14,42.9,8,10,2,8,4,16,8,0
ESP-La Liga,2324,Almería,Houboulang Mendes,GNB,DF,25-300,1998,4.4,16,13,11,5,0,8,16,50.0,8,4,2,2,1,17,17,1
ESP-La Liga,2324,Almería,Ibrahima Koné,MLI,FW,24-257,1999,2.9,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0
ESP-La Liga,2324,Almería,Iddrisu Baba,GHA,MF,28-037,1996,14.3,42,24,25,16,1,13,32,40.6,19,19,5,14,11,53,25,2
ESP-La Liga,2324,Almería,Jonathan Viera,ESP,MF,34-130,1989,1.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
ESP-La Liga,2324,Almería,Juan Brandáriz,ESP,DF,24-363,1999,18.5,27,17,18,9,0,14,19,73.7,5,27,18,9,11,38,69,0
ESP-La Liga,2324,Almería,Kaiky,BRA,DF,20-047,2004,5.8,7,4,6,0,1,3,6,50.0,3,9,7,2,3,10,29,1
ESP-La Liga,2324,Almería,Largie Ramazani,BEL,"FW,MF",23-001,2001,14.4,12,7,5,6,1,6,26,23.1,20,11,2,9,24,36,8,0
ESP-La Liga,2324,Almería,Lucas Robertone,ARG,MF,26-347,1997,17.6,40,24,16,17,7,16,35,45.7,19,28,7,21,33,73,25,0
ESP-La Liga,2324,Almería,Luis Javier Suárez,COL,"FW,MF",26-088,1997,8.0,5,4,2,3,0,1,4,25.0,3,9,0,9,0,5,9,0
ESP-La Liga,2324,Almería,Luka Romero,ARG,FW,19-102,2004,1.2,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,25-054,1999,23.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,1
ESP-La Liga,2324,Almería,Lázaro,BRA,"FW,MF",21-353,2002,3.2,4,1,2,0,2,2,8,25.0,6,4,0,4,1,5,1,0
ESP-La Liga,2324,Almería,Léo Baptistão,BRA,FW,31-186,1992,12.8,15,8,6,4,5,6,18,33.3,12,7,1,6,6,21,14,0
ESP-La Liga,2324,Almería,Marciano Sanca,GNB,"FW,MF",19-362,2004,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Almería,Marko Milovanović,SRB,"FW,MF",20-208,2003,2.5,2,2,0,2,0,1,3,33.3,2,1,0,1,0,2,4,0
ESP-La Liga,2324,Almería,Pubill,ESP,DF,20-253,2003,10.2,34,17,26,6,2,16,29,55.2,13,10,4,6,8,42,27,0
ESP-La Liga,2324,Almería,Rachad Fettal,MAR,FW,19-043,2005,0.2,,0,,,,,,,,,,,0,,,
ESP-La Liga,2324,Almería,Sergio Akieme,ESP,DF,26-074,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0
ESP-La Liga,2324,Almería,Sergio Arribas,ESP,"MF,FW",22-151,2001,19.1,31,15,16,14,1,12,27,44.4,15,17,1,16,13,44,8,1
ESP-La Liga,2324,Almería,Srđan Babić,SRB,DF,27-312,1996,1.0,2,2,0,2,0,1,1,100.0,0,1,1,0,0,2,2,0
ESP-La Liga,2324,Almería,Álex Centelles,ESP,DF,26-112,1997,4.6,7,3,6,1,0,5,11,45.5,6,4,2,2,8,15,12,0
ESP-La Liga,2324,Almería,Édgar González,ESP,DF,26-333,1997,20.1,32,16,14,15,3,17,30,56.7,13,34,20,14,27,59,97,1
ESP-La Liga,2324,Athletic Club,Adu Ares,ESP,"FW,MF",22-139,2001,1.6,7,4,3,2,2,2,3,66.7,1,1,0,1,1,8,0,0
ESP-La Liga,2324,Athletic Club,Aitor Paredes,ESP,DF,23-305,2000,21.7,10,7,6,4,0,5,11,45.5,6,17,8,9,21,31,74,0
ESP-La Liga,2324,Athletic Club,Ander Herrera,ESP,MF,34-198,1989,8.8,38,27,9,24,5,17,30,56.7,13,9,1,8,14,52,12,0
ESP-La Liga,2324,Athletic Club,Asier Villalibre,ESP,FW,26-151,1997,3.6,2,1,0,0,2,2,2,100.0,0,1,0,1,0,2,4,0
ESP-La Liga,2324,Athletic Club,Beñat Prados,ESP,"MF,DF",23-020,2001,7.9,25,15,8,12,5,15,30,50.0,15,17,1,16,11,36,17,0
ESP-La Liga,2324,Athletic Club,Dani García,ESP,MF,33-280,1990,4.8,6,2,1,2,3,4,14,28.6,10,7,1,6,5,11,5,0
ESP-La Liga,2324,Athletic Club,Daniel Vivian,ESP,DF,24-228,1999,23.7,30,21,24,6,0,19,31,61.3,12,40,18,22,19,49,77,0
ESP-La Liga,2324,Athletic Club,Gorka Guruzeta,ESP,FW,27-169,1996,19.0,25,16,4,20,1,6,20,30.0,14,22,1,21,15,40,19,0
ESP-La Liga,2324,Athletic Club,Iker Muniain,ESP,"MF,FW",31-071,1992,4.4,4,0,1,3,0,1,1,100.0,0,3,0,3,0,4,0,0
ESP-La Liga,2324,Athletic Club,Imanol,ESP,DF,23-265,2000,3.4,4,3,0,4,0,2,8,25.0,6,5,0,5,6,10,7,0
ESP-La Liga,2324,Athletic Club,Iñaki Williams,GHA,FW,29-258,1994,21.8,19,13,4,7,8,11,25,44.0,14,32,5,27,10,29,20,0
ESP-La Liga,2324,Athletic Club,Iñigo Lekue,ESP,DF,30-300,1993,14.8,29,13,18,8,3,19,40,47.5,21,17,2,15,8,37,35,0
ESP-La Liga,2324,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30-206,1993,16.9,34,21,7,22,5,17,36,47.2,19,11,2,9,10,44,14,0
ESP-La Liga,2324,Athletic Club,Mikel Jauregizar,ESP,MF,20-108,2003,0.7,,0,,,,,,,,,,,0,,,
ESP-La Liga,2324,Athletic Club,Mikel Vesga,ESP,MF,30-283,1993,13.2,28,13,7,18,3,14,40,35.0,26,12,4,8,21,49,26,1
ESP-La Liga,2324,Athletic Club,Nico Williams,ESP,FW,21-231,2002,17.2,23,9,9,8,6,10,27,37.0,17,13,2,11,3,26,4,0
ESP-La Liga,2324,Athletic Club,Oihan Sancet,ESP,MF,23-309,2000,17.9,17,11,3,8,6,6,16,37.5,10,5,1,4,7,24,4,0
ESP-La Liga,2324,Athletic Club,Peru Nolaskoain,ESP,"DF,MF",25-126,1998,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
ESP-La Liga,2324,Athletic Club,Raúl García,ESP,"FW,MF",37-232,1986,2.0,2,2,1,1,0,2,5,40.0,3,3,0,3,2,4,4,0
ESP-La Liga,2324,Athletic Club,Unai Gómez,ESP,MF,20-279,2003,4.6,8,7,0,4,4,4,7,57.1,3,6,0,6,1,9,6,0
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26-262,1997,26.0,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,9,0
ESP-La Liga,2324,Athletic Club,Yeray Álvarez,ESP,DF,29-035,1995,6.0,8,7,6,2,0,4,6,66.7,2,2,2,0,9,17,18,0
ESP-La Liga,2324,Athletic Club,Yuri Berchiche,ESP,DF,34-018,1990,15.8,23,18,10,10,3,14,24,58.3,10,18,5,13,16,39,45,0
ESP-La Liga,2324,Athletic Club,Álex Berenguer,ESP,FW,28-239,1995,11.1,14,9,5,6,3,3,15,20.0,12,17,0,17,3,17,9,0
ESP-La Liga,2324,Athletic Club,Óscar de Marcos,ESP,DF,34-320,1989,17.6,46,31,23,18,5,35,55,63.6,20,18,4,14,10,56,23,0
ESP-La Liga,2324,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",32-344,1991,21.6,24,13,7,12,5,10,31,32.3,21,24,2,22,9,33,16,0
ESP-La Liga,2324,Atlético Madrid,Arthur Vermeeren,BEL,MF,19-021,2005,0.7,1,0,0,1,0,0,0,,0,3,0,3,3,4,0,0
ESP-La Liga,2324,Atlético Madrid,Axel Witsel,BEL,DF,35-047,1989,21.7,21,11,13,8,0,11,16,68.8,5,33,21,12,8,29,86,0
ESP-La Liga,2324,Atlético Madrid,César Azpilicueta,ESP,DF,34-184,1989,10.6,20,12,11,8,1,10,16,62.5,6,19,4,15,12,32,32,0
ESP-La Liga,2324,Atlético Madrid,Gabriel Paulista,BRA,DF,33-094,1990,2.0,3,2,2,1,0,1,2,50.0,1,1,0,1,2,5,11,0
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-052,1993,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
ESP-La Liga,2324,Atlético Madrid,Javi Galán,ESP,DF,29-101,1994,1.0,5,4,2,2,1,4,5,80.0,1,1,0,1,1,6,3,0
ESP-La Liga,2324,Atlético Madrid,José María Giménez,URU,DF,29-039,1995,8.7,13,6,7,5,1,4,9,44.4,5,7,6,1,8,21,49,0
ESP-La Liga,2324,Atlético Madrid,Koke,ESP,MF,32-051,1992,17.0,44,32,18,21,5,25,50,50.0,25,20,9,11,12,56,18,1
ESP-La Liga,2324,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",29-029,1995,18.8,22,13,11,8,3,8,28,28.6,20,23,7,16,10,32,25,0
ESP-La Liga,2324,Atlético Madrid,Mario Hermoso,ESP,DF,28-255,1995,20.6,36,20,20,13,3,21,39,53.8,18,19,8,11,21,57,72,0
ESP-La Liga,2324,Atlético Madrid,Memphis,NED,FW,30-015,1994,6.7,4,1,0,2,2,3,5,60.0,2,1,0,1,1,5,0,0
ESP-La Liga,2324,Atlético Madrid,Nahuel Molina,ARG,DF,25-328,1998,15.7,28,19,11,15,2,17,37,45.9,20,13,2,11,7,35,29,1
ESP-La Liga,2324,Atlético Madrid,Pablo Barrios,ESP,MF,20-258,2003,11.6,34,18,12,21,1,15,31,48.4,16,17,1,16,19,53,15,2
ESP-La Liga,2324,Atlético Madrid,Reinildo Mandava,MOZ,DF,30-038,1994,4.5,15,13,8,7,0,10,10,100.0,0,7,2,5,9,24,14,0
ESP-La Liga,2324,Atlético Madrid,Rodrigo De Paul,ARG,MF,29-280,1994,15.7,25,18,8,12,5,11,29,37.9,18,19,1,18,7,32,14,1
ESP-La Liga,2324,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",23-332,2000,11.1,17,10,11,2,4,11,33,33.3,22,14,0,14,6,23,13,0
ESP-La Liga,2324,Atlético Madrid,Samuel Lino,BRA,DF,24-067,1999,14.0,39,22,24,7,8,26,43,60.5,17,22,0,22,8,47,19,0
ESP-La Liga,2324,Atlético Madrid,Saúl Ñíguez,ESP,MF,29-099,1994,12.7,55,31,24,26,5,25,40,62.5,15,33,9,24,12,67,44,0
ESP-La Liga,2324,Atlético Madrid,Stefan Savić,MNE,DF,33-051,1991,13.0,18,13,9,6,3,8,20,40.0,12,26,14,12,23,41,42,1
ESP-La Liga,2324,Atlético Madrid,Thomas Lemar,FRA,MF,28-108,1995,1.8,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0
ESP-La Liga,2324,Atlético Madrid,Yannick Carrasco,BEL,DF,30-177,1993,2.5,4,4,3,1,0,2,7,28.6,5,2,0,2,1,5,6,0
ESP-La Liga,2324,Atlético Madrid,Álvaro Morata,ESP,FW,31-128,1992,16.6,10,5,1,5,4,2,2,100.0,0,14,3,11,0,10,23,0
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28-356,1995,9.3,12,9,3,3,6,2,11,18.2,9,7,0,7,1,13,0,0
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27-281,1996,1.3,1,1,1,0,0,0,0,,0,1,0,1,1,2,7,0
ESP-La Liga,2324,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,MF",22-073,2001,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,DF,20-133,2003,15.3,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27-324,1996,15.7,13,8,7,6,0,10,16,62.5,6,14,5,9,13,26,33,0
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"MF,FW",21-120,2002,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Eric García,ESP,DF,23-050,2001,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20-293,2003,7.6,21,12,8,10,3,6,21,28.6,15,8,0,8,2,23,4,0
ESP-La Liga,2324,Barcelona,Ferrán Torres,ESP,FW,23-364,2000,10.4,7,5,1,4,2,5,14,35.7,9,5,0,5,3,10,4,0
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26-292,1997,17.4,42,26,14,23,5,8,19,42.1,11,17,7,10,13,55,26,1
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",19-207,2004,10.5,39,21,20,14,5,18,36,50.0,18,19,3,16,8,47,16,1
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,17-210,2006,1.1,2,1,2,0,0,2,5,40.0,3,0,0,0,2,4,1,0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-363,1999,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32-287,1991,7.6,7,5,6,1,0,3,4,75.0,1,10,9,1,7,14,34,0
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29-277,1994,18.8,46,31,20,19,7,29,42,69.0,13,26,6,20,18,64,38,1
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,24-110,1999,12.6,17,12,9,4,4,5,15,33.3,10,12,1,11,8,25,6,0
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,25-108,1998,20.9,23,14,14,6,3,16,29,55.2,13,21,9,12,16,39,63,4
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16-230,2007,14.9,40,26,20,10,10,12,31,38.7,19,20,0,20,11,51,10,0
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,"MF,FW",18-055,2006,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-304,1992,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,33-062,1990,1.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,3,0
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,32-157,1991,8.2,24,15,13,10,1,10,17,58.8,7,9,2,7,8,32,13,0
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,17-037,2007,6.3,11,6,9,2,0,5,5,100.0,0,6,5,1,6,17,21,0
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",21-095,2002,11.6,21,17,11,8,2,5,19,26.3,14,24,2,22,9,30,6,0
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",27-076,1996,8.8,11,5,4,6,1,3,12,25.0,9,10,0,10,6,17,5,0
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,35-191,1988,21.6,4,3,0,3,1,2,7,28.6,5,10,4,6,4,8,15,0
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24-358,1999,16.9,20,17,7,12,1,7,10,70.0,3,17,9,8,9,29,50,2
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",32-021,1992,4.0,5,4,1,4,0,2,4,50.0,2,1,1,0,2,7,1,0
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,19-000,2005,1.9,1,1,1,0,0,0,0,,0,3,0,3,0,1,2,0
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,33-127,1990,23.3,19,13,9,9,1,7,21,33.3,14,13,2,11,15,34,11,0
ESP-La Liga,2324,Betis,Abdessamad Ezzalzouli,MAR,FW,22-073,2001,7.5,11,10,3,5,3,4,11,36.4,7,8,0,8,4,15,3,0
ESP-La Liga,2324,Betis,Abner,BRA,DF,23-277,2000,12.9,20,17,12,7,1,14,28,50.0,14,21,4,17,11,31,51,0
ESP-La Liga,2324,Betis,Aitor Ruibal,ESP,"DF,FW",27-343,1996,8.6,38,21,23,12,3,27,50,54.0,23,8,1,7,11,49,23,0
ESP-La Liga,2324,Betis,Andrés Guardado,MEX,MF,37-153,1986,5.0,17,12,5,9,3,7,14,50.0,7,4,2,2,6,23,5,0
ESP-La Liga,2324,Betis,Assane Diao,ESP,FW,18-174,2005,11.4,19,11,5,8,6,5,16,31.3,11,22,4,18,7,26,7,0
ESP-La Liga,2324,Betis,Ayoze Pérez,ESP,FW,30-214,1993,16.2,36,22,10,22,4,12,28,42.9,16,29,2,27,17,53,12,0
ESP-La Liga,2324,Betis,Borja Iglesias,ESP,FW,31-042,1993,4.5,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,2,0
ESP-La Liga,2324,Betis,Chadi Riad,MAR,DF,20-256,2003,13.5,21,13,11,10,0,10,16,62.5,6,12,6,6,10,31,66,0
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-321,1983,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
ESP-La Liga,2324,Betis,Cédric Bakambu,COD,FW,32-323,1991,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ESP-La Liga,2324,Betis,Ezequiel Ávila,ARG,FW,30-022,1994,1.5,2,1,0,2,0,1,2,50.0,1,2,0,2,1,3,1,0
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-297,1999,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ESP-La Liga,2324,Betis,Germán Pezzella,ARG,DF,32-246,1991,24.1,28,20,20,8,0,19,32,59.4,13,25,16,9,26,54,126,0
ESP-La Liga,2324,Betis,Guido Rodríguez,ARG,MF,29-322,1994,11.9,22,12,12,7,3,16,31,51.6,15,16,3,13,15,37,30,0
ESP-La Liga,2324,Betis,Héctor Bellerín,ESP,DF,28-346,1995,15.6,28,19,11,13,4,16,41,39.0,25,11,5,6,18,46,33,0
ESP-La Liga,2324,Betis,Isco,ESP,MF,31-313,1992,20.5,29,19,9,17,3,10,28,35.7,18,16,1,15,8,37,7,0
ESP-La Liga,2324,Betis,Johnny Cardoso,USA,MF,22-161,2001,5.8,20,13,10,8,2,9,13,69.2,4,9,4,5,14,34,16,0
