,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-052,1993,26.0,703,457,244,43,1,0,0,0,0,0,0,0,532,2,0
ESP-La Liga,2324,Atlético Madrid,Javi Galán,ESP,DF,29-101,1994,1.0,60,49,11,0,0,0,6,9,2,0,1,0,45,0,3
ESP-La Liga,2324,Atlético Madrid,José María Giménez,URU,DF,29-039,1995,8.7,389,375,12,8,0,6,1,0,0,0,0,0,326,2,5
ESP-La Liga,2324,Atlético Madrid,Koke,ESP,MF,32-051,1992,17.0,1468,1414,45,43,9,19,7,2,0,0,0,0,1329,9,12
ESP-La Liga,2324,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",29-029,1995,18.8,785,733,49,1,1,2,48,48,0,0,0,0,622,3,36
ESP-La Liga,2324,Atlético Madrid,Mario Hermoso,ESP,DF,28-255,1995,20.6,1433,1283,146,45,2,31,32,95,0,0,0,0,1230,4,20
ESP-La Liga,2324,Atlético Madrid,Memphis,NED,FW,30-015,1994,6.7,173,162,9,0,2,2,3,2,2,0,1,0,124,2,8
ESP-La Liga,2324,Atlético Madrid,Nahuel Molina,ARG,DF,25-328,1998,15.7,1024,850,166,13,1,9,70,141,12,6,6,0,763,8,33
ESP-La Liga,2324,Atlético Madrid,Pablo Barrios,ESP,MF,20-258,2003,11.6,623,605,10,7,3,3,10,2,1,0,0,0,518,8,9
ESP-La Liga,2324,Atlético Madrid,Reinildo Mandava,MOZ,DF,30-038,1994,4.5,255,226,28,3,0,1,1,25,0,0,0,0,223,1,1
ESP-La Liga,2324,Atlético Madrid,Rodrigo De Paul,ARG,MF,29-280,1994,15.7,1131,1071,48,29,19,8,35,8,11,3,3,0,950,12,16
ESP-La Liga,2324,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",23-332,2000,11.1,450,413,36,5,0,3,37,26,4,1,2,0,350,1,18
ESP-La Liga,2324,Atlético Madrid,Samuel Lino,BRA,DF,24-067,1999,14.0,625,591,30,1,3,4,26,27,2,0,0,0,497,4,23
ESP-La Liga,2324,Atlético Madrid,Saúl Ñíguez,ESP,MF,29-099,1994,12.7,580,566,10,7,2,2,12,2,0,0,0,0,468,4,7
ESP-La Liga,2324,Atlético Madrid,Stefan Savić,MNE,DF,33-051,1991,13.0,712,677,31,27,2,4,2,4,0,0,0,0,603,4,4
ESP-La Liga,2324,Atlético Madrid,Thomas Lemar,FRA,MF,28-108,1995,1.8,84,81,3,0,1,0,6,1,2,2,0,0,71,0,0
ESP-La Liga,2324,Atlético Madrid,Yannick Carrasco,BEL,DF,30-177,1993,2.5,88,77,10,3,0,1,8,4,3,0,2,0,65,1,2
ESP-La Liga,2324,Atlético Madrid,Álvaro Morata,ESP,FW,31-128,1992,16.6,286,266,18,0,0,4,7,0,0,0,0,0,203,2,12
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28-356,1995,9.3,310,285,18,3,1,2,18,0,8,3,4,0,232,7,6
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27-281,1996,1.3,81,79,2,2,0,0,0,0,0,0,0,0,71,0,0
ESP-La Liga,2324,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,MF",22-073,2001,0.8,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,DF,20-133,2003,15.3,817,694,122,12,1,3,37,110,0,0,0,0,694,1,16
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27-324,1996,15.7,1225,1183,42,30,0,5,0,5,0,0,0,0,1170,0,8
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"MF,FW",21-120,2002,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0
ESP-La Liga,2324,Barcelona,Eric García,ESP,DF,23-050,2001,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20-293,2003,7.6,307,300,5,0,2,3,4,1,0,0,0,0,250,2,11
ESP-La Liga,2324,Barcelona,Ferrán Torres,ESP,FW,23-364,2000,10.4,365,342,19,1,3,2,15,4,9,0,5,0,280,4,15
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26-292,1997,17.4,1643,1588,51,42,12,7,23,6,1,1,0,0,1513,4,14
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",19-207,2004,10.5,541,514,26,18,3,6,8,6,0,0,0,0,489,1,8
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,17-210,2006,1.1,67,60,7,2,0,2,1,5,0,0,0,0,60,0,0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-363,1999,10.0,297,230,67,19,0,0,0,0,0,0,0,0,259,0,0
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32-287,1991,7.6,608,578,27,15,3,11,1,6,0,0,0,0,531,3,2
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29-277,1994,18.8,1298,1118,171,29,5,19,56,142,0,0,0,0,1061,9,29
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,24-110,1999,12.6,463,440,19,4,7,5,15,9,6,4,0,0,375,4,7
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,25-108,1998,20.9,1747,1602,141,35,2,17,26,100,0,0,0,0,1577,4,16
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16-230,2007,14.9,641,618,19,3,2,2,54,8,8,1,2,0,505,4,11
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,"MF,FW",18-055,2006,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-304,1992,16.0,559,441,116,33,0,1,0,0,0,0,0,0,505,2,1
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,33-062,1990,1.8,141,122,19,5,0,2,8,12,2,0,0,0,122,0,3
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,32-157,1991,8.2,654,647,7,6,4,7,6,1,0,0,0,0,583,0,8
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,17-037,2007,6.3,558,545,12,6,0,1,1,2,0,0,0,0,507,1,2
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",21-095,2002,11.6,782,749,27,13,10,5,9,5,2,0,2,0,670,6,18
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",27-076,1996,8.8,443,379,60,12,4,10,52,14,33,9,16,0,335,4,9
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,35-191,1988,21.6,410,393,12,0,8,3,10,1,0,0,0,0,286,5,14
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24-358,1999,16.9,1238,1150,80,35,1,12,8,37,0,0,0,0,1093,8,6
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",32-021,1992,4.0,224,206,16,6,0,0,8,6,0,0,0,0,199,2,4
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,19-000,2005,1.9,34,32,1,0,0,0,1,0,0,0,0,0,22,1,5
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,33-127,1990,23.3,1696,1488,201,73,16,11,115,3,102,39,38,1,1432,7,22
ESP-La Liga,2324,Betis,Abdessamad Ezzalzouli,MAR,FW,22-073,2001,7.5,268,259,9,2,3,2,30,4,3,1,1,0,176,0,14
ESP-La Liga,2324,Betis,Abner,BRA,DF,23-277,2000,12.9,676,532,142,5,0,3,24,137,0,0,0,0,523,2,21
ESP-La Liga,2324,Betis,Aitor Ruibal,ESP,"DF,FW",27-343,1996,8.6,422,363,58,8,0,4,24,50,0,0,0,0,321,1,22
ESP-La Liga,2324,Betis,Andrés Guardado,MEX,MF,37-153,1986,5.0,298,275,22,11,0,7,11,2,9,2,6,0,253,1,5
ESP-La Liga,2324,Betis,Assane Diao,ESP,FW,18-174,2005,11.4,253,251,1,0,0,0,9,0,0,0,0,0,190,1,12
ESP-La Liga,2324,Betis,Ayoze Pérez,ESP,FW,30-214,1993,16.2,429,420,6,1,4,1,7,2,0,0,0,0,329,3,29
ESP-La Liga,2324,Betis,Borja Iglesias,ESP,FW,31-042,1993,4.5,101,91,10,0,1,1,1,0,0,0,0,0,83,0,1
ESP-La Liga,2324,Betis,Chadi Riad,MAR,DF,20-256,2003,13.5,659,642,17,16,0,1,0,1,0,0,0,0,580,0,3
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-321,1983,7.0,230,153,76,16,1,1,0,0,0,0,0,0,186,1,0
ESP-La Liga,2324,Betis,Cédric Bakambu,COD,FW,32-323,1991,0.3,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ESP-La Liga,2324,Betis,Ezequiel Ávila,ARG,FW,30-022,1994,1.5,32,32,0,0,0,0,4,0,0,0,0,0,18,0,4
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-297,1999,2.5,84,47,35,11,0,0,0,0,0,0,0,0,54,2,0
ESP-La Liga,2324,Betis,Germán Pezzella,ARG,DF,32-246,1991,24.1,1138,1084,54,50,1,5,2,3,0,0,0,0,976,0,2
ESP-La Liga,2324,Betis,Guido Rodríguez,ARG,MF,29-322,1994,11.9,560,536,22,22,1,12,3,0,0,0,0,0,485,2,6
ESP-La Liga,2324,Betis,Héctor Bellerín,ESP,DF,28-346,1995,15.6,819,661,156,15,0,8,33,141,0,0,0,0,633,2,14
ESP-La Liga,2324,Betis,Isco,ESP,MF,31-313,1992,20.5,1166,984,176,55,14,15,131,6,106,38,40,2,925,6,23
ESP-La Liga,2324,Betis,Johnny Cardoso,USA,MF,22-161,2001,5.8,233,231,2,2,0,0,0,0,0,0,0,0,200,0,4
ESP-La Liga,2324,Betis,Juan Cruz,ESP,FW,23-309,2000,0.8,20,20,0,0,0,0,0,0,0,0,0,0,15,0,0
ESP-La Liga,2324,Betis,Juan Miranda,ESP,DF,24-040,2000,12.1,661,532,127,23,0,5,30,102,2,0,1,0,529,2,7
ESP-La Liga,2324,Betis,Luiz Felipe,ITA,DF,26-343,1997,4.0,169,163,4,4,0,0,0,0,0,0,0,0,151,2,0
ESP-La Liga,2324,Betis,Luiz Henrique,BRA,FW,23-057,2001,6.8,211,207,3,1,1,2,24,1,1,0,0,0,146,1,11
ESP-La Liga,2324,Betis,Marc Bartra,ESP,DF,33-044,1991,2.5,118,107,9,9,0,1,0,0,0,0,0,0,101,2,0
ESP-La Liga,2324,Betis,Marc Roca,ESP,MF,27-094,1996,19.5,1058,995,58,53,1,14,20,2,3,1,2,0,879,5,11
ESP-La Liga,2324,Betis,Nabil Fekir,FRA,"MF,FW",30-225,1993,5.5,281,255,24,9,0,1,18,1,10,3,6,0,230,2,8
ESP-La Liga,2324,Betis,Pablo Busto,ESP,DF,18-166,2005,0.5,16,13,3,0,1,0,0,3,0,0,0,0,11,0,0
ESP-La Liga,2324,Betis,Pablo Fornals,ESP,"FW,MF",28-006,1996,3.3,197,188,9,0,1,2,13,2,7,5,1,0,154,0,7
ESP-La Liga,2324,Betis,Paul Akouokou,CIV,MF,26-070,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
ESP-La Liga,2324,Betis,Ricardo Visus,ESP,DF,22-310,2001,0.8,,,,,,,0,,,,,,,,
ESP-La Liga,2324,Betis,Rodri,ESP,"FW,MF",23-288,2000,9.1,436,419,15,2,5,1,27,10,3,3,0,0,350,2,16
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,30-021,1994,16.5,601,415,183,69,0,0,0,0,0,0,0,0,419,3,0
ESP-La Liga,2324,Betis,Sergi Altimira,ESP,MF,22-187,2001,5.6,270,267,2,1,0,3,1,0,1,1,0,0,244,1,3
ESP-La Liga,2324,Betis,Sokratis Papastathopoulos,GRE,DF,35-264,1988,6.8,292,282,10,10,0,0,0,0,0,0,0,0,260,0,3
ESP-La Liga,2324,Betis,William Carvalho,POR,MF,31-327,1992,4.4,387,373,13,13,0,1,2,0,0,0,0,0,339,1,3
ESP-La Liga,2324,Betis,Willian José,BRA,FW,32-097,1991,13.8,338,311,25,0,0,6,4,0,0,0,0,0,263,2,7
ESP-La Liga,2324,Betis,Youssouf Sabaly,SEN,DF,30-360,1993,4.0,226,189,35,3,0,0,10,32,0,0,0,0,187,2,6
ESP-La Liga,2324,Celta Vigo,Anastasios Douvikas,GRE,FW,24-210,1999,6.7,116,109,7,0,0,0,1,0,0,0,0,0,71,0,4
ESP-La Liga,2324,Celta Vigo,Carl Starfelt,SWE,DF,28-272,1995,17.9,670,655,13,12,0,2,1,1,0,0,0,0,570,2,2
ESP-La Liga,2324,Celta Vigo,Carles Pérez,ESP,"MF,FW",26-012,1998,4.9,128,128,0,0,3,0,12,0,0,0,0,0,94,0,6
ESP-La Liga,2324,Celta Vigo,Carlos Dominguez,ESP,DF,23-017,2001,11.0,455,432,22,20,0,6,1,2,0,0,0,0,344,1,7
ESP-La Liga,2324,Celta Vigo,Carlos Dotor,ESP,MF,22-350,2001,7.7,338,327,10,2,1,0,9,4,3,3,0,0,277,1,7
ESP-La Liga,2324,Celta Vigo,Fran Beltrán,ESP,MF,25-025,1999,16.1,683,661,20,20,1,3,5,0,0,0,0,0,562,2,10
ESP-La Liga,2324,Celta Vigo,Franco Cervi,ARG,"MF,DF",29-278,1994,4.8,193,168,24,4,0,1,15,16,4,0,4,0,144,1,12
ESP-La Liga,2324,Celta Vigo,Gabriel Veiga,ESP,FW,21-277,2002,0.2,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
ESP-La Liga,2324,Celta Vigo,Hugo Sotelo,ESP,MF,20-071,2003,3.5,257,230,24,8,0,1,18,0,16,6,5,0,219,3,2
ESP-La Liga,2324,Celta Vigo,Hugo Álvarez,ESP,MF,20-241,2003,0.4,30,24,6,1,1,0,2,5,0,0,0,0,26,0,1
ESP-La Liga,2324,Celta Vigo,Iago Aspas,ESP,FW,36-211,1987,19.9,835,675,158,42,12,8,121,4,80,29,34,0,592,2,12
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26-234,1997,9.3,264,159,104,24,0,0,0,0,0,0,0,0,160,1,1
ESP-La Liga,2324,Celta Vigo,Jailson Siqueira,BRA,"MF,DF",28-174,1995,3.4,96,92,4,4,0,0,1,0,0,0,0,0,66,0,3
ESP-La Liga,2324,Celta Vigo,Javier Manquillo,ESP,"MF,DF",29-299,1994,2.6,77,55,22,0,1,0,0,22,0,0,0,0,48,0,2
ESP-La Liga,2324,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",27-339,1996,15.6,527,510,15,4,4,2,40,7,1,1,0,0,398,2,22
ESP-La Liga,2324,Celta Vigo,Joseph Aidoo,GHA,DF,28-152,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0
ESP-La Liga,2324,Celta Vigo,Jørgen Strand Larsen,NOR,FW,24-022,2000,22.8,429,416,11,0,3,1,13,1,0,0,0,0,293,2,13
ESP-La Liga,2324,Celta Vigo,Kevin Vázquez,ESP,DF,30-342,1993,7.0,315,257,56,3,1,1,8,53,0,0,0,0,234,2,13
ESP-La Liga,2324,Celta Vigo,Luca de la Torre,USA,"MF,FW",25-281,1998,18.2,603,597,3,2,1,0,14,0,0,0,0,0,484,3,26
ESP-La Liga,2324,Celta Vigo,Manu Sánchez,ESP,DF,23-188,2000,16.1,713,554,157,12,0,0,50,141,4,3,1,0,535,2,33
ESP-La Liga,2324,Celta Vigo,Miguel Rodríguez,ESP,MF,20-305,2003,2.1,73,62,9,3,0,1,8,4,2,1,0,0,50,2,1
ESP-La Liga,2324,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",28-120,1995,8.5,471,368,101,15,0,4,37,81,4,0,4,0,335,2,17
ESP-La Liga,2324,Celta Vigo,Renato Tapia,PER,"MF,DF",28-215,1995,13.6,629,582,43,37,2,9,7,5,0,0,0,0,471,4,15
ESP-La Liga,2324,Celta Vigo,Tadeo Allende,ARG,"MF,FW",25-008,1999,2.1,54,54,0,0,1,1,6,0,0,0,0,0,28,0,6
ESP-La Liga,2324,Celta Vigo,Unai Núñez,ESP,DF,27-029,1997,25.5,1258,1181,76,72,2,26,0,4,0,0,0,0,964,1,15
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,37-049,1987,16.7,479,302,175,47,0,1,0,0,0,0,0,0,294,2,0
ESP-La Liga,2324,Celta Vigo,Williot Swedberg,SWE,"MF,FW",20-027,2004,1.5,34,30,4,1,0,0,1,0,0,0,0,0,24,0,1
ESP-La Liga,2324,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",24-291,1999,22.0,1144,920,216,39,7,2,107,156,17,1,12,0,811,8,32
ESP-La Liga,2324,Cádiz,Brian Ocampo,URU,MF,24-248,1999,1.5,72,63,9,1,0,1,7,4,4,1,3,0,48,0,3
ESP-La Liga,2324,Cádiz,Chris Ramos,ESP,"FW,MF",27-041,1997,21.5,365,349,12,0,0,0,10,3,0,0,0,0,205,4,7
ESP-La Liga,2324,Cádiz,Darwin Machís,VEN,MF,31-021,1993,8.3,268,237,30,8,0,5,55,5,17,10,2,0,165,1,15
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,30-048,1994,3.1,112,45,67,30,0,0,0,0,0,0,0,0,54,0,0
ESP-La Liga,2324,Cádiz,Diadie Samassékou,MLI,MF,28-048,1996,0.3,17,16,1,1,0,1,0,0,0,0,0,0,16,0,0
ESP-La Liga,2324,Cádiz,Fali,ESP,DF,30-200,1993,21.6,727,681,40,36,4,16,8,0,0,0,0,0,536,6,7
ESP-La Liga,2324,Cádiz,Fede San Emeterio,ESP,MF,26-349,1997,1.7,52,50,1,1,0,0,1,0,0,0,0,0,43,1,1
ESP-La Liga,2324,Cádiz,Gonzalo Escalante,ARG,MF,30-338,1993,13.5,477,461,11,4,2,2,3,0,0,0,0,0,353,5,7
ESP-La Liga,2324,Cádiz,Isaac Carcelen,ESP,DF,30-311,1993,21.3,844,651,189,20,0,6,43,166,3,0,3,0,626,4,18
ESP-La Liga,2324,Cádiz,Iván Alejo,ESP,MF,29-018,1995,17.1,409,374,33,8,1,2,124,17,8,0,8,0,207,2,28
ESP-La Liga,2324,Cádiz,Javi Hernández,ESP,DF,25-302,1998,17.5,725,553,172,40,1,3,72,104,28,13,9,0,511,0,13
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,31-015,1993,22.9,814,514,299,112,0,1,0,0,0,0,0,0,479,1,4
ESP-La Liga,2324,Cádiz,Jorge Meré,ESP,DF,26-317,1997,6.5,201,191,8,5,0,0,1,3,0,0,0,0,153,2,2
ESP-La Liga,2324,Cádiz,Joseba Zaldúa,ESP,"DF,MF",31-249,1992,3.6,99,76,23,2,0,0,6,21,0,0,0,0,64,0,4
ESP-La Liga,2324,Cádiz,José Mari,ESP,"MF,FW",36-084,1987,0.2,21,18,2,2,0,0,0,0,0,0,0,0,16,1,1
ESP-La Liga,2324,Cádiz,Juanmi,ESP,FW,30-284,1993,2.7,68,62,6,0,1,1,0,0,1,0,0,0,59,0,0
ESP-La Liga,2324,Cádiz,Karl Etta,CMR,FW,20-058,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ESP-La Liga,2324,Cádiz,Lucas,BRA,DF,22-341,2001,13.7,614,471,138,12,2,3,53,116,10,6,2,0,446,5,11
ESP-La Liga,2324,Cádiz,Luis Hernández,ESP,DF,34-320,1989,8.0,363,297,66,8,1,2,2,58,0,0,0,0,257,0,1
ESP-La Liga,2324,Cádiz,Mamadou Mbaye,SEN,DF,25-245,1998,3.2,84,80,3,3,0,0,0,0,0,0,0,0,47,1,1
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,27-198,1996,9.1,169,163,5,0,1,3,16,0,0,0,0,0,85,1,7
ESP-La Liga,2324,Cádiz,Milutin Osmajić,MNE,MF,24-218,1999,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
ESP-La Liga,2324,Cádiz,Moussa Diakité,MLI,MF,20-116,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Roberto Navarro,ESP,MF,21-322,2002,10.4,334,294,37,9,2,0,63,1,27,18,6,0,225,3,12
ESP-La Liga,2324,Cádiz,Roger Martí,ESP,FW,33-056,1991,11.6,238,218,17,0,3,2,8,0,0,0,0,0,149,3,12
ESP-La Liga,2324,Cádiz,Rominigue Kouamé,MLI,MF,27-073,1996,6.0,251,250,1,1,0,3,1,0,0,0,0,0,219,0,3
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32-303,1991,22.8,964,883,70,58,1,31,16,2,4,0,4,0,760,11,13
ESP-La Liga,2324,Cádiz,Rubén Sobrino,ESP,"MF,FW",31-272,1992,10.5,316,311,2,0,1,2,12,2,0,0,0,0,229,3,16
ESP-La Liga,2324,Cádiz,Sergi Guardiola,ESP,"FW,MF",32-275,1991,3.9,144,138,6,2,0,2,12,1,0,0,0,0,98,0,10
ESP-La Liga,2324,Cádiz,Víctor Chust,ESP,DF,23-360,2000,10.0,527,503,22,16,0,7,0,3,0,0,0,0,431,2,4
ESP-La Liga,2324,Cádiz,Álex Fernández,ESP,"MF,FW",31-136,1992,9.8,419,382,33,15,0,4,16,3,6,2,2,0,349,4,8
ESP-La Liga,2324,Cádiz,Álvaro Negredo,ESP,"FW,MF",38-192,1985,0.6,22,17,3,0,0,0,2,1,0,0,0,0,10,2,1
ESP-La Liga,2324,Getafe,Anthony Lozano,HON,"MF,FW",30-309,1993,1.0,16,16,0,0,0,0,1,0,0,0,0,0,10,0,1
ESP-La Liga,2324,Getafe,Borja Mayoral,ESP,FW,26-329,1997,23.1,542,518,22,0,0,8,22,1,1,0,0,0,409,2,25
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,"MF,FW",26-054,1998,8.8,295,263,31,16,1,3,26,4,11,10,1,0,222,1,8
ESP-La Liga,2324,Getafe,Carmona,ESP,"MF,FW",22-030,2002,7.5,230,206,23,1,0,0,10,22,0,0,0,0,166,1,13
ESP-La Liga,2324,Getafe,Damián Suárez,URU,DF,35-307,1988,14.4,638,499,137,20,0,15,49,107,9,1,6,1,436,2,14
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30-330,1993,26.0,893,536,353,147,0,7,0,0,0,0,0,0,454,4,0
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,31-005,1993,20.3,1093,842,246,16,1,19,90,230,0,0,0,0,722,5,35
ESP-La Liga,2324,Getafe,Djené,TOG,"DF,MF",32-059,1991,18.8,709,665,41,8,0,3,23,33,0,0,0,0,535,3,9
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28-355,1995,9.1,351,337,12,10,0,3,1,1,0,0,0,0,275,2,3
ESP-La Liga,2324,Getafe,Enes Ünal,TUR,"FW,MF",26-294,1997,1.6,35,34,1,1,0,0,1,0,0,0,0,0,24,0,0
ESP-La Liga,2324,Getafe,Fabrizio Angileri,ARG,"DF,MF",29-350,1994,1.1,66,60,6,1,0,1,5,5,0,0,0,0,41,0,3
ESP-La Liga,2324,Getafe,Gastón Álvarez,URU,DF,23-341,2000,19.7,662,590,71,26,0,10,13,44,0,0,0,0,478,1,10
ESP-La Liga,2324,Getafe,Gorka Rivera Alonso,ESP,DF,19-211,2004,0.0,6,5,1,0,0,0,0,1,0,0,0,0,4,0,0
ESP-La Liga,2324,Getafe,Iglesias,ESP,"DF,FW",25-240,1998,12.0,490,385,100,10,2,9,49,90,0,0,0,0,286,5,12
ESP-La Liga,2324,Getafe,Ilaix Moriba,GUI,MF,21-040,2003,1.2,36,36,0,0,0,0,0,0,0,0,0,0,29,0,0
ESP-La Liga,2324,Getafe,Jaime Mata,ESP,"FW,MF",35-127,1988,12.2,371,362,7,1,0,1,28,5,0,0,0,0,241,2,17
ESP-La Liga,2324,Getafe,Jesús Santiago,ESP,MF,19-279,2004,1.8,45,45,0,0,0,0,2,0,0,0,0,0,32,0,3
ESP-La Liga,2324,Getafe,Jordi,ESP,MF,23-054,2001,4.9,181,176,2,0,1,1,17,2,0,0,0,0,106,3,7
ESP-La Liga,2324,Getafe,Juanmi Latasa,ESP,FW,22-342,2001,12.5,285,274,10,0,1,0,2,0,0,0,0,0,146,1,4
ESP-La Liga,2324,Getafe,Luis Milla,ESP,MF,29-144,1994,13.0,687,589,93,49,0,24,69,1,41,19,16,0,525,5,11
ESP-La Liga,2324,Getafe,Mason Greenwood,ENG,"MF,FW",22-150,2001,18.6,644,596,42,11,3,19,79,1,30,23,1,0,463,6,14
ESP-La Liga,2324,Getafe,Mauro Arambarri,URU,MF,28-151,1995,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2
ESP-La Liga,2324,Getafe,Nemanja Maksimović,SRB,MF,29-033,1995,24.5,722,673,46,15,1,2,4,1,0,0,0,0,582,3,11
ESP-La Liga,2324,Getafe,Omar Alderete,PAR,DF,27-064,1996,14.1,539,495,36,34,0,18,2,1,0,0,0,0,321,8,7
ESP-La Liga,2324,Getafe,Portu,ESP,FW,31-283,1992,1.1,23,21,2,1,0,0,2,0,1,0,1,0,17,0,2
ESP-La Liga,2324,Getafe,Santiago García,,FW,22-183,2001,0.3,7,6,1,1,0,0,0,0,0,0,0,0,6,0,0
ESP-La Liga,2324,Getafe,Stefan Mitrović,SRB,DF,33-282,1990,7.8,251,223,28,24,1,1,0,0,0,0,0,0,191,0,0
ESP-La Liga,2324,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",25-245,1998,3.8,226,214,12,4,2,5,11,0,8,3,3,0,171,0,8
ESP-La Liga,2324,Girona,Aleix García,ESP,MF,26-245,1997,24.8,2053,1870,176,78,4,69,133,7,89,32,44,1,1806,7,8
ESP-La Liga,2324,Girona,Antal Yaakobishvili,HUN,DF,19-231,2004,0.7,42,42,0,0,0,0,0,0,0,0,0,0,37,0,0
ESP-La Liga,2324,Girona,Arnau Martinez,ESP,DF,20-309,2003,11.0,653,562,89,23,2,3,6,66,0,0,0,0,590,2,5
ESP-La Liga,2324,Girona,Artem Dovbyk,UKR,FW,26-252,1997,17.4,240,215,20,0,2,2,0,0,0,0,0,0,168,5,9
ESP-La Liga,2324,Girona,Bernardo Espinosa,COL,DF,34-232,1989,0.0,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
ESP-La Liga,2324,Girona,Cristhian Stuani,URU,FW,37-139,1986,7.8,105,92,13,1,0,0,1,0,0,0,0,0,75,0,2
ESP-La Liga,2324,Girona,Daley Blind,NED,DF,33-356,1990,22.0,1689,1622,55,42,0,12,8,8,1,0,0,0,1500,12,19
ESP-La Liga,2324,Girona,David López,ESP,"DF,MF",34-142,1989,14.0,1006,960,45,21,0,2,0,1,0,0,0,0,923,1,2
ESP-La Liga,2324,Girona,Eric García,ESP,DF,23-050,2001,17.6,1286,1204,76,38,6,8,4,33,0,0,0,0,1158,6,11
ESP-La Liga,2324,Girona,Ibrahima Kebe,MLI,MF,23-210,2000,0.1,8,7,1,1,0,0,0,0,0,0,0,0,5,0,0
ESP-La Liga,2324,Girona,Iván Martín,ESP,"MF,FW",25-014,1999,20.1,1054,1030,17,9,0,2,4,4,0,0,0,0,962,7,11
