,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Chelsea,Roméo Lavia,BEL,MF,20-053,2004,0.4,30,1,2,26,2,0,30,0,0,,0,,22,83,40,0,0,0,0,0,26,0
ENG-Premier League,2324,Chelsea,Thiago Silva,BRA,DF,39-159,1984,22.0,1922,296,956,910,64,14,1922,4,2,50.0,0,0.0,1246,5258,2987,2,11,0,6,1,1417,2
ENG-Premier League,2324,Chelsea,Trevoh Chalobah,ENG,DF,24-238,1999,0.2,5,2,3,1,1,0,5,0,0,,0,,0,0,0,0,0,0,0,0,3,0
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,24-143,1999,9.1,342,300,342,0,0,0,342,0,0,,0,,200,891,483,0,0,0,1,0,186,0
ENG-Premier League,2324,Crystal Palace,Adam Wharton,ENG,MF,19-271,2004,3.4,177,7,42,86,50,2,177,2,0,0.0,1,50.0,78,274,153,4,3,0,3,3,99,2
ENG-Premier League,2324,Crystal Palace,Cheick Doucouré,MLI,MF,24-051,2000,10.2,545,25,145,312,97,7,545,13,10,76.9,3,23.1,276,1153,579,9,9,1,16,8,318,5
ENG-Premier League,2324,Crystal Palace,Chris Richards,USA,"DF,MF",23-337,2000,14.3,650,91,287,312,55,11,650,0,0,,0,,288,1178,458,0,4,0,5,3,345,1
ENG-Premier League,2324,Crystal Palace,Daniel Muñoz,COL,DF,27-278,1996,4.0,224,20,71,90,64,9,224,4,2,50.0,1,25.0,87,333,164,3,1,0,3,0,114,24
ENG-Premier League,2324,Crystal Palace,David Ozoh,ENG,MF,18-273,2005,1.5,64,1,18,36,11,0,64,3,1,33.3,2,66.7,31,141,36,2,2,0,2,4,35,3
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26-353,1997,8.0,261,236,261,0,0,0,261,0,0,,0,,140,835,303,0,0,0,1,0,116,0
ENG-Premier League,2324,Crystal Palace,Eberechi Eze,ENG,"MF,FW",25-244,1998,12.9,710,8,68,274,383,58,709,78,43,55.1,32,41.0,446,2731,1224,38,38,22,39,26,480,69
ENG-Premier League,2324,Crystal Palace,James Tomkins,ENG,DF,34-336,1989,0.1,14,2,8,5,1,0,14,0,0,,0,,3,11,5,0,0,0,0,0,4,0
ENG-Premier League,2324,Crystal Palace,Jaïro Riedewald,NED,"MF,FW",27-172,1996,2.0,77,1,18,38,22,4,77,2,1,50.0,1,50.0,34,104,46,2,0,1,3,2,46,1
ENG-Premier League,2324,Crystal Palace,Jean-Philippe Mateta,FRA,FW,26-245,1997,14.8,429,7,38,179,224,55,427,44,18,40.9,23,52.3,264,1270,412,17,9,9,60,52,312,80
ENG-Premier League,2324,Crystal Palace,Jefferson Lerma,COL,MF,29-126,1994,20.5,1142,51,265,638,248,39,1142,13,9,69.2,3,23.1,563,2237,1029,12,11,2,21,13,698,47
ENG-Premier League,2324,Crystal Palace,Jeffrey Schlupp,GHA,"FW,MF",31-067,1992,13.6,470,21,102,216,159,24,470,34,14,41.2,16,47.1,257,1138,556,18,10,5,36,21,298,37
ENG-Premier League,2324,Crystal Palace,Jesuran Rak Sakyi,ENG,"MF,FW",21-146,2002,1.5,77,1,10,19,48,13,77,10,4,40.0,5,50.0,46,252,145,7,3,5,4,3,54,18
ENG-Premier League,2324,Crystal Palace,Joachim Andersen,DEN,DF,27-273,1996,26.0,1814,212,893,817,111,34,1814,19,11,57.9,5,26.3,1003,5498,3357,19,10,0,6,6,1166,8
ENG-Premier League,2324,Crystal Palace,Joel Ward,ENG,DF,34-122,1989,16.8,921,73,325,430,173,7,921,10,6,60.0,4,40.0,378,1544,801,16,9,0,8,2,471,14
