,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Tottenham,Giovani Lo Celso,ARG,MF,27-325,1996,4.7,406,9,64,221,129,14,406,12,7,58.3,2,16.7,256,1417,735,21,19,0,8,7,323,22
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,27-144,1996,25.0,1139,889,1131,8,0,0,1139,0,0,,0,,661,3021,1724,0,0,0,0,0,628,0
ENG-Premier League,2324,Tottenham,Ivan Perišić,CRO,FW,35-026,1989,1.1,93,3,24,20,49,10,93,7,4,57.1,3,42.9,65,398,277,15,5,6,2,0,74,17
ENG-Premier League,2324,Tottenham,James Maddison,ENG,MF,27-097,1996,13.6,959,12,81,401,485,66,959,51,21,41.2,20,39.2,690,3565,1486,38,32,19,21,23,776,88
ENG-Premier League,2324,Tottenham,Jamie Donley,ENG,FW,19-056,2005,0.0,7,2,4,2,1,0,7,1,0,0.0,1,100.0,2,9,8,0,0,0,0,1,1,0
ENG-Premier League,2324,Tottenham,Manor Solomon,ISR,FW,24-219,1999,2.2,125,1,14,29,83,20,125,17,10,58.8,7,41.2,92,695,404,17,8,9,5,2,92,44
ENG-Premier League,2324,Tottenham,Micky van de Ven,NED,DF,22-315,2001,15.5,1185,149,602,548,45,6,1185,16,8,50.0,6,37.5,844,3677,1732,10,9,0,8,6,881,1
ENG-Premier League,2324,Tottenham,Oliver Skipp,ENG,"MF,FW",23-165,2000,6.5,363,11,68,211,85,10,363,2,1,50.0,1,50.0,185,655,323,6,2,1,8,5,269,22
ENG-Premier League,2324,Tottenham,Pape Matar Sarr,SEN,MF,21-167,2002,14.9,1057,39,194,563,313,31,1057,31,15,48.4,14,45.2,724,4173,1586,29,40,3,27,7,807,59
ENG-Premier League,2324,Tottenham,Pedro Porro,ESP,DF,24-168,1999,23.0,1861,123,560,736,581,44,1861,38,20,52.6,14,36.8,874,3504,1833,35,28,6,27,7,1083,103
ENG-Premier League,2324,Tottenham,Pierre Højbjerg,DEN,MF,28-207,1995,10.9,1093,47,275,622,205,13,1093,18,8,44.4,9,50.0,687,2736,1224,12,18,2,15,6,842,22
ENG-Premier League,2324,Tottenham,Radu Drăgușin,ROU,"DF,MF",22-025,2002,0.1,18,2,6,12,0,0,18,1,0,0.0,0,0.0,7,37,16,1,0,0,0,0,9,0
ENG-Premier League,2324,Tottenham,Richarlison,BRA,FW,26-294,1997,15.0,597,31,82,227,294,109,597,36,10,27.8,23,63.9,359,1521,661,23,9,13,46,36,414,99
ENG-Premier League,2324,Tottenham,Rodrigo Bentancur,URU,MF,26-248,1997,4.7,353,23,86,180,89,9,353,10,6,60.0,3,30.0,198,993,383,5,6,1,4,11,270,11
ENG-Premier League,2324,Tottenham,Son Heung-min,KOR,FW,31-235,1992,20.1,799,7,59,247,501,127,798,52,22,42.3,28,53.8,556,3207,1601,64,26,38,32,23,640,210
ENG-Premier League,2324,Tottenham,Timo Werner,GER,FW,27-359,1996,3.7,190,0,15,43,132,27,190,10,5,50.0,5,50.0,148,1099,635,32,14,18,5,1,148,45
ENG-Premier League,2324,Tottenham,Yves Bissouma,MLI,MF,27-182,1996,14.5,1344,67,313,761,285,16,1344,41,25,61.0,9,22.0,871,4740,2069,31,27,7,25,26,1035,8
ENG-Premier League,2324,West Ham,Aaron Cresswell,ENG,DF,34-075,1989,1.6,102,5,34,46,22,0,102,1,0,0.0,1,100.0,59,140,44,1,1,0,0,1,66,2
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,31-001,1993,22.5,719,610,714,5,0,0,719,1,1,100.0,0,0.0,365,2338,1458,0,1,0,0,0,261,0
ENG-Premier League,2324,West Ham,Angelo Ogbonna,ITA,DF,35-281,1988,3.6,120,32,85,35,0,0,120,1,1,100.0,0,0.0,60,286,86,0,0,0,0,0,67,0
ENG-Premier League,2324,West Ham,Ben Johnson,ENG,"DF,FW",24-035,2000,4.4,274,13,97,106,78,3,274,17,6,35.3,9,52.9,151,898,387,10,6,1,2,6,158,21
ENG-Premier League,2324,West Ham,Danny Ings,ENG,FW,31-220,1992,2.8,103,5,11,48,46,14,103,9,5,55.6,3,33.3,61,274,93,5,2,2,6,2,64,13
ENG-Premier League,2324,West Ham,Divin Mubama,ENG,FW,19-126,2004,0.9,32,0,3,20,9,1,32,0,0,,0,,18,41,12,0,1,0,6,0,24,5
ENG-Premier League,2324,West Ham,Edson Álvarez,MEX,MF,26-127,1997,19.4,1169,119,428,627,126,12,1169,26,17,65.4,8,30.8,657,3796,1592,14,17,1,25,19,707,20
ENG-Premier League,2324,West Ham,Emerson Palmieri,ITA,DF,29-209,1994,24.2,1509,116,470,692,363,33,1509,43,17,39.5,21,48.8,765,4027,2098,41,38,9,25,10,865,84
ENG-Premier League,2324,West Ham,James Ward-Prowse,ENG,MF,29-119,1994,24.7,1456,60,274,777,414,26,1454,16,9,56.3,5,31.3,688,3091,1251,16,23,6,11,9,854,49
ENG-Premier League,2324,West Ham,Jarrod Bowen,ENG,FW,27-070,1996,25.0,807,17,103,297,423,131,807,62,23,37.1,34,54.8,501,3384,1452,61,28,35,57,45,560,145
ENG-Premier League,2324,West Ham,Kalvin Phillips,ENG,MF,28-088,1995,2.2,141,5,25,101,16,1,141,5,1,20.0,4,80.0,76,404,148,3,1,0,3,3,91,4
ENG-Premier League,2324,West Ham,Konstantinos Mavropanos,GRE,DF,26-079,1997,9.0,455,54,221,216,22,10,455,4,1,25.0,2,50.0,219,1317,763,3,0,0,5,0,226,1
ENG-Premier League,2324,West Ham,Kudus Mohammed,GHA,"FW,MF",23-210,2000,15.7,773,13,119,348,338,48,773,118,66,55.9,39,33.1,522,4004,1761,66,36,17,50,56,539,124
ENG-Premier League,2324,West Ham,Kurt Zouma,FRA,DF,29-124,1994,21.2,1018,179,552,445,22,18,1018,0,0,,0,,562,2621,1452,5,4,1,9,1,606,0
ENG-Premier League,2324,West Ham,Lucas Paquetá,BRA,"FW,MF",26-185,1997,17.6,1153,26,217,642,311,36,1152,54,29,53.7,20,37.0,734,3144,1297,24,27,7,43,51,851,80
ENG-Premier League,2324,West Ham,Maxwel Cornet,CIV,"MF,FW",27-154,1996,1.2,54,1,10,17,28,8,54,2,0,0.0,1,50.0,31,258,73,3,2,2,1,3,34,7
ENG-Premier League,2324,West Ham,Michail Antonio,JAM,FW,33-337,1990,10.0,273,4,34,119,124,27,273,29,17,58.6,9,31.0,186,1300,669,26,11,10,40,18,209,52
ENG-Premier League,2324,West Ham,Nayef Aguerd,MAR,DF,27-335,1996,18.7,1222,176,643,536,45,18,1222,4,2,50.0,2,50.0,765,3678,2054,9,8,0,8,2,806,3
ENG-Premier League,2324,West Ham,Pablo Fornals,ESP,"MF,FW",28-006,1996,4.7,277,7,53,128,98,20,277,12,6,50.0,5,41.7,156,645,256,4,7,2,8,8,176,27
ENG-Premier League,2324,West Ham,Saïd Benrahma,ALG,"FW,MF",28-202,1995,6.9,355,11,65,128,168,35,354,38,14,36.8,21,55.3,238,1687,790,28,17,15,14,8,245,70
ENG-Premier League,2324,West Ham,Thilo Kehrer,GER,"DF,MF",27-160,1996,0.2,12,2,2,8,2,0,12,0,0,,0,,3,15,5,0,0,0,0,0,6,1
ENG-Premier League,2324,West Ham,Tomáš Souček,CZE,MF,29-001,1995,21.8,884,115,277,442,168,49,884,7,2,28.6,5,71.4,373,1243,410,6,10,2,11,8,469,28
ENG-Premier League,2324,West Ham,Vladimír Coufal,CZE,DF,31-190,1992,23.6,1389,108,465,578,357,18,1389,24,9,37.5,10,41.7,628,3441,1684,46,24,3,22,9,713,92
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38-316,1985,3.5,113,94,112,1,0,0,113,0,0,,0,,64,305,212,0,0,0,0,0,39,0
ENG-Premier League,2324,Wolves,Boubacar Traoré,MLI,"MF,FW",22-192,2001,4.4,264,9,49,170,49,2,264,5,3,60.0,1,20.0,145,725,277,4,8,1,6,7,178,9
ENG-Premier League,2324,Wolves,Craig Dawson,ENG,DF,33-298,1990,23.5,1475,276,853,574,53,33,1475,3,3,100.0,0,0.0,865,4120,1899,1,7,0,5,2,966,4
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30-230,1993,2.8,92,77,92,0,0,0,92,0,0,,0,,37,196,140,0,0,0,0,0,42,0
ENG-Premier League,2324,Wolves,Fábio Silva,POR,FW,21-224,2002,2.9,118,4,24,55,44,12,118,8,2,25.0,5,62.5,66,437,186,5,5,1,12,4,69,13
ENG-Premier League,2324,Wolves,Hugo Bueno,ESP,"DF,MF",21-163,2002,4.4,326,17,104,131,92,7,326,18,6,33.3,11,61.1,173,1018,460,11,5,1,6,12,189,29
ENG-Premier League,2324,Wolves,Hwang Hee-chan,KOR,"FW,MF",28-033,1996,18.0,637,13,97,268,284,78,636,61,32,52.5,26,42.6,408,2197,886,30,19,17,41,25,462,93
ENG-Premier League,2324,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",25-246,1998,8.0,379,20,67,158,162,25,379,34,15,44.1,15,44.1,214,1481,710,25,21,5,21,13,231,38
ENG-Premier League,2324,Wolves,Jonny Castro,ESP,MF,29-362,1994,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Wolves,José Sá,POR,GK,31-042,1993,23.2,783,679,779,4,0,0,783,3,3,100.0,0,0.0,451,3062,2022,0,1,1,0,1,304,0
ENG-Premier League,2324,Wolves,João Gomes,BRA,MF,23-016,2001,19.2,1043,38,278,559,220,17,1043,27,14,51.9,10,37.0,529,2535,1061,12,11,1,29,23,620,21
ENG-Premier League,2324,Wolves,Mario Lemina,GAB,MF,30-180,1993,22.3,1166,88,359,605,220,38,1166,27,15,55.6,11,40.7,598,2955,1289,20,18,1,21,15,739,26
ENG-Premier League,2324,Wolves,Matheus Cunha,BRA,"FW,MF",24-277,1999,21.8,944,22,132,465,375,100,943,110,52,47.3,46,41.8,572,4592,2693,93,65,30,62,41,671,108
ENG-Premier League,2324,Wolves,Matheus Nunes,POR,MF,25-185,1998,2.0,131,4,30,66,40,6,131,17,11,64.7,4,23.5,93,634,336,7,6,3,3,4,95,9
ENG-Premier League,2324,Wolves,Matt Doherty,IRL,"DF,MF",32-043,1992,6.4,388,30,135,159,96,18,388,9,4,44.4,4,44.4,162,712,303,7,5,0,10,2,216,35
ENG-Premier League,2324,Wolves,Max Kilman,ENG,DF,26-281,1997,26.0,1767,268,915,763,103,16,1767,12,8,66.7,1,8.3,1053,5117,3024,21,16,1,5,8,1194,3
ENG-Premier League,2324,Wolves,Nathan Fraser,IRL,FW,19-006,2005,0.6,21,2,4,10,7,0,21,0,0,,0,,10,25,7,0,0,0,1,0,14,7
ENG-Premier League,2324,Wolves,Nélson Semedo,POR,"DF,MF",30-104,1993,24.1,1504,96,496,661,370,24,1504,61,35,57.4,20,32.8,821,5156,2908,73,43,9,41,20,879,104
ENG-Premier League,2324,Wolves,Pablo Sarabia,ESP,"MF,FW",31-293,1992,12.1,749,11,85,361,310,34,748,23,8,34.8,12,52.2,436,2332,1063,28,31,6,23,13,519,87
ENG-Premier League,2324,Wolves,Pedro Neto,POR,"MF,FW",23-356,2000,15.7,835,4,59,326,470,79,835,80,31,38.8,40,50.0,529,4433,2379,91,58,39,39,18,625,137
ENG-Premier League,2324,Wolves,Rayan Aït Nouri,ALG,"DF,MF",22-267,2001,16.9,1006,40,269,441,313,35,1006,75,40,53.3,27,36.0,580,3230,1591,44,31,5,31,29,649,69
ENG-Premier League,2324,Wolves,Santiago Bueno,URU,DF,25-111,1998,2.2,121,23,68,51,2,0,121,1,1,100.0,0,0.0,61,280,154,0,0,0,0,0,68,0
ENG-Premier League,2324,Wolves,Sasa Kalajdzic,AUT,FW,26-236,1997,1.8,88,5,20,44,24,7,88,1,1,100.0,0,0.0,46,143,48,1,1,0,2,5,68,9
ENG-Premier League,2324,Wolves,Tawanda Chirewa,ENG,FW,20-140,2003,0.0,4,2,3,0,1,0,4,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Wolves,Tommy Doyle,ENG,MF,22-134,2001,7.1,556,24,157,318,84,3,556,2,1,50.0,0,0.0,315,1401,602,10,6,2,3,4,385,9
ENG-Premier League,2324,Wolves,Toti Gomes,POR,DF,25-043,1999,19.7,1366,105,624,634,114,13,1366,19,13,68.4,3,15.8,720,2983,1649,14,6,1,12,3,872,7
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24-355,1999,16.9,704,130,380,296,30,17,704,4,3,75.0,0,0.0,340,1690,1034,4,4,0,8,1,342,0
ESP-La Liga,2324,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25-201,1998,6.8,281,5,38,82,163,29,281,18,7,38.9,10,55.6,145,1057,617,27,11,14,21,12,161,61
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,32-077,1991,10.5,497,76,277,204,18,6,497,3,2,66.7,0,0.0,247,1442,794,6,4,0,3,2,264,1
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24-264,1999,11.0,486,6,79,158,259,39,486,60,36,60.0,21,35.0,256,1857,1045,36,21,11,26,14,299,84
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26-236,1997,24.4,1356,57,308,806,263,16,1356,30,17,56.7,10,33.3,672,3940,2228,49,40,3,22,20,852,29
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,27-208,1996,23.7,1198,68,332,531,345,28,1198,37,18,48.6,13,35.1,496,2488,1520,48,28,6,23,18,598,97
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23-220,2000,18.5,910,41,233,537,156,10,910,23,13,56.5,4,17.4,464,2010,914,13,9,2,15,13,539,17
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,27-201,1996,26.0,885,700,865,20,0,0,885,0,0,,0,,397,2619,1602,0,0,0,2,0,285,0
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25-335,1998,6.3,343,20,100,192,53,4,343,1,1,100.0,0,0.0,111,568,297,6,5,1,6,2,147,3
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,"FW,MF",24-311,1999,4.0,171,4,23,59,91,13,171,15,6,40.0,9,60.0,71,374,142,6,3,2,11,6,102,29
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,FW,21-072,2002,0.6,18,0,2,9,10,0,18,4,2,50.0,1,25.0,8,130,82,4,2,0,1,0,13,3
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,"MF,FW",25-129,1998,6.4,300,2,18,113,176,16,299,22,10,45.5,7,31.8,170,881,426,13,9,2,9,10,196,45
ESP-La Liga,2324,Alavés,Javi López,ESP,"DF,MF",22-058,2002,16.8,919,56,283,369,279,34,919,49,31,63.3,15,30.6,431,2810,1459,44,30,10,23,15,485,86
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,FW,21-144,2002,0.0,3,0,0,0,3,0,3,0,0,,0,,1,4,0,0,0,0,1,0,2,1
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,29-000,1995,21.0,786,19,114,442,242,56,786,28,10,35.7,16,57.1,399,2110,1003,22,20,3,27,23,519,68
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,"MF,FW",21-162,2002,0.2,8,0,0,5,3,1,8,0,0,,0,,6,20,0,0,0,0,2,0,6,1
ESP-La Liga,2324,Alavés,Kiké,ESP,FW,34-095,1989,10.4,345,15,34,127,191,75,344,19,11,57.9,5,26.3,216,951,322,13,6,9,38,14,275,71
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,"FW,MF",30-135,1993,22.6,921,22,122,310,512,49,918,64,38,59.4,20,31.3,515,3387,1829,59,42,17,42,15,600,146
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,"FW,MF",29-345,1994,0.2,13,1,3,6,4,0,13,1,0,0.0,1,100.0,6,25,10,0,0,0,1,1,8,1
ESP-La Liga,2324,Alavés,Miguel,ESP,"FW,MF",24-178,1999,0.7,22,0,1,12,9,3,22,0,0,,0,,9,42,25,1,0,1,2,4,14,3
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,28-007,1996,5.4,239,39,123,88,31,6,239,3,1,33.3,1,33.3,96,611,353,8,3,0,3,1,105,9
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21-285,2002,18.2,847,143,443,375,35,18,847,3,2,66.7,1,33.3,404,2352,1518,9,4,0,7,3,437,4
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,28-133,1995,16.0,813,70,323,341,156,11,813,5,3,60.0,1,20.0,324,1603,826,14,12,2,9,4,385,30
ESP-La Liga,2324,Alavés,Samuel Omorodion,ESP,FW,19-299,2004,15.6,429,13,29,206,202,84,429,48,17,35.4,29,60.4,255,1248,516,22,13,18,65,28,302,81
ESP-La Liga,2324,Alavés,Tomás Mendes,ESP,MF,19-099,2004,0.1,7,0,1,4,2,0,7,0,0,,0,,6,20,1,0,1,0,0,1,5,0
ESP-La Liga,2324,Alavés,Unai Ropero,ESP,MF,22-100,2001,0.1,7,0,1,1,5,1,7,2,0,0.0,2,100.0,3,9,6,0,0,0,0,0,3,0
ESP-La Liga,2324,Alavés,Victor Parada,ESP,"FW,MF",21-330,2002,0.0,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,1,0,1,0
ESP-La Liga,2324,Alavés,Xeber,ESP,"FW,MF",26-247,1997,3.0,124,0,18,33,74,14,124,7,3,42.9,4,57.1,60,292,115,5,2,2,7,3,77,27
ESP-La Liga,2324,Almería,Adri Embarba,ESP,"FW,MF",31-297,1992,17.4,863,13,130,324,423,41,863,84,32,38.1,46,54.8,498,3383,1664,67,38,16,44,23,536,108
ESP-La Liga,2324,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",25-006,1999,9.4,615,26,160,290,166,7,615,12,1,8.3,10,83.3,305,1361,674,20,14,2,13,3,356,58
ESP-La Liga,2324,Almería,Aleksandar Radovanović,SRB,DF,30-109,1993,2.8,113,30,76,36,1,1,113,0,0,,0,,46,152,46,0,0,0,1,0,59,0
ESP-La Liga,2324,Almería,Anthony Lozano,HON,FW,30-309,1993,2.7,84,5,7,42,35,6,84,9,2,22.2,6,66.7,49,283,100,5,4,0,9,7,65,11
ESP-La Liga,2324,Almería,Arnau Puigmal,ESP,"FW,DF",23-049,2001,2.8,122,2,20,56,48,2,122,7,2,28.6,4,57.1,76,437,210,4,3,0,7,2,78,17
ESP-La Liga,2324,Almería,Bruno Langa,MOZ,DF,26-120,1997,2.3,136,16,65,61,10,0,136,3,2,66.7,1,33.3,56,240,120,1,0,0,0,1,57,3
ESP-La Liga,2324,Almería,César Montes,MEX,DF,27-004,1997,12.0,720,89,377,312,34,16,720,1,1,100.0,0,0.0,382,1966,1221,6,4,0,6,1,468,1
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33-295,1990,1.0,32,26,32,0,0,0,32,0,0,,0,,22,94,53,0,0,0,0,0,20,0
ESP-La Liga,2324,Almería,Dion Lopy,SEN,MF,22-026,2002,17.8,925,62,271,540,131,8,925,44,28,63.6,13,29.5,555,3647,1524,23,20,2,18,14,574,18
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33-263,1990,2.0,88,65,86,2,0,0,88,0,0,,0,,43,279,189,0,0,0,0,0,34,0
ESP-La Liga,2324,Almería,Gonzalo Melero,ESP,"MF,FW",30-057,1994,10.3,477,16,74,291,116,27,477,15,6,40.0,8,53.3,280,1496,796,21,8,3,23,12,333,31
ESP-La Liga,2324,Almería,Houboulang Mendes,GNB,DF,25-300,1998,4.4,236,21,94,117,27,1,236,7,2,28.6,3,42.9,83,389,175,5,4,0,8,4,89,6
ESP-La Liga,2324,Almería,Ibrahima Koné,MLI,FW,24-257,1999,2.9,79,5,7,40,34,7,79,4,1,25.0,2,50.0,41,166,73,3,1,2,7,1,54,15
ESP-La Liga,2324,Almería,Iddrisu Baba,GHA,MF,28-037,1996,14.3,753,39,227,480,56,4,753,16,12,75.0,3,18.8,429,2009,776,1,3,0,14,7,447,4
ESP-La Liga,2324,Almería,Jonathan Viera,ESP,MF,34-130,1989,1.6,93,0,8,49,36,2,93,2,0,0.0,2,100.0,66,224,123,3,4,0,3,2,75,4
ESP-La Liga,2324,Almería,Juan Brandáriz,ESP,DF,24-363,1999,18.5,1013,142,546,422,51,7,1013,4,3,75.0,1,25.0,571,2681,1419,9,8,0,10,3,644,4
ESP-La Liga,2324,Almería,Kaiky,BRA,DF,20-047,2004,5.8,317,50,175,137,6,4,317,4,3,75.0,1,25.0,182,1023,683,4,0,0,1,0,200,1
ESP-La Liga,2324,Almería,Largie Ramazani,BEL,"FW,MF",23-001,2001,14.4,463,8,69,201,212,51,463,61,23,37.7,34,55.7,314,2507,1440,47,34,20,37,28,327,82
ESP-La Liga,2324,Almería,Lucas Robertone,ARG,MF,26-347,1997,17.6,1130,38,258,654,236,14,1130,15,6,40.0,6,40.0,605,2905,1444,28,20,4,21,9,673,29
ESP-La Liga,2324,Almería,Luis Javier Suárez,COL,"FW,MF",26-088,1997,8.0,244,7,23,107,119,47,243,13,7,53.8,6,46.2,147,1133,573,26,10,14,21,7,166,40
ESP-La Liga,2324,Almería,Luka Romero,ARG,FW,19-102,2004,1.2,72,2,12,28,32,3,72,6,2,33.3,4,66.7,49,239,117,4,6,1,5,0,56,12
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,25-054,1999,23.0,928,742,915,13,0,0,928,3,3,100.0,0,0.0,489,2520,1484,0,0,0,0,0,384,0
ESP-La Liga,2324,Almería,Lázaro,BRA,"FW,MF",21-353,2002,3.2,152,2,19,64,69,14,152,16,5,31.3,10,62.5,89,547,224,5,3,2,11,5,100,34
ESP-La Liga,2324,Almería,Léo Baptistão,BRA,FW,31-186,1992,12.8,473,18,66,242,170,45,473,14,5,35.7,8,57.1,238,1289,605,14,14,3,24,12,306,53
ESP-La Liga,2324,Almería,Marciano Sanca,GNB,"FW,MF",19-362,2004,0.5,28,0,2,17,9,0,28,0,0,,0,,12,87,24,1,1,0,1,1,16,3
ESP-La Liga,2324,Almería,Marko Milovanović,SRB,"FW,MF",20-208,2003,2.5,75,4,10,39,27,8,75,1,0,0.0,1,100.0,39,135,42,1,1,0,6,2,49,11
ESP-La Liga,2324,Almería,Pubill,ESP,DF,20-253,2003,10.2,628,45,198,278,161,14,628,36,18,50.0,12,33.3,318,1865,1034,27,29,4,12,5,344,44
ESP-La Liga,2324,Almería,Rachad Fettal,MAR,FW,19-043,2005,0.2,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Almería,Sergio Akieme,ESP,DF,26-074,1997,18.6,959,54,338,420,216,20,959,40,21,52.5,18,45.0,498,2520,1141,27,23,2,15,16,525,72
ESP-La Liga,2324,Almería,Sergio Arribas,ESP,"MF,FW",22-151,2001,19.1,802,11,101,371,342,66,802,40,12,30.0,26,65.0,435,2336,1266,43,26,9,32,13,498,78
ESP-La Liga,2324,Almería,Srđan Babić,SRB,DF,27-312,1996,1.0,69,5,29,38,2,1,69,0,0,,0,,44,285,199,1,1,0,0,0,49,0
ESP-La Liga,2324,Almería,Álex Centelles,ESP,DF,26-112,1997,4.6,295,19,104,123,71,5,295,5,2,40.0,3,60.0,131,638,350,9,7,3,3,1,152,21
ESP-La Liga,2324,Almería,Édgar González,ESP,DF,26-333,1997,20.1,1180,191,655,487,44,19,1180,8,5,62.5,2,25.0,605,2749,1453,4,4,0,9,2,733,4
ESP-La Liga,2324,Athletic Club,Adu Ares,ESP,"FW,MF",22-139,2001,1.6,83,1,12,34,40,3,83,13,9,69.2,3,23.1,59,433,202,6,1,2,4,4,62,28
ESP-La Liga,2324,Athletic Club,Aitor Paredes,ESP,DF,23-305,2000,21.7,1302,107,672,603,34,19,1302,2,1,50.0,1,50.0,728,3878,1993,5,2,0,6,1,845,0
ESP-La Liga,2324,Athletic Club,Ander Herrera,ESP,MF,34-198,1989,8.8,659,26,123,409,139,9,659,10,5,50.0,4,40.0,329,1244,563,8,12,0,4,6,430,11
ESP-La Liga,2324,Athletic Club,Asier Villalibre,ESP,FW,26-151,1997,3.6,121,4,12,43,66,23,121,6,1,16.7,4,66.7,69,249,139,6,4,6,6,8,95,24
ESP-La Liga,2324,Athletic Club,Beñat Prados,ESP,"MF,DF",23-020,2001,7.9,484,17,88,301,100,7,484,7,4,57.1,3,42.9,261,1185,535,8,10,1,6,14,290,11
ESP-La Liga,2324,Athletic Club,Dani García,ESP,MF,33-280,1990,4.8,228,10,47,146,36,6,228,1,1,100.0,0,0.0,111,453,202,2,2,0,2,2,135,2
ESP-La Liga,2324,Athletic Club,Daniel Vivian,ESP,DF,24-228,1999,23.7,1428,120,706,683,51,23,1428,8,3,37.5,4,50.0,785,4141,2362,16,7,2,20,2,835,3
ESP-La Liga,2324,Athletic Club,Gorka Guruzeta,ESP,FW,27-169,1996,19.0,709,17,62,348,306,80,708,22,13,59.1,8,36.4,332,1341,501,11,9,4,51,25,475,79
ESP-La Liga,2324,Athletic Club,Iker Muniain,ESP,"MF,FW",31-071,1992,4.4,307,3,20,152,135,14,307,17,8,47.1,8,47.1,192,914,444,13,8,3,9,8,231,33
ESP-La Liga,2324,Athletic Club,Imanol,ESP,DF,23-265,2000,3.4,247,7,54,128,68,2,247,3,3,100.0,0,0.0,116,517,307,8,8,1,4,1,126,13
ESP-La Liga,2324,Athletic Club,Iñaki Williams,GHA,FW,29-258,1994,21.8,973,30,89,324,579,127,973,85,40,47.1,38,44.7,616,4078,2129,84,44,39,63,38,700,224
ESP-La Liga,2324,Athletic Club,Iñigo Lekue,ESP,DF,30-300,1993,14.8,958,44,267,501,202,8,958,33,15,45.5,17,51.5,456,2629,1353,33,24,1,10,7,525,27
ESP-La Liga,2324,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30-206,1993,16.9,999,22,128,618,265,6,999,21,14,66.7,6,28.6,567,2597,1098,18,22,1,18,23,663,25
ESP-La Liga,2324,Athletic Club,Mikel Jauregizar,ESP,MF,20-108,2003,0.7,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Mikel Vesga,ESP,MF,30-283,1993,13.2,786,38,153,493,146,19,784,10,2,20.0,8,80.0,383,1624,758,7,8,1,12,7,495,19
ESP-La Liga,2324,Athletic Club,Nico Williams,ESP,FW,21-231,2002,17.2,810,11,73,253,503,101,810,124,57,46.0,57,46.0,544,4449,2535,91,54,47,50,39,556,193
ESP-La Liga,2324,Athletic Club,Oihan Sancet,ESP,MF,23-309,2000,17.9,877,4,49,407,437,73,876,49,22,44.9,22,44.9,570,3450,1741,65,55,12,57,35,688,126
ESP-La Liga,2324,Athletic Club,Peru Nolaskoain,ESP,"DF,MF",25-126,1998,0.1,10,0,6,5,0,0,10,0,0,,0,,4,19,1,0,0,0,0,0,5,0
ESP-La Liga,2324,Athletic Club,Raúl García,ESP,"FW,MF",37-232,1986,2.0,85,5,14,41,31,8,85,2,1,50.0,1,50.0,45,200,80,1,5,1,5,1,63,8
