Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls Std,Ast Std,G+A Std,G-PK Std,PK Std,PKatt Std,CrdY Std,CrdR Std,xG Std,npxG Std,xAG Std,npxG+xAG Std,PrgC Std,PrgP Std,PrgR Std,Gls.1 Std,Ast.1 Std,G+A.1 Std,G-PK.1 Std,G+A-PK Std,xG.1 Std,xAG.1 Std,xG+xAG Std,npxG.1 Std,npxG+xAG.1 Std,Matches Std,Gls St,Sh St,SoT St,SoT% St,Sh/90 St,SoT/90 St,G/Sh St,G/SoT St,Dist St,FK St,PK St,PKatt St,xG St,npxG St,npxG/Sh St,G-xG St,np:G-xG St,Matches St,Cmp Pass,Att Pass,Cmp% Pass,TotDist Pass,PrgDist Pass,Cmp.1 Pass,Att.1 Pass,Cmp%.1 Pass,Cmp.2 Pass,Att.2 Pass,Cmp%.2 Pass,Cmp.3 Pass,Att.3 Pass,Cmp%.3 Pass,Ast Pass,xAG Pass,xA Pass,A-xAG Pass,KP Pass,1/3 Pass,PPA Pass,CrsPA Pass,PrgP Pass,Matches Pass,Att Pt,Live Pt,Dead Pt,FK Pt,TB Pt,Sw Pt,Crs Pt,TI Pt,CK Pt,In Pt,Out Pt,Str Pt,Cmp Pt,Off Pt,Blocks Pt,Matches Pt,SCA Gca,SCA90 Gca,PassLive Gca,PassDead Gca,TO Gca,Sh Gca,Fld Gca,Def Gca,GCA Gca,GCA90 Gca,PassLive.1 Gca,PassDead.1 Gca,TO.1 Gca,Sh.1 Gca,Fld.1 Gca,Def.1 Gca,Matches Gca,Tkl Def,TklW Def,Def 3rd Def,Mid 3rd Def,Att 3rd Def,Tkl.1 Def,Att Def,Tkl% Def,Lost Def,Blocks Def,Sh Def,Pass Def,Int Def,Tkl+Int Def,Clr Def,Err Def,Matches Def,Touches Poss,Def Pen Poss,Def 3rd Poss,Mid 3rd Poss,Att 3rd Poss,Att Pen Poss,Live Poss,Att Poss,Succ Poss,Succ% Poss,Tkld Poss,Tkld% Poss,Carries Poss,TotDist Poss,PrgDist Poss,PrgC Poss,1/3 Poss,CPA Poss,Mis Poss,Dis Poss,Rec Poss,PrgR Poss,Matches Poss,Mn/MP Play,Min% Play,Mn/Start Play,Compl Play,Subs Play,Mn/Sub Play,unSub Play,PPM Play,onG Play,onGA Play,+/- Play,+/-90 Play,On-Off Play,onxG Play,onxGA Play,xG+/- Play,xG+/-90 Play,On-Off.1 Play,Matches Play,CrdY Misc,CrdR Misc,2CrdY Misc,Fls Misc,Fld Misc,Off Misc,Crs Misc,Int Misc,TklW Misc,PKwon Misc,PKcon Misc,OG Misc,Recov Misc,Won Misc,Lost Misc,Won% Misc,Matches Misc,League Name,League ID,Season
1209,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,26,1997,12,8,812,9.0,2,1,3,2,0,0,4,0,1.5,1.5,0.9,2.4,6,48,32,0.22,0.11,0.33,0.22,0.33,0.16,0.10,0.27,0.16,0.27,Matches,2,13,5,38.5,1.44,0.55,0.15,0.40,14.9,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches,308,384,80.2,5031,1728,163,190,85.8,109,132,82.6,26,36,72.2,1,0.9,0.7,+0.1,6,29,9,2,48,Matches,384,364,19,6,1,5,8,1,0,0,0,0,308,1,9,Matches,16,1.77,11,0,1,1,3,0,5,0.55,2,0,1,1,1,0,Matches,15,9,3,9,3,9,23,39.1,14,15,4,11,3,18,8,0,Matches,480,14,94,271,116,20,480,5,2,40.0,3,60.0,244,855,340,6,6,2,10,15,331,32,Matches,68,69.4,90,8,4,23,0,1.67,22,10,+12,+1.33,+0.07,18.5,9.7,+8.7,+0.97,+0.19,Matches,4,0,0,4,18,1,8,3,9,0,0,0,46,3,8,27.3,Matches,Big-5-European-Leagues,Big5,2023-2024
1210,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,26,1997,13,10,739,8.2,4,2,6,4,0,0,2,0,3.1,3.1,1.0,4.0,23,37,83,0.49,0.24,0.73,0.49,0.73,0.37,0.12,0.49,0.37,0.49,Matches,4,25,9,36.0,3.04,1.10,0.16,0.44,14.2,0,0,0,3.1,3.1,0.13,+0.9,+0.9,Matches,236,316,74.7,3207,895,143,169,84.6,73,93,78.5,6,23,26.1,2,1.0,1.1,+1.0,12,17,13,0,37,Matches,316,298,18,0,2,1,24,1,16,5,6,0,236,0,10,Matches,33,4.03,23,1,6,1,1,1,4,0.49,3,0,0,1,0,0,Matches,2,2,0,1,1,1,6,16.7,5,7,0,7,2,4,0,0,Matches,399,1,19,171,210,47,399,29,14,48.3,10,34.5,280,1587,777,23,17,11,26,13,329,83,Matches,57,63.2,65,0,3,29,0,1.54,12,9,+3,+0.37,-0.68,8.8,6.0,+2.8,+0.34,+0.04,Matches,2,0,0,14,10,6,24,2,2,0,0,0,34,5,11,31.3,Matches,Big-5-European-Leagues,Big5,2023-2024
1211,Noah Loosli,ch SUI,"DF,MF",Bochum,de Bundesliga,26,1997,5,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34,50,68.0,472,218,21,22,95.5,10,14,71.4,2,11,18.2,0,0.0,0.0,0.0,0,3,0,0,1,Matches,50,48,1,0,0,0,0,1,0,0,0,0,34,1,1,Matches,1,0.77,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4,3,2,2,0,4,5,80.0,1,2,0,2,2,6,10,0,Matches,68,9,40,28,1,0,68,1,1,100.0,0,0.0,36,179,75,1,0,0,0,0,32,1,Matches,23,10.8,,0,5,23,5,1.00,0,5,-5,-3.85,-3.01,0.8,3.2,-2.4,-1.82,-1.49,Matches,0,0,0,0,0,0,0,2,3,0,0,0,12,2,2,50.0,Matches,Big-5-European-Leagues,Big5,2023-2024
1212,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,33,1990,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,195,254,76.8,5328,4083,42,42,100.0,83,84,98.8,69,127,54.3,0,0.3,0.1,-0.3,1,4,0,0,0,Matches,254,179,75,17,1,0,0,0,0,0,0,0,195,0,0,Matches,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,276,222,267,9,0,0,276,0,0,,0,,179,1103,779,1,0,0,0,0,112,0,Matches,90,75.0,90,9,0,,0,0.67,7,15,-8,-0.89,+0.44,13.2,14.9,-1.7,-0.18,+1.09,Matches,0,0,0,0,1,0,0,0,0,0,0,0,13,2,0,100.0,Matches,Big-5-European-Leagues,Big5,2023-2024
1213,David López,es ESP,"DF,MF",Girona,es La Liga,34,1989,11,11,913,10.1,2,0,2,2,0,0,3,0,1.3,1.3,0.1,1.4,10,25,1,0.20,0.00,0.20,0.20,0.20,0.12,0.01,0.14,0.12,0.14,Matches,2,8,4,50.0,0.79,0.39,0.25,0.50,15.4,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches,643,708,90.8,11826,3990,216,235,91.9,376,397,94.7,42,63,66.7,0,0.1,0.3,-0.1,2,21,1,0,25,Matches,708,673,35,17,0,2,0,0,0,0,0,0,643,0,2,Matches,4,0.39,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,20,14,10,10,0,7,10,70.0,3,12,9,3,11,31,33,0,Matches,810,121,417,371,27,13,810,5,2,40.0,2,40.0,500,2837,1602,10,4,0,8,2,571,1,Matches,83,78.0,83,9,0,,0,2.55,24,12,+12,+1.18,+0.13,17.7,12.6,+5.2,+0.51,-0.56,Matches,3,0,0,9,12,0,0,11,14,0,0,0,70,14,17,45.2,Matches,Big-5-European-Leagues,Big5,2023-2024
1214,Diego López,es ESP,"FW,MF",Valencia,es La Liga,21,2002,14,12,1011,11.2,2,0,2,2,0,0,1,0,1.7,1.7,1.4,3.0,39,33,79,0.18,0.00,0.18,0.18,0.18,0.15,0.12,0.27,0.15,0.27,Matches,2,16,7,43.8,1.42,0.62,0.13,0.29,15.4,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches,221,338,65.4,3439,806,124,168,73.8,74,108,68.5,16,28,57.1,0,1.4,0.8,-1.4,18,18,8,3,33,Matches,338,317,21,2,3,2,21,14,0,0,0,0,221,0,15,Matches,34,3.03,27,0,3,0,2,2,2,0.18,2,0,0,0,0,0,Matches,19,12,4,9,6,5,20,25.0,15,9,0,9,8,27,0,0,Matches,458,2,44,210,207,40,458,30,10,33.3,17,56.7,260,1607,928,39,24,11,25,11,310,79,Matches,72,80.2,78,2,2,39,0,1.36,10,14,-4,-0.36,-1.08,11.6,10.5,+1.1,+0.10,+0.29,Matches,1,0,0,7,11,2,21,8,12,0,0,0,41,21,20,51.2,Matches,Big-5-European-Leagues,Big5,2023-2024
1215,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,9,5,429,4.8,1,0,1,1,0,0,1,0,2.2,2.2,0.2,2.4,7,21,13,0.21,0.00,0.21,0.21,0.21,0.45,0.05,0.50,0.45,0.50,Matches,1,13,8,61.5,2.73,1.68,0.08,0.13,13.8,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches,145,179,81.0,2054,413,96,106,90.6,27,34,79.4,13,20,65.0,0,0.2,0.4,-0.2,4,18,6,1,21,Matches,179,173,4,0,0,2,4,1,0,0,0,0,145,2,8,Matches,10,2.10,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,10,5,2,7,1,4,14,28.6,10,6,0,6,1,11,2,0,Matches,242,2,22,114,107,16,242,14,10,71.4,3,21.4,136,670,308,7,5,0,16,7,165,13,Matches,48,34.0,65,0,4,26,4,2.00,6,4,+2,+0.42,-0.77,7.5,5.0,+2.5,+0.53,-0.64,Matches,1,0,0,11,6,1,4,1,5,0,0,0,26,2,10,16.7,Matches,Big-5-European-Leagues,Big5,2023-2024
1216,Javi López,es ESP,"DF,MF",Alavés,es La Liga,21,2002,10,5,600,6.7,0,3,3,0,0,0,1,0,0.1,0.1,1.6,1.8,17,26,30,0.00,0.45,0.45,0.00,0.45,0.02,0.24,0.27,0.02,0.27,Matches,0,2,0,0.0,0.30,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,211,309,68.3,3614,1625,117,134,87.3,65,100,65.0,23,59,39.0,3,1.6,1.1,+1.4,7,24,9,6,26,Matches,309,240,68,6,0,2,34,62,0,0,0,0,211,1,11,Matches,14,2.10,13,0,1,0,0,0,4,0.60,3,0,1,0,0,0,Matches,6,3,1,4,1,5,7,71.4,2,4,0,4,2,8,18,0,Matches,369,22,108,148,117,13,369,16,11,68.8,4,25.0,184,1151,553,17,11,5,12,6,201,30,Matches,60,47.6,88,3,5,32,3,1.10,8,8,0,0.00,+0.68,10.2,6.7,+3.5,+0.52,+0.83,Matches,1,0,0,6,4,1,34,2,3,0,0,0,34,6,1,85.7,Matches,Big-5-European-Leagues,Big5,2023-2024
1217,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,4,1,152,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,0,3,1,33.3,1.78,0.59,0.00,0.00,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,88,103,85.4,1617,499,30,33,90.9,43,50,86.0,11,14,78.6,0,0.0,0.0,0.0,0,13,0,0,7,Matches,103,97,6,5,0,1,2,0,1,0,1,0,88,0,1,Matches,4,2.37,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,3,3,0,1,2,1,2,50.0,1,1,0,1,1,4,1,0,Matches,117,4,22,71,24,4,117,2,0,0.0,2,100.0,65,293,154,2,1,0,0,0,73,3,Matches,38,13.0,74,0,3,26,5,1.50,1,1,0,0.00,-0.27,2.7,3.9,-1.3,-0.75,-0.56,Matches,0,0,0,0,2,0,2,1,3,0,0,0,12,0,1,0.0,Matches,Big-5-European-Leagues,Big5,2023-2024
1218,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,1997,2,2,140,1.6,0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.2,2,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,124,136,91.2,2097,777,46,48,95.8,61,64,95.3,9,15,60.0,0,0.2,0.2,-0.2,3,23,2,0,18,Matches,136,134,2,2,1,1,0,0,0,0,0,0,124,0,1,Matches,5,3.21,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2,1,1,1,0,1,2,50.0,1,1,1,0,2,4,0,0,Matches,144,10,38,89,19,0,144,2,0,0.0,2,100.0,107,542,267,2,4,0,1,0,125,4,Matches,70,12.0,70,1,0,,0,0.00,0,3,-3,-1.93,-1.84,0.5,3.0,-2.4,-1.56,-1.24,Matches,0,1,0,2,2,0,0,2,1,0,0,0,10,0,1,0.0,Matches,Big-5-European-Leagues,Big5,2023-2024
