,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Yuri Berchiche,ESP,DF,34-009,1990,14.4,24,1.67,21,1,0,0,2,0,3,0.21,3,0,0,0,0,0
ESP-La Liga,2324,Athletic Club,Álex Berenguer,ESP,FW,28-230,1995,9.1,33,3.63,14,15,2,1,0,1,3,0.33,1,1,0,0,0,1
ESP-La Liga,2324,Athletic Club,Óscar de Marcos,ESP,DF,34-311,1989,15.9,32,2.01,28,3,0,0,1,0,6,0.38,6,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",32-335,1991,21.6,90,4.16,57,17,4,8,2,2,11,0.51,10,0,0,1,0,0
ESP-La Liga,2324,Atlético Madrid,Arthur Vermeeren,BEL,MF,19-012,2005,0.7,1,1.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Axel Witsel,BEL,DF,35-038,1989,21.6,12,0.56,9,1,0,2,0,0,1,0.05,1,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,César Azpilicueta,ESP,DF,34-175,1989,10.6,18,1.7,17,1,0,0,0,0,2,0.19,2,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Gabriel Paulista,BRA,DF,33-085,1990,1.0,2,2.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-043,1993,25.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Javi Galán,ESP,DF,29-092,1994,1.0,4,4.04,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,José María Giménez,URU,DF,29-030,1995,8.7,3,0.34,2,0,0,0,0,1,1,0.11,1,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Koke,ESP,MF,32-042,1992,16.5,36,2.18,34,1,0,1,0,0,8,0.48,8,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",29-020,1995,18.3,32,1.75,27,0,2,1,2,0,6,0.33,5,0,0,1,0,0
ESP-La Liga,2324,Atlético Madrid,Mario Hermoso,ESP,DF,28-246,1995,20.6,34,1.65,29,3,0,1,1,0,5,0.24,3,1,0,0,1,0
ESP-La Liga,2324,Atlético Madrid,Memphis,NED,FW,30-006,1994,6.0,17,2.84,11,0,3,1,2,0,3,0.5,2,0,0,0,1,0
ESP-La Liga,2324,Atlético Madrid,Nahuel Molina,ARG,DF,25-319,1998,14.7,39,2.66,29,6,1,0,2,1,3,0.2,3,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Pablo Barrios,ESP,MF,20-249,2003,10.6,26,2.44,23,0,1,1,0,1,2,0.19,2,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Reinildo Mandava,MOZ,DF,30-029,1994,3.5,1,0.29,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Rodrigo De Paul,ARG,MF,29-271,1994,14.8,50,3.39,45,2,2,1,0,0,7,0.47,7,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",23-323,2000,10.6,41,3.87,34,1,5,1,0,0,8,0.75,5,1,2,0,0,0
ESP-La Liga,2324,Atlético Madrid,Samuel Lino,BRA,DF,24-058,1999,13.5,44,3.25,30,1,5,2,6,0,7,0.52,6,0,0,0,1,0
ESP-La Liga,2324,Atlético Madrid,Saúl Ñíguez,ESP,MF,29-090,1994,12.4,30,2.42,27,0,2,1,0,0,6,0.48,6,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Stefan Savić,MNE,DF,33-042,1991,12.0,7,0.58,6,0,0,1,0,0,3,0.25,2,0,0,1,0,0
ESP-La Liga,2324,Atlético Madrid,Thomas Lemar,FRA,MF,28-099,1995,1.8,3,1.66,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Yannick Carrasco,BEL,DF,30-168,1993,2.5,7,2.85,4,1,1,0,1,0,1,0.41,1,0,0,0,0,0
ESP-La Liga,2324,Atlético Madrid,Álvaro Morata,ESP,FW,31-119,1992,16.3,26,1.59,17,0,5,1,3,0,8,0.49,3,0,4,0,1,0
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28-347,1995,8.6,34,3.96,23,2,6,0,1,2,8,0.93,5,0,2,0,0,1
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27-272,1996,1.3,2,1.58,2,0,0,0,0,0,1,0.79,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,MF",22-064,2001,0.8,2,2.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,DF,20-124,2003,15.3,29,1.9,26,0,2,0,1,0,4,0.26,4,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27-315,1996,14.9,19,1.28,16,0,0,2,0,1,2,0.13,1,0,0,1,0,0
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"MF,FW",21-111,2002,0.6,1,1.8,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Eric García,ESP,DF,23-041,2001,0.6,1,1.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20-284,2003,7.3,20,2.76,15,0,4,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Ferrán Torres,ESP,FW,23-355,2000,10.4,40,3.85,28,3,4,3,2,0,6,0.58,4,0,0,1,1,0
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26-283,1997,16.4,54,3.29,50,2,0,1,1,0,8,0.49,8,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",19-198,2004,10.5,27,2.57,24,0,2,0,0,1,3,0.29,3,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,17-201,2006,1.0,1,1.0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-354,1999,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32-278,1991,7.6,7,0.92,6,0,0,1,0,0,2,0.26,2,0,0,0,0,0
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29-268,1994,17.9,55,3.08,48,1,6,0,0,0,5,0.28,4,0,1,0,0,0
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,24-101,1999,11.9,45,3.79,34,0,2,7,1,1,7,0.59,3,0,2,2,0,0
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,25-099,1998,19.9,38,1.91,33,1,0,3,1,0,4,0.2,4,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16-221,2007,14.9,71,4.76,42,1,12,7,4,5,14,0.94,9,0,2,1,1,1
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,"MF,FW",18-046,2006,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-295,1992,15.0,4,0.27,4,0,0,0,0,0,1,0.07,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,33-053,1990,1.8,7,3.89,7,0,0,0,0,0,1,0.56,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,32-148,1991,8.0,14,1.74,11,0,1,2,0,0,1,0.12,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,17-028,2007,5.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",21-086,2002,11.5,48,4.16,44,0,1,0,3,0,5,0.43,5,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",27-067,1996,8.0,60,7.5,32,14,5,5,3,1,7,0.87,5,2,0,0,0,0
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,35-182,1988,20.6,45,2.18,27,0,3,9,6,0,8,0.39,6,0,0,0,2,0
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24-349,1999,15.9,13,0.82,9,0,1,3,0,0,1,0.06,0,0,0,1,0,0
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",32-012,1992,4.0,7,1.76,6,0,0,1,0,0,1,0.25,1,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,18-356,2005,1.7,3,1.75,1,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,33-118,1990,22.4,110,4.91,76,28,2,0,4,0,9,0.4,7,1,0,0,1,0
ESP-La Liga,2324,Betis,Abdessamad Ezzalzouli,MAR,FW,22-064,2001,7.5,15,2.0,9,1,3,1,1,0,2,0.27,1,1,0,0,0,0
ESP-La Liga,2324,Betis,Abner,BRA,DF,23-268,2000,12.9,13,1.01,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Aitor Ruibal,ESP,"DF,FW",27-334,1996,7.8,29,3.73,24,0,2,1,1,1,2,0.26,2,0,0,0,0,0
ESP-La Liga,2324,Betis,Andrés Guardado,MEX,MF,37-144,1986,5.0,15,3.02,12,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Assane Diao,ESP,FW,18-165,2005,11.3,21,1.85,16,0,0,4,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Ayoze Pérez,ESP,FW,30-205,1993,16.2,61,3.76,40,0,7,6,4,4,5,0.31,2,0,1,0,1,1
ESP-La Liga,2324,Betis,Borja Iglesias,ESP,FW,31-033,1993,4.5,20,4.42,17,0,0,3,0,0,1,0.22,1,0,0,0,0,0
ESP-La Liga,2324,Betis,Chadi Riad,MAR,DF,20-247,2003,12.5,6,0.48,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-312,1983,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Cédric Bakambu,COD,FW,32-314,1991,0.3,1,3.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Ezequiel Ávila,ARG,FW,30-013,1994,1.0,1,1.03,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-288,1999,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Germán Pezzella,ARG,DF,32-237,1991,23.1,12,0.52,10,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Guido Rodríguez,ARG,MF,29-313,1994,11.9,13,1.09,10,0,0,3,0,0,4,0.33,2,0,0,2,0,0
ESP-La Liga,2324,Betis,Héctor Bellerín,ESP,DF,28-337,1995,15.4,23,1.49,19,3,0,0,1,0,2,0.13,2,0,0,0,0,0
ESP-La Liga,2324,Betis,Isco,ESP,MF,31-304,1992,20.5,120,5.85,74,32,4,8,1,1,10,0.49,7,1,0,2,0,0
ESP-La Liga,2324,Betis,Johnny Cardoso,USA,MF,22-152,2001,4.8,6,1.25,4,0,0,0,1,1,3,0.62,1,0,0,0,1,1
ESP-La Liga,2324,Betis,Juan Cruz,ESP,FW,23-300,2000,0.8,5,5.92,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Juan Miranda,ESP,DF,24-031,2000,12.1,25,2.07,18,4,1,1,1,0,1,0.08,1,0,0,0,0,0
ESP-La Liga,2324,Betis,Luiz Felipe,ITA,DF,26-334,1997,4.0,2,0.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Luiz Henrique,BRA,FW,23-048,2001,6.8,30,4.38,20,0,6,4,0,0,5,0.73,3,0,2,0,0,0
ESP-La Liga,2324,Betis,Marc Bartra,ESP,DF,33-035,1991,2.5,3,1.2,2,0,0,1,0,0,1,0.4,0,0,0,1,0,0
ESP-La Liga,2324,Betis,Marc Roca,ESP,MF,27-085,1996,19.5,56,2.87,46,3,2,0,3,2,3,0.15,3,0,0,0,0,0
ESP-La Liga,2324,Betis,Nabil Fekir,FRA,"MF,FW",30-216,1993,4.5,25,5.49,20,3,1,0,1,0,1,0.22,1,0,0,0,0,0
ESP-La Liga,2324,Betis,Pablo Busto,ESP,DF,18-157,2005,0.5,1,2.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Pablo Fornals,ESP,"FW,MF",27-362,1996,2.3,14,6.18,12,1,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Paul Akouokou,CIV,MF,26-061,1997,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Ricardo Visus,ESP,DF,22-301,2001,0.8,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Betis,Rodri,ESP,"FW,MF",23-279,2000,8.7,23,2.65,15,1,2,2,3,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,30-012,1994,15.5,2,0.13,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Sergi Altimira,ESP,MF,22-178,2001,5.1,11,2.16,6,1,2,1,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Betis,Sokratis Papastathopoulos,GRE,DF,35-255,1988,6.8,3,0.44,2,0,0,1,0,0,1,0.15,1,0,0,0,0,0
ESP-La Liga,2324,Betis,William Carvalho,POR,MF,31-318,1992,3.9,9,2.31,8,0,0,1,0,0,2,0.51,1,0,0,1,0,0
ESP-La Liga,2324,Betis,Willian José,BRA,FW,32-088,1991,12.8,21,1.63,19,0,0,2,0,0,3,0.23,3,0,0,0,0,0
ESP-La Liga,2324,Betis,Youssouf Sabaly,SEN,DF,30-351,1993,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Anastasios Douvikas,GRE,FW,24-201,1999,6.6,9,1.38,5,0,1,1,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Carl Starfelt,SWE,DF,28-263,1995,16.9,4,0.24,4,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Carles Pérez,ESP,"MF,FW",26-003,1998,4.9,20,4.08,13,0,3,0,4,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Carlos Dominguez,ESP,DF,23-008,2001,11.0,7,0.64,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Carlos Dotor,ESP,MF,22-341,2001,7.7,9,1.17,7,1,0,0,1,0,1,0.13,0,0,0,0,1,0
ESP-La Liga,2324,Celta Vigo,Fran Beltrán,ESP,MF,25-016,1999,15.1,22,1.46,20,0,0,1,1,0,3,0.2,3,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Franco Cervi,ARG,"MF,DF",29-269,1994,4.8,14,2.92,11,0,0,1,1,1,1,0.21,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Gabriel Veiga,ESP,FW,21-268,2002,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Hugo Sotelo,ESP,MF,20-062,2003,3.5,10,2.82,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Hugo Álvarez,ESP,MF,20-232,2003,0.4,1,2.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Iago Aspas,ESP,FW,36-202,1987,18.9,117,6.19,73,26,5,7,6,0,8,0.42,4,2,1,1,0,0
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26-225,1997,9.3,2,0.22,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Jailson Siqueira,BRA,"MF,DF",28-165,1995,3.0,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Javier Manquillo,ESP,"MF,DF",29-290,1994,1.8,2,1.15,1,1,0,0,0,0,1,0.57,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",27-330,1996,15.6,63,4.02,53,0,6,1,3,0,3,0.19,3,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Joseph Aidoo,GHA,DF,28-143,1995,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
ESP-La Liga,2324,Celta Vigo,Jørgen Strand Larsen,NOR,FW,24-013,2000,22.0,49,2.23,32,0,5,8,4,0,7,0.32,4,0,0,1,2,0
ESP-La Liga,2324,Celta Vigo,Kevin Vázquez,ESP,DF,30-333,1993,7.0,7,1.0,5,1,0,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Luca de la Torre,USA,"MF,FW",25-272,1998,17.2,34,1.98,30,0,2,1,1,0,3,0.17,3,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Manu Sánchez,ESP,DF,23-179,2000,15.1,33,2.18,28,0,3,2,0,0,3,0.2,3,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Miguel Rodríguez,ESP,MF,20-296,2003,2.1,5,2.36,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",28-111,1995,8.5,20,2.36,11,4,2,0,2,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Renato Tapia,PER,"MF,DF",28-206,1995,12.9,24,1.85,19,0,1,2,1,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Tadeo Allende,ARG,"MF,FW",24-364,1999,1.4,3,2.08,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Unai Núñez,ESP,DF,27-020,1997,24.5,19,0.78,12,1,1,2,1,2,1,0.04,0,0,0,1,0,0
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,37-040,1987,15.7,5,0.32,3,2,0,0,0,0,1,0.06,1,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Williot Swedberg,SWE,"MF,FW",20-018,2004,1.2,4,3.4,1,0,2,1,0,0,1,0.85,0,0,1,0,0,0
ESP-La Liga,2324,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",24-282,1999,21.8,76,3.48,59,11,2,0,3,1,8,0.37,7,0,0,0,1,0
ESP-La Liga,2324,Cádiz,Brian Ocampo,URU,MF,24-239,1999,1.5,4,2.59,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Chris Ramos,ESP,"FW,MF",27-032,1997,21.2,29,1.37,12,0,5,5,6,1,1,0.05,0,0,0,0,1,0
ESP-La Liga,2324,Cádiz,Darwin Machís,VEN,MF,31-012,1993,8.2,19,2.31,11,6,0,1,1,0,1,0.12,1,0,0,0,0,0
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,30-039,1994,3.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Diadie Samassékou,MLI,MF,28-039,1996,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Fali,ESP,DF,30-191,1993,21.6,12,0.56,11,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Fede San Emeterio,ESP,MF,26-340,1997,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Gonzalo Escalante,ARG,MF,30-329,1993,12.8,11,0.86,8,0,0,1,0,2,2,0.16,2,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Isaac Carcelen,ESP,DF,30-302,1993,20.4,28,1.37,20,5,1,1,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Iván Alejo,ESP,MF,29-009,1995,17.1,29,1.69,21,2,0,0,6,0,5,0.29,3,0,0,0,2,0
ESP-La Liga,2324,Cádiz,Javi Hernández,ESP,DF,25-293,1998,16.5,31,1.87,16,12,1,0,1,1,3,0.18,1,2,0,0,0,0
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,31-006,1993,21.9,4,0.18,1,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Jorge Meré,ESP,DF,26-308,1997,5.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Joseba Zaldúa,ESP,"DF,MF",31-240,1992,3.6,1,0.28,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,José Mari,ESP,"MF,FW",36-075,1987,0.2,4,25.71,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Juanmi,ESP,FW,30-275,1993,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Karl Etta,CMR,FW,20-049,2004,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Lucas,BRA,DF,22-332,2001,13.7,32,2.33,23,7,0,1,0,1,1,0.07,0,0,0,0,0,1
ESP-La Liga,2324,Cádiz,Luis Hernández,ESP,DF,34-311,1989,8.0,17,2.12,9,8,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Mamadou Mbaye,SEN,DF,25-236,1998,3.2,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,27-189,1996,8.3,12,1.44,7,0,0,1,4,0,1,0.12,0,0,0,1,0,0
ESP-La Liga,2324,Cádiz,Milutin Osmajić,MNE,MF,24-209,1999,0.1,3,54.0,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Moussa Diakité,MLI,MF,20-107,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Roberto Navarro,ESP,MF,21-313,2002,9.5,46,4.86,27,6,6,3,4,0,1,0.11,0,1,0,0,0,0
ESP-La Liga,2324,Cádiz,Roger Martí,ESP,FW,33-047,1991,11.6,26,2.24,16,0,0,4,4,2,3,0.26,3,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Rominigue Kouamé,MLI,MF,27-064,1996,5.8,7,1.22,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32-294,1991,21.8,37,1.7,26,6,0,2,1,2,4,0.18,2,0,0,2,0,0
ESP-La Liga,2324,Cádiz,Rubén Sobrino,ESP,"MF,FW",31-263,1992,9.8,15,1.54,13,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Sergi Guardiola,ESP,"FW,MF",32-266,1991,3.6,9,2.52,6,0,0,1,2,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Víctor Chust,ESP,DF,23-351,2000,9.0,4,0.44,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Álex Fernández,ESP,"MF,FW",31-127,1992,9.8,11,1.13,8,1,0,2,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Cádiz,Álvaro Negredo,ESP,"FW,MF",38-183,1985,0.6,3,5.0,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Anthony Lozano,HON,"MF,FW",30-300,1993,1.0,2,1.94,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Borja Mayoral,ESP,FW,26-320,1997,22.1,49,2.22,38,0,7,1,3,0,6,0.27,2,0,3,0,1,0
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,"MF,FW",26-045,1998,8.5,27,3.16,15,10,0,0,1,1,2,0.23,1,1,0,0,0,0
ESP-La Liga,2324,Getafe,Carmona,ESP,"MF,DF",22-021,2002,7.0,13,1.85,9,1,0,2,0,1,1,0.14,1,0,0,0,0,0
ESP-La Liga,2324,Getafe,Damián Suárez,URU,DF,35-298,1988,14.4,33,2.28,28,5,0,0,0,0,4,0.28,3,1,0,0,0,0
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30-321,1993,25.0,5,0.2,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,30-361,1993,19.3,42,2.17,33,7,0,0,1,1,4,0.21,4,0,0,0,0,0
ESP-La Liga,2324,Getafe,Djené,TOG,"DF,MF",32-050,1991,18.0,13,0.72,11,0,1,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28-346,1995,9.1,3,0.33,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Enes Ünal,TUR,"FW,MF",26-285,1997,1.6,5,3.21,4,0,0,0,1,0,1,0.64,1,0,0,0,0,0
ESP-La Liga,2324,Getafe,Fabrizio Angileri,ARG,"DF,MF",29-341,1994,1.1,4,3.6,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Gastón Álvarez,URU,DF,23-332,2000,18.7,15,0.8,11,1,0,3,0,0,1,0.05,1,0,0,0,0,0
ESP-La Liga,2324,Getafe,Gorka Rivera Alonso,ESP,DF,19-202,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Iglesias,ESP,"DF,FW",25-231,1998,11.5,21,1.83,15,4,1,0,0,1,2,0.17,2,0,0,0,0,0
ESP-La Liga,2324,Getafe,Ilaix Moriba,GUI,MF,21-031,2003,0.4,3,7.71,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0
ESP-La Liga,2324,Getafe,Jaime Mata,ESP,"FW,MF",35-118,1988,11.9,23,1.93,18,0,1,4,0,0,4,0.34,2,0,0,2,0,0
ESP-La Liga,2324,Getafe,Jesús Santiago,ESP,MF,19-270,2004,1.7,3,1.78,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
