,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Manchester Utd,Victor Lindelöf,SWE,DF,29-217,1994,11.0,14,1.27,14,0,0,0,0,0,3,0.27,3,0,0,0,0,0
ENG-Premier League,2324,Manchester Utd,Willy Kambwala,FRA,DF,19-178,2004,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Alex Murphy,IRL,"FW,DF",19-239,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Alexander Isak,SWE,FW,24-151,1999,13.1,34,2.59,20,0,7,5,2,0,2,0.15,0,0,1,0,1,0
ENG-Premier League,2324,Newcastle Utd,Amadou Diallo,ENG,MF,21-004,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Anthony Gordon,ENG,FW,22-360,2001,21.9,81,3.7,57,0,6,8,8,2,14,0.64,6,0,3,3,2,0
ENG-Premier League,2324,Newcastle Utd,Ben Parkinson,ENG,FW,18-346,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Bruno Guimarães,BRA,MF,26-095,1997,23.6,73,3.1,56,2,8,1,3,3,11,0.47,7,0,3,0,1,0
ENG-Premier League,2324,Newcastle Utd,Callum Wilson,ENG,FW,31-357,1992,9.6,18,1.88,8,0,4,5,1,0,4,0.42,2,0,1,1,0,0
ENG-Premier League,2324,Newcastle Utd,Dan Burn,ENG,DF,31-286,1992,18.3,15,0.82,13,0,0,2,0,0,2,0.11,1,0,0,1,0,0
ENG-Premier League,2324,Newcastle Utd,Elliot Anderson,SCO,"MF,FW",21-105,2002,4.6,14,3.07,13,0,1,0,0,0,1,0.22,1,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Emil Krafth,SWE,DF,29-201,1994,1.0,7,7.33,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Fabian Schär,SUI,DF,32-061,1991,24.1,37,1.53,25,1,2,3,5,1,9,0.37,5,0,0,0,3,1
ENG-Premier League,2324,Newcastle Utd,Harvey Barnes,ENG,FW,26-072,1997,3.5,8,2.31,5,0,2,0,1,0,2,0.58,1,0,1,0,0,0
ENG-Premier League,2324,Newcastle Utd,Jacob Murphy,ENG,FW,28-360,1995,3.6,15,4.14,9,0,2,3,1,0,4,1.1,3,0,1,0,0,0
ENG-Premier League,2324,Newcastle Utd,Jamaal Lascelles,ENG,DF,30-100,1993,11.6,8,0.69,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Joe White,ENG,MF,21-141,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Joe Willock,ENG,"MF,FW",24-183,1999,1.5,4,2.63,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Joelinton,BRA,"MF,FW",27-189,1996,12.6,39,3.1,30,0,6,3,0,0,3,0.24,2,0,0,1,0,0
ENG-Premier League,2324,Newcastle Utd,Kieran Trippier,ENG,DF,33-153,1990,22.5,97,4.32,65,27,1,0,2,2,11,0.49,7,3,0,0,0,1
ENG-Premier League,2324,Newcastle Utd,Lewis Hall,ENG,DF,19-164,2004,1.2,2,1.61,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Lewis Miley,ENG,MF,17-294,2006,12.0,30,2.5,23,0,2,3,0,2,5,0.42,4,0,0,0,0,1
ENG-Premier League,2324,Newcastle Utd,Martin Dúbravka,SVK,GK,35-035,1989,11.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Newcastle Utd,Matt Ritchie,SCO,FW,34-162,1989,1.2,2,1.65,2,0,0,0,0,0,1,0.83,1,0,0,0,0,0
