,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Athletic Club,Óscar de Marcos,ESP,DF,34-311,1989,15.9,808,1019,79.3,13297,5357,406,456,89.0,315,387,81.4,65,121,53.7,4,2.6,2.6,1.4,14,81,20,15,101
ESP-La Liga,2324,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",32-335,1991,21.6,797,1030,77.4,12450,3169,452,509,88.8,221,294,75.2,79,136,58.1,6,4.9,4.7,1.1,35,67,24,2,91
ESP-La Liga,2324,Atlético Madrid,Arthur Vermeeren,BEL,MF,19-012,2005,0.7,27,39,69.2,395,30,17,21,81.0,9,11,81.8,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,2
ESP-La Liga,2324,Atlético Madrid,Axel Witsel,BEL,DF,35-038,1989,21.6,1268,1366,92.8,21793,8282,545,573,95.1,621,659,94.2,78,98,79.6,0,0.3,0.2,-0.3,2,51,0,0,62
ESP-La Liga,2324,Atlético Madrid,César Azpilicueta,ESP,DF,34-175,1989,10.6,617,729,84.6,9083,3615,356,381,93.4,209,240,87.1,32,69,46.4,1,2.0,1.5,-1.0,9,57,9,0,53
ESP-La Liga,2324,Atlético Madrid,Gabriel Paulista,BRA,DF,33-085,1990,1.0,59,64,92.2,978,536,27,27,100.0,30,33,90.9,2,4,50.0,0,0.1,0.0,-0.1,2,0,0,0,2
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,31-043,1993,25.0,515,684,75.3,13322,9790,100,100,100.0,273,278,98.2,140,302,46.4,0,0.0,0.0,0.0,0,4,0,0,0
ESP-La Liga,2324,Atlético Madrid,Javi Galán,ESP,DF,29-092,1994,1.0,45,60,75.0,666,154,24,28,85.7,19,24,79.2,1,5,20.0,0,0.1,0.1,-0.1,2,0,2,1,4
ESP-La Liga,2324,Atlético Madrid,José María Giménez,URU,DF,29-030,1995,8.7,326,389,83.8,6442,2823,114,129,88.4,168,185,90.8,41,63,65.1,0,0.1,0.0,-0.1,2,20,0,0,19
ESP-La Liga,2324,Atlético Madrid,Koke,ESP,MF,32-042,1992,16.5,1294,1426,90.7,20408,6422,707,737,95.9,427,464,92.0,106,145,73.1,3,1.8,2.0,1.2,14,119,25,1,127
ESP-La Liga,2324,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",29-020,1995,18.3,612,771,79.4,8460,2227,376,419,89.7,182,226,80.5,22,41,53.7,3,4.3,3.4,-1.3,17,37,25,9,68
ESP-La Liga,2324,Atlético Madrid,Mario Hermoso,ESP,DF,28-246,1995,20.6,1230,1433,85.8,21199,7707,609,644,94.6,484,542,89.3,109,192,56.8,1,0.7,0.8,0.3,13,116,16,6,128
ESP-La Liga,2324,Atlético Madrid,Memphis,NED,FW,30-006,1994,6.0,107,153,69.9,1502,380,65,87,74.7,31,40,77.5,6,7,85.7,1,1.2,1.0,-0.2,6,9,6,0,19
ESP-La Liga,2324,Atlético Madrid,Nahuel Molina,ARG,DF,25-319,1998,14.7,705,949,74.3,10618,3882,427,480,89.0,207,287,72.1,48,109,44.0,2,2.4,1.6,-0.4,13,37,24,11,51
ESP-La Liga,2324,Atlético Madrid,Pablo Barrios,ESP,MF,20-249,2003,10.6,466,559,83.4,7273,2184,260,298,87.2,168,190,88.4,30,43,69.8,1,1.6,0.8,-0.6,9,55,12,0,63
ESP-La Liga,2324,Atlético Madrid,Reinildo Mandava,MOZ,DF,30-029,1994,3.5,159,181,87.8,2391,931,79,88,89.8,67,77,87.0,7,10,70.0,0,0.0,0.0,0.0,0,12,0,0,15
ESP-La Liga,2324,Atlético Madrid,Rodrigo De Paul,ARG,MF,29-271,1994,14.8,903,1075,84.0,14709,4618,458,500,91.6,317,370,85.7,88,126,69.8,4,3.9,4.1,0.1,28,89,43,6,134
ESP-La Liga,2324,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",23-323,2000,10.6,337,429,78.6,4558,1377,208,241,86.3,88,109,80.7,19,31,61.3,4,2.4,3.0,1.6,16,15,19,6,36
ESP-La Liga,2324,Atlético Madrid,Samuel Lino,BRA,DF,24-058,1999,13.5,478,598,79.9,6569,1552,308,349,88.3,124,155,80.0,25,39,64.1,2,3.0,2.2,-1.0,20,21,22,3,47
ESP-La Liga,2324,Atlético Madrid,Saúl Ñíguez,ESP,MF,29-090,1994,12.4,457,567,80.6,6308,1438,285,324,88.0,129,156,82.7,20,41,48.8,4,3.1,2.0,0.9,13,39,8,5,27
ESP-La Liga,2324,Atlético Madrid,Stefan Savić,MNE,DF,33-042,1991,12.0,540,643,84.0,9366,3889,238,257,92.6,245,278,88.1,45,82,54.9,0,0.1,0.5,-0.1,1,39,5,1,48
ESP-La Liga,2324,Atlético Madrid,Thomas Lemar,FRA,MF,28-099,1995,1.8,71,84,84.5,1019,285,41,46,89.1,25,29,86.2,2,6,33.3,0,0.0,0.1,0.0,1,10,1,0,13
ESP-La Liga,2324,Atlético Madrid,Yannick Carrasco,BEL,DF,30-168,1993,2.5,65,88,73.9,1021,236,42,49,85.7,13,20,65.0,8,12,66.7,1,0.2,0.2,0.8,4,2,3,1,6
ESP-La Liga,2324,Atlético Madrid,Álvaro Morata,ESP,FW,31-119,1992,16.3,197,278,70.9,2790,527,118,150,78.7,51,71,71.8,14,23,60.9,1,0.5,0.5,0.5,7,11,5,0,18
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28-347,1995,8.6,220,292,75.3,2866,712,142,171,83.0,47,59,79.7,14,28,50.0,2,2.1,2.5,-0.1,18,19,14,1,39
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27-272,1996,1.3,71,81,87.7,1249,407,29,31,93.5,39,43,90.7,2,5,40.0,0,0.0,0.0,0.0,0,4,1,0,6
ESP-La Liga,2324,Barcelona,Abdessamad Ezzalzouli,MAR,"FW,MF",22-064,2001,0.8,23,37,62.2,289,83,18,23,78.3,4,8,50.0,1,4,25.0,0,0.1,0.0,-0.1,2,0,2,1,1
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,DF,20-124,2003,15.3,694,817,84.9,9879,2231,430,473,90.9,229,264,86.7,22,42,52.4,1,1.2,1.5,-0.2,13,26,20,7,41
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27-315,1996,14.9,1130,1183,95.5,19643,7083,488,506,96.4,558,567,98.4,70,86,81.4,1,0.6,0.4,0.4,4,91,0,0,90
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"MF,FW",21-111,2002,0.6,24,28,85.7,322,87,15,15,100.0,7,9,77.8,1,1,100.0,0,0.0,0.1,0.0,0,2,1,0,4
ESP-La Liga,2324,Barcelona,Eric García,ESP,DF,23-041,2001,0.6,46,48,95.8,802,308,22,23,95.7,21,21,100.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,5
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20-284,2003,7.3,239,293,81.6,3342,649,159,172,92.4,51,66,77.3,17,28,60.7,0,0.4,0.5,-0.4,7,24,7,1,32
ESP-La Liga,2324,Barcelona,Ferrán Torres,ESP,FW,23-355,2000,10.4,280,365,76.7,4121,901,166,200,83.0,77,100,77.0,23,30,76.7,2,2.2,1.5,-0.2,20,22,15,1,34
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26-283,1997,16.4,1445,1568,92.2,22014,6734,826,856,96.5,515,562,91.6,75,96,78.1,0,1.9,4.6,-1.9,17,182,31,7,159
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",19-198,2004,10.5,489,541,90.4,7119,1400,297,315,94.3,146,165,88.5,28,35,80.0,1,1.1,1.4,-0.1,11,37,8,2,39
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,17-201,2006,1.0,52,59,88.1,639,84,41,43,95.3,9,13,69.2,2,3,66.7,1,0.2,0.2,0.8,1,1,0,0,0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24-354,1999,10.0,259,297,87.2,5660,3681,76,76,100.0,145,146,99.3,37,74,50.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32-278,1991,7.6,531,608,87.3,10204,3535,212,227,93.4,247,268,92.2,64,93,68.8,0,0.0,0.3,0.0,0,44,3,1,41
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29-268,1994,17.9,1021,1249,81.7,16448,4576,568,618,91.9,359,437,82.2,73,129,56.6,3,4.7,4.7,-1.7,26,92,26,7,97
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,24-101,1999,11.9,363,449,80.8,4946,1030,238,264,90.2,96,122,78.7,14,28,50.0,2,2.6,2.1,-0.6,14,20,17,1,52
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,25-099,1998,19.9,1507,1659,90.8,25540,8233,704,739,95.3,688,733,93.9,98,143,68.5,1,1.0,1.5,0.0,12,167,10,4,145
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,FW,16-221,2007,14.9,505,641,78.8,7287,1783,310,355,87.3,160,208,76.9,23,37,62.2,3,4.5,4.7,-1.5,22,20,38,13,50
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,"MF,FW",18-046,2006,0.2,1,1,100.0,5,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31-295,1992,15.0,455,500,91.0,11037,8063,97,97,100.0,234,241,97.1,123,158,77.8,0,0.0,0.0,0.0,0,3,0,0,1
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,33-053,1990,1.8,122,141,86.5,1823,385,66,72,91.7,46,54,85.2,4,7,57.1,0,0.5,0.3,-0.5,4,6,3,1,9
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,32-148,1991,8.0,575,645,89.1,9150,2158,300,319,94.0,230,252,91.3,33,50,66.0,1,0.8,0.8,0.2,7,64,8,1,56
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,17-028,2007,5.3,436,477,91.4,7939,2503,168,180,93.3,222,232,95.7,42,55,76.4,0,0.0,0.1,0.0,0,31,0,0,28
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",21-086,2002,11.5,666,777,85.7,11420,2571,296,339,87.3,291,315,92.4,61,75,81.3,2,3.8,3.5,-1.8,28,51,25,4,90
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",27-067,1996,8.0,309,412,75.0,5430,1535,161,192,83.9,97,119,81.5,45,78,57.7,5,4.0,3.8,1.0,26,25,22,5,36
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,35-182,1988,20.6,273,394,69.3,3678,692,167,215,77.7,80,112,71.4,10,18,55.6,5,2.9,1.6,2.1,18,17,15,1,43
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24-349,1999,15.9,1028,1163,88.4,19248,7115,406,433,93.8,523,561,93.2,95,151,62.9,0,0.7,1.4,-0.7,4,99,6,1,85
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",32-012,1992,4.0,199,224,88.8,2871,659,123,131,93.9,59,65,90.8,12,15,80.0,1,0.3,0.3,0.7,4,20,2,1,16
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,18-356,2005,1.7,22,31,71.0,293,32,16,20,80.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,0
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,33-118,1990,22.4,1395,1649,84.6,22472,5872,726,794,91.4,538,595,90.4,101,195,51.8,6,7.9,7.4,-1.9,67,133,34,4,143
ESP-La Liga,2324,Betis,Abdessamad Ezzalzouli,MAR,FW,22-064,2001,7.5,176,268,65.7,2136,594,117,154,76.0,43,66,65.2,3,12,25.0,0,0.2,0.4,-0.2,2,8,7,1,20
ESP-La Liga,2324,Betis,Abner,BRA,DF,23-268,2000,12.9,523,676,77.4,7774,3812,299,334,89.5,171,223,76.7,30,66,45.5,0,0.6,1.0,-0.6,7,17,7,2,28
ESP-La Liga,2324,Betis,Aitor Ruibal,ESP,"DF,FW",27-334,1996,7.8,297,386,76.9,4904,1856,165,185,89.2,101,127,79.5,26,49,53.1,1,1.2,0.5,-0.2,10,27,11,3,42
ESP-La Liga,2324,Betis,Andrés Guardado,MEX,MF,37-144,1986,5.0,253,298,84.9,4959,1540,101,108,93.5,102,115,88.7,42,58,72.4,0,0.2,0.3,-0.2,5,34,5,1,36
ESP-La Liga,2324,Betis,Assane Diao,ESP,FW,18-165,2005,11.3,185,248,74.6,2129,366,129,153,84.3,31,42,73.8,7,9,77.8,0,0.6,0.8,-0.6,9,4,5,1,18
ESP-La Liga,2324,Betis,Ayoze Pérez,ESP,FW,30-205,1993,16.2,329,429,76.7,4031,1191,215,245,87.8,82,104,78.8,6,13,46.2,1,3.0,2.1,-2.0,22,30,11,0,43
ESP-La Liga,2324,Betis,Borja Iglesias,ESP,FW,31-033,1993,4.5,83,101,82.2,1129,179,57,66,86.4,20,23,87.0,4,6,66.7,1,0.9,0.7,0.1,11,2,6,0,12
ESP-La Liga,2324,Betis,Chadi Riad,MAR,DF,20-247,2003,12.5,508,576,88.2,8785,2639,216,234,92.3,252,266,94.7,28,60,46.7,0,0.1,0.2,-0.1,1,6,0,0,13
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40-312,1983,7.0,186,230,80.9,4988,3322,42,42,100.0,86,86,100.0,56,99,56.6,0,0.0,0.1,0.0,1,3,2,0,1
ESP-La Liga,2324,Betis,Cédric Bakambu,COD,FW,32-314,1991,0.3,4,5,80.0,40,7,1,1,100.0,1,2,50.0,0,0,,0,0.1,0.2,-0.1,1,0,0,0,1
ESP-La Liga,2324,Betis,Ezequiel Ávila,ARG,FW,30-013,1994,1.0,8,17,47.1,102,14,3,3,100.0,1,6,16.7,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-288,1999,2.5,54,84,64.3,1555,1025,7,7,100.0,28,30,93.3,18,44,40.9,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2324,Betis,Germán Pezzella,ARG,DF,32-237,1991,23.1,918,1075,85.4,16923,6164,334,361,92.5,507,569,89.1,67,122,54.9,0,0.3,0.2,-0.3,4,37,4,1,48
ESP-La Liga,2324,Betis,Guido Rodríguez,ARG,MF,29-313,1994,11.9,485,560,86.6,8583,2736,217,234,92.7,189,213,88.7,56,76,73.7,0,0.7,0.7,-0.7,3,41,1,0,35
ESP-La Liga,2324,Betis,Héctor Bellerín,ESP,DF,28-337,1995,15.4,619,802,77.2,9456,4097,330,381,86.6,245,315,77.8,26,64,40.6,0,1.1,1.0,-1.1,12,42,13,3,69
ESP-La Liga,2324,Betis,Isco,ESP,MF,31-304,1992,20.5,925,1166,79.3,14868,4640,499,552,90.4,282,336,83.9,102,187,54.5,3,5.6,5.4,-2.6,68,97,47,7,163
ESP-La Liga,2324,Betis,Johnny Cardoso,USA,MF,22-152,2001,4.8,163,188,86.7,2493,629,84,95,88.4,63,71,88.7,9,12,75.0,1,0.2,0.7,0.8,2,11,3,0,15
ESP-La Liga,2324,Betis,Juan Cruz,ESP,FW,23-300,2000,0.8,15,20,75.0,187,49,13,15,86.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,1,0,3,0,3
ESP-La Liga,2324,Betis,Juan Miranda,ESP,DF,24-031,2000,12.1,529,661,80.0,8858,4229,245,269,91.1,221,282,78.4,48,78,61.5,1,1.3,1.6,-0.3,13,39,12,4,60
ESP-La Liga,2324,Betis,Luiz Felipe,ITA,DF,26-334,1997,4.0,151,169,89.3,2591,996,59,62,95.2,78,86,90.7,9,14,64.3,0,0.2,0.2,-0.2,1,4,0,0,4
ESP-La Liga,2324,Betis,Luiz Henrique,BRA,FW,23-048,2001,6.8,146,211,69.2,2292,489,78,101,77.2,46,62,74.2,13,24,54.2,3,1.6,1.5,1.4,11,10,10,6,17
ESP-La Liga,2324,Betis,Marc Bartra,ESP,DF,33-035,1991,2.5,101,118,85.6,1910,620,39,42,92.9,48,52,92.3,13,21,61.9,0,0.0,0.0,0.0,0,5,0,0,5
ESP-La Liga,2324,Betis,Marc Roca,ESP,MF,27-085,1996,19.5,879,1058,83.1,15166,5045,411,457,89.9,347,400,86.8,87,145,60.0,2,1.3,1.6,0.7,18,106,16,0,111
ESP-La Liga,2324,Betis,Nabil Fekir,FRA,"MF,FW",30-216,1993,4.5,185,231,80.1,2302,827,116,134,86.6,40,46,87.0,9,20,45.0,1,0.8,1.0,0.2,11,21,10,1,26
ESP-La Liga,2324,Betis,Pablo Busto,ESP,DF,18-157,2005,0.5,11,16,68.8,166,66,7,9,77.8,3,4,75.0,1,2,50.0,0,0.2,0.1,-0.2,1,1,1,0,1
ESP-La Liga,2324,Betis,Pablo Fornals,ESP,"FW,MF",27-362,1996,2.3,108,136,79.4,1726,496,55,64,85.9,38,47,80.9,9,16,56.3,0,0.5,0.7,-0.5,7,8,7,2,19
ESP-La Liga,2324,Betis,Paul Akouokou,CIV,MF,26-061,1997,0.3,16,17,94.1,280,65,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2324,Betis,Ricardo Visus,ESP,DF,22-301,2001,0.8,,,,,,,,,,,,,,,0,,,,,,,,
ESP-La Liga,2324,Betis,Rodri,ESP,"FW,MF",23-279,2000,8.7,325,404,80.4,4908,1376,186,202,92.1,103,129,79.8,22,38,57.9,0,0.6,1.7,-0.6,9,25,25,4,52
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,30-012,1994,15.5,388,563,68.9,10522,7485,74,74,100.0,189,190,99.5,123,294,41.8,0,0.0,0.0,0.0,0,2,0,0,0
ESP-La Liga,2324,Betis,Sergi Altimira,ESP,MF,22-178,2001,5.1,225,247,91.1,3602,906,115,122,94.3,81,85,95.3,22,28,78.6,0,0.2,0.3,-0.2,3,22,2,0,27
ESP-La Liga,2324,Betis,Sokratis Papastathopoulos,GRE,DF,35-255,1988,6.8,260,292,89.0,4656,1688,107,112,95.5,132,142,93.0,20,32,62.5,0,0.0,0.1,0.0,1,3,0,0,7
ESP-La Liga,2324,Betis,William Carvalho,POR,MF,31-318,1992,3.9,296,339,87.3,4339,1425,180,195,92.3,87,99,87.9,16,25,64.0,2,0.2,0.2,1.8,4,40,4,0,31
ESP-La Liga,2324,Betis,Willian José,BRA,FW,32-088,1991,12.8,240,307,78.2,3251,463,141,166,84.9,65,82,79.3,12,17,70.6,2,1.0,0.7,1.0,14,9,4,1,21
ESP-La Liga,2324,Betis,Youssouf Sabaly,SEN,DF,30-351,1993,3.0,133,158,84.2,1861,637,77,86,89.5,47,52,90.4,4,8,50.0,1,0.3,0.4,0.7,2,13,0,0,14
ESP-La Liga,2324,Celta Vigo,Anastasios Douvikas,GRE,FW,24-201,1999,6.6,69,110,62.7,826,118,43,60,71.7,16,29,55.2,2,2,100.0,0,0.2,0.2,-0.2,3,5,2,0,8
ESP-La Liga,2324,Celta Vigo,Carl Starfelt,SWE,DF,28-263,1995,16.9,544,628,86.6,10107,3781,197,215,91.6,305,335,91.0,38,65,58.5,0,0.1,0.1,-0.1,1,24,0,0,26
ESP-La Liga,2324,Celta Vigo,Carles Pérez,ESP,"MF,FW",26-003,1998,4.9,94,128,73.4,1293,224,55,66,83.3,29,35,82.9,5,14,35.7,0,0.7,0.6,-0.7,8,5,5,1,8
ESP-La Liga,2324,Celta Vigo,Carlos Dominguez,ESP,DF,23-008,2001,11.0,344,455,75.6,6253,2677,145,171,84.8,162,192,84.4,30,70,42.9,0,0.1,0.2,-0.1,3,41,2,0,32
ESP-La Liga,2324,Celta Vigo,Carlos Dotor,ESP,MF,22-341,2001,7.7,277,338,82.0,4058,959,163,181,90.1,87,108,80.6,14,23,60.9,0,0.1,0.3,-0.1,1,26,3,1,29
ESP-La Liga,2324,Celta Vigo,Fran Beltrán,ESP,MF,25-016,1999,15.1,540,647,83.5,8666,2559,263,300,87.7,225,255,88.2,33,55,60.0,0,0.1,0.6,-0.1,4,58,5,1,54
ESP-La Liga,2324,Celta Vigo,Franco Cervi,ARG,"MF,DF",29-269,1994,4.8,144,193,74.6,2294,989,80,92,87.0,51,65,78.5,9,15,60.0,0,0.7,1.1,-0.7,7,12,4,0,18
ESP-La Liga,2324,Celta Vigo,Gabriel Veiga,ESP,FW,21-268,2002,0.2,3,5,60.0,16,8,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2324,Celta Vigo,Hugo Sotelo,ESP,MF,20-062,2003,3.5,219,257,85.2,3404,923,133,138,96.4,71,83,85.5,14,27,51.9,0,0.1,0.3,-0.1,4,23,4,1,24
ESP-La Liga,2324,Celta Vigo,Hugo Álvarez,ESP,MF,20-232,2003,0.4,26,30,86.7,400,116,13,14,92.9,12,14,85.7,1,1,100.0,0,0.1,0.1,-0.1,1,3,2,1,3
ESP-La Liga,2324,Celta Vigo,Iago Aspas,ESP,FW,36-202,1987,18.9,573,807,71.0,9432,2902,287,358,80.2,188,252,74.6,66,138,47.8,5,6.2,6.1,-1.2,64,56,29,3,88
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26-225,1997,9.3,160,264,60.6,4795,3659,23,23,100.0,82,82,100.0,55,157,35.0,0,0.1,0.0,-0.1,1,4,0,0,0
ESP-La Liga,2324,Celta Vigo,Jailson Siqueira,BRA,"MF,DF",28-165,1995,3.0,64,89,71.9,957,398,31,37,83.8,24,31,77.4,4,12,33.3,1,0.4,0.1,0.6,1,7,1,1,11
ESP-La Liga,2324,Celta Vigo,Javier Manquillo,ESP,"MF,DF",29-290,1994,1.8,40,60,66.7,538,287,21,28,75.0,15,25,60.0,0,1,0.0,1,0.2,0.3,0.8,1,3,1,0,4
ESP-La Liga,2324,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",27-330,1996,15.6,398,527,75.5,4971,1410,278,316,88.0,88,125,70.4,10,24,41.7,1,3.1,2.4,-2.1,26,18,24,9,48
ESP-La Liga,2324,Celta Vigo,Joseph Aidoo,GHA,DF,28-143,1995,4.5,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12
ESP-La Liga,2324,Celta Vigo,Jørgen Strand Larsen,NOR,FW,24-013,2000,22.0,287,417,68.8,3490,557,202,262,77.1,52,81,64.2,12,14,85.7,2,1.8,1.4,0.2,18,15,11,2,19
ESP-La Liga,2324,Celta Vigo,Kevin Vázquez,ESP,DF,30-333,1993,7.0,234,315,74.3,3648,1529,125,146,85.6,95,118,80.5,12,28,42.9,0,0.2,0.4,-0.2,3,17,6,3,24
ESP-La Liga,2324,Celta Vigo,Luca de la Torre,USA,"MF,FW",25-272,1998,17.2,465,577,80.6,5893,1610,299,334,89.5,133,157,84.7,8,19,42.1,3,1.2,1.3,1.8,14,45,4,0,75
ESP-La Liga,2324,Celta Vigo,Manu Sánchez,ESP,DF,23-179,2000,15.1,516,676,76.3,7875,3418,293,336,87.2,185,229,80.8,26,64,40.6,3,2.2,2.6,0.8,16,43,21,11,64
ESP-La Liga,2324,Celta Vigo,Miguel Rodríguez,ESP,MF,20-296,2003,2.1,50,73,68.5,597,169,34,40,85.0,8,18,44.4,1,5,20.0,0,0.2,0.1,-0.2,2,3,3,0,6
ESP-La Liga,2324,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",28-111,1995,8.5,335,471,71.1,5203,2216,182,209,87.1,126,159,79.2,19,66,28.8,0,0.1,0.5,-0.1,6,28,3,3,28
ESP-La Liga,2324,Celta Vigo,Renato Tapia,PER,"MF,DF",28-206,1995,12.9,459,608,75.5,8269,3156,215,244,88.1,170,209,81.3,62,116,53.4,0,0.6,0.6,-0.6,5,52,5,1,50
ESP-La Liga,2324,Celta Vigo,Tadeo Allende,ARG,"MF,FW",24-364,1999,1.4,22,43,51.2,394,179,12,16,75.0,5,11,45.5,3,5,60.0,0,0.2,0.1,-0.2,1,1,2,1,4
ESP-La Liga,2324,Celta Vigo,Unai Núñez,ESP,DF,27-020,1997,24.5,943,1225,77.0,19256,7938,297,346,85.8,516,595,86.7,122,250,48.8,0,0.7,0.8,-0.7,7,71,2,0,83
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,37-040,1987,15.7,279,437,63.8,9359,7236,21,22,95.5,130,131,99.2,128,282,45.4,0,0.0,0.0,0.0,0,6,0,0,0
ESP-La Liga,2324,Celta Vigo,Williot Swedberg,SWE,"MF,FW",20-018,2004,1.2,23,33,69.7,340,92,10,15,66.7,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
ESP-La Liga,2324,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",24-282,1999,21.8,806,1135,71.0,13094,6837,435,503,86.5,272,378,72.0,74,174,42.5,2,2.4,4.1,-0.4,35,100,31,12,101
ESP-La Liga,2324,Cádiz,Brian Ocampo,URU,MF,24-239,1999,1.5,48,72,66.7,827,192,27,35,77.1,8,10,80.0,10,15,66.7,0,0.0,0.1,0.0,1,3,4,2,3
ESP-La Liga,2324,Cádiz,Chris Ramos,ESP,"FW,MF",27-032,1997,21.2,200,354,56.5,2530,479,129,199,64.8,50,94,53.2,6,13,46.2,1,1.0,0.9,0.0,9,11,4,1,21
ESP-La Liga,2324,Cádiz,Darwin Machís,VEN,MF,31-012,1993,8.2,162,254,63.8,2881,905,80,92,87.0,58,88,65.9,20,52,38.5,0,0.6,0.9,-0.6,9,12,6,5,14
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,30-039,1994,3.1,54,112,48.2,2734,2545,1,1,100.0,7,7,100.0,45,103,43.7,0,0.0,0.0,0.0,0,1,0,0,0
ESP-La Liga,2324,Cádiz,Diadie Samassékou,MLI,MF,28-039,1996,0.3,16,17,94.1,289,61,10,10,100.0,3,3,100.0,3,3,100.0,0,0.0,0.0,0.0,1,3,0,0,2
ESP-La Liga,2324,Cádiz,Fali,ESP,DF,30-191,1993,21.6,536,727,73.7,11842,4567,140,159,88.1,298,345,86.4,91,202,45.0,0,0.1,0.1,-0.1,4,43,3,1,54
ESP-La Liga,2324,Cádiz,Fede San Emeterio,ESP,MF,26-340,1997,1.7,43,52,82.7,818,265,13,15,86.7,21,23,91.3,7,8,87.5,0,0.1,0.2,-0.1,1,3,1,1,4
ESP-La Liga,2324,Cádiz,Gonzalo Escalante,ARG,MF,30-329,1993,12.8,323,434,74.4,5505,1492,147,180,81.7,129,161,80.1,32,59,54.2,2,1.4,1.1,0.6,8,38,6,0,43
ESP-La Liga,2324,Cádiz,Isaac Carcelen,ESP,DF,30-302,1993,20.4,581,777,74.8,9717,3665,283,321,88.2,240,303,79.2,42,108,38.9,0,0.7,0.7,-0.7,12,37,10,6,54
ESP-La Liga,2324,Cádiz,Iván Alejo,ESP,MF,29-009,1995,17.1,207,409,50.6,3700,1504,96,135,71.1,59,126,46.8,37,92,40.2,2,1.0,2.4,1.0,11,16,20,18,27
