,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,MF,22-213,2001,0.1,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28-247,1995,7.7,509,571,89.1,9502,2991,187,200,93.5,268,285,94.0,49,77,63.6,1,0.8,0.5,0.2,2,24,3,0,43
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30-341,1993,12.9,770,876,87.9,15361,6709,231,248,93.1,454,477,95.2,81,143,56.6,0,0.0,0.3,0.0,2,50,3,0,47
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25-286,1998,22.9,1317,1537,85.7,22782,5794,592,637,92.9,565,642,88.0,126,200,63.0,4,3.7,4.1,0.3,40,104,33,7,134
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-170,1992,24.0,810,970,83.5,19102,11285,158,160,98.8,493,499,98.8,157,302,52.0,0,0.0,0.0,0.0,2,15,0,0,2
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,26-119,1997,22.2,1361,1486,91.6,23354,7998,554,586,94.5,712,761,93.6,78,103,75.7,0,0.4,0.8,-0.4,6,101,8,1,97
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,"MF,FW",22-267,2001,8.2,214,273,78.4,3165,772,119,146,81.5,80,97,82.5,9,12,75.0,0,0.4,1.0,-0.4,7,17,5,0,24
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,FW,22-011,2002,0.0,3,4,75.0,27,5,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jhon Durán,COL,"FW,MF",20-068,2003,2.1,39,62,62.9,539,95,22,35,62.9,11,12,91.7,2,2,100.0,0,0.1,0.1,-0.1,2,2,1,0,4
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",29-124,1994,23.7,685,875,78.3,12538,4195,311,358,86.9,274,327,83.8,91,151,60.3,2,3.1,3.5,-1.1,32,93,38,7,150
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28-310,1995,1.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",26-194,1997,13.0,338,459,73.6,5444,1355,185,225,82.2,114,146,78.1,31,48,64.6,6,5.0,4.4,1.0,31,20,26,3,44
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30-214,1993,17.1,681,908,75.0,11013,3752,345,398,86.7,280,355,78.9,43,97,44.3,2,2.8,2.7,-0.8,29,30,29,13,55
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,26-196,1997,17.6,752,930,80.9,11862,3416,393,430,91.4,310,379,81.8,37,85,43.5,1,2.1,2.2,-1.1,11,47,14,8,65
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,MF,21-208,2002,0.1,1,2,50.0,5,2,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24-227,1999,16.4,350,436,80.3,5063,847,203,238,85.3,120,148,81.1,14,25,56.0,4,4.5,3.0,-0.5,32,21,30,8,46
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24-232,1999,6.0,98,149,65.8,1400,333,59,71,83.1,33,46,71.7,3,9,33.3,0,0.8,0.5,-0.8,7,13,4,0,20
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,28-051,1995,24.5,308,411,74.9,3936,685,198,249,79.5,79,107,73.8,7,14,50.0,10,5.3,3.4,4.7,36,13,18,0,37
